"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"AK",1936,138.5333333,5.321299057,5.392147433,-3.420317332
"AK",1937,155.7586207,4.089509921,6.044523268,-2.800043367
"AK",1938,122.3793103,5.453359604,5.099733586,-2.968441919
"AK",1939,129.9666667,4.761156452,4.184341056,-4.075182778
"AK",1940,129.5357143,3.75454649,7.182801521,-1.759106772
"AK",1941,179.8709677,3.675359873,6.467724617,-2.561917041
"AK",1942,169.9090909,3.322938935,4.776048967,-3.905127778
"AK",1943,210.9333333,3.498402578,4.579318386,-4.268691746
"AK",1944,226.6451613,3.360442449,5.196393348,-3.158473011
"AK",1945,228.6451613,3.190609629,3.774393261,-4.44492642
"AK",1946,221.3225806,2.757352151,3.47252346,-5.292942815
"AK",1947,218.0909091,3.241747811,4.684852525,-3.975157576
"AK",1948,237.6363636,3.401126722,3.515004362,-5.455958333
"AK",1949,281.46875,4.17093447,3.822485085,-4.579023627
"AK",1950,309.4411765,2.754349755,4.431333824,-4.900927518
"AK",1951,342.969697,2.808625446,3.606480838,-4.98839902
"AK",1952,339.6363636,3.389829657,4.15260049,-3.89895098
"AK",1953,347.0967742,3.257999621,4.656312779,-3.787621924
"AK",1954,338,3.066140837,4.532339478,-4.495364509
"AK",1955,358.5357143,3.173059524,2.621729167,-5.961863095
"AK",1956,338.3214286,3.32902381,2.184821429,-6.626494048
"AK",1957,344.3103448,2.657501149,5.491889655,-3.450286207
"AK",1958,345.862069,3.07261954,4.891727011,-3.840881226
"AK",1959,349.2413793,3.294415476,3.913244253,-4.965382184
"AK",1960,348.862069,3.466907738,4.819481714,-3.801332288
"AK",1961,342.862069,3.545500522,3.371795977,-5.294896552
"AK",1962,343.862069,3.264571839,4.647521944,-4.034922414
"AK",1963,352.6896552,3.591976228,4.680384013,-3.903365987
"AK",1964,341.7241379,3.325398206,3.147653979,-5.617071935
"AK",1965,353.4642857,3.36077381,3.696284483,-4.953687739
"AK",1966,349.8571429,3.294648539,3.064885823,-5.886200758
"AK",1967,356.6428571,3.379153139,4.452986742,-4.325361472
"AK",1968,342.5714286,2.92001165,3.995630295,-5.360229283
"AK",1969,339.7037037,2.883038861,5.001546474,-4.505250291
"AK",1970,357.56,3.437863333,4.018013333,-4.627693333
"AK",1971,330.5925926,3.811117845,2.818872775,-5.877284672
"AK",1972,333.8076923,3.05505406,2.723209615,-6.184685577
"AK",1973,319.2307692,3.123086838,3.229239469,-5.572036355
"AK",1974,343.173913,3.714076383,3.734462692,-5.378147453
"AK",1975,319.4,3.190075242,3.128305,-5.435155667
"AK",1976,330.7692308,3.991828588,4.211651515,-4.630208042
"AK",1977,350.76,3.493487606,5.734639333,-2.720916212
"AK",1978,331.24,3.72099,5.90852,-2.463287333
"AK",1979,349.4166667,3.523338068,5.248456755,-3.214741477
"AK",1980,344.32,4.012320333,5.020022333,-3.108654
"AK",1981,362.5,4.216826389,6.312638194,-1.668088889
"AK",1982,324.1923077,3.273672009,4.236208333,-3.55253312
"AK",1983,337.2222222,3.072685362,4.992153351,-2.964761993
"AK",1984,346,3.430160073,4.939280584,-3.319791105
"AK",1985,329.6296296,3.709680247,4.416814198,-3.688087654
"AK",1986,345.6666667,4.052075009,5.577236626,-2.772920127
"AK",1987,350.3333333,4.237058642,5.899231257,-2.182290685
"AK",1988,343.6296296,4.061858436,5.336407819,-2.619309465
"AK",1989,341.7407407,3.463564815,4.992266498,-3.442205051
"AK",1990,346.5384615,3.407152015,4.646089744,-3.984154915
"AK",1991,350.0769231,4.194750112,5.486967396,-2.749598316
"AK",1992,346.6153846,3.970510325,4.515712009,-3.730746016
"AK",1993,353.4,3.821389957,6.598096154,-1.790882479
"AK",1994,349.6153846,3.808101852,5.166274691,-3.089450617
"AK",1995,346.037037,3.126446876,5.613861074,-2.679430266
"AK",1996,338.4444444,2.735621549,4.147953479,-4.98468945
"AK",1997,330.08,3.248000017,5.244400545,-3.430576792
"AK",1998,267.7857143,3.093021873,4.937086746,-3.064877302
"AK",1999,262.1724138,3.605733309,3.240409954,-4.913365852
"AK",2000,270.3846154,3.271518182,5.342647222,-2.749242677
"AK",2001,270.3333333,3.425082691,4.609575681,-3.437190787
"AK",2002,285.32,3.618819253,5.661782407,-2.579886708
"AK",2003,284.6153846,3.636111039,5.874714935,-2.479330952
"AK",2004,301,3.781357113,6.269370996,-2.402792857
"AK",2005,283.9259259,3.978424633,6.03828961,-2.236494589
"AK",2006,351.2173913,3.467565741,4.494745238,-3.565583333
"AK",2007,338.08,3.324888047,5.222868182,-2.985400433
"AK",2008,330.08,3.580107492,3.974348571,-3.930259481
"AK",2009,324,3.252876964,4.974627128,-3.515071861
"AK",2010,349.875,3.238149691,5.40582619,-2.659794444
"AK",2011,316.826087,3.576844907,5.149941905,-3.278961429
"AK",2012,319.4782609,3.296111574,3.875613426,-4.232826389
"AK",2013,291.6538462,3.539969108,5.55122803,-2.532212879
"AK",2014,292.6,3.456686508,6.496265542,-1.733177579
"AK",2015,283.2916667,3.795589366,6.354930519,-1.643498918
