"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"AL",1936,268.25,4.399837047,25.1134169,12.31363037
"AL",1937,280.5833333,4.761013369,24.09003333,11.86072778
"AL",1938,288.9166667,3.533236111,25.33805556,12.11614063
"AL",1939,340.7,4.652231481,24.6724443,12.02754686
"AL",1940,241.8571429,4.268531481,23.073179,10.49979902
"AL",1941,254.9230769,4.144418939,23.95260053,11.23973241
"AL",1942,336.5,4.266433225,24.03097421,10.72641634
"AL",1943,278.6153846,3.759975,24.96391667,11.30331439
"AL",1944,243.3333333,4.34868254,24.05036167,11.06064962
"AL",1945,258.7857143,4.204997727,24.79088597,12.14494258
"AL",1946,301.75,5.246404167,24.65980702,12.27370056
"AL",1947,282.8461538,4.410153788,23.66614912,11.38969298
"AL",1948,287.3181818,4.643172078,24.41525758,11.95528133
"AL",1949,348.0909091,4.427838499,24.54345076,12.41241742
"AL",1950,346.8571429,3.55815368,23.97027917,11.56694583
"AL",1951,364.3,3.826541667,24.86547807,11.51878509
"AL",1952,361.4,3.2991375,24.6899386,11.22791667
"AL",1953,364.75,4.201342803,24.80014912,11.47587281
"AL",1954,353.3809524,2.353474521,25.19467689,11.09883643
"AL",1955,363.1904762,3.406856421,24.60094717,10.95907935
"AL",1956,365.9047619,3.682507937,24.68612998,11.13408892
"AL",1957,364.952381,4.066210317,24.11881579,11.87314912
"AL",1958,359.952381,3.453394733,22.92955,10.00503333
"AL",1959,361.952381,3.92348557,23.98374583,11.32913465
"AL",1960,354.2857143,3.50540368,23.06074116,9.979141856
"AL",1961,358.9090909,4.962206061,23.45021164,10.46846349
"AL",1962,360.3636364,3.710772727,24.23657143,10.7271627
"AL",1963,355,3.497732369,23.6484246,9.843881746
"AL",1964,335.8636364,4.563159386,23.00081545,9.831075088
"AL",1965,355.0909091,3.597354132,23.97807399,10.69955869
"AL",1966,359.4090909,3.828364899,23.33035871,10.42673677
"AL",1967,345.7272727,3.862645432,23.28556842,10.02648567
"AL",1968,358.5909091,3.013678719,23.18690219,9.616645073
"AL",1969,362.3181818,3.776040909,23.20733968,10.19954603
"AL",1970,358,3.721589646,23.44089947,10.5670463
"AL",1971,363.5454545,4.261870523,23.85158694,10.86930592
"AL",1972,360.4545455,3.892091024,23.88990681,10.82598401
"AL",1973,353.5454545,4.641200758,23.84702958,10.8931881
"AL",1974,356.6818182,4.151292172,24.0970877,10.58960981
"AL",1975,354.1363636,5.286921694,23.60597332,10.68373882
"AL",1976,342.2727273,3.901805716,23.20620354,9.437048846
"AL",1977,329.8636364,4.013280844,23.63851515,10.37243236
"AL",1978,343.8636364,3.659048232,23.42068823,9.732812975
"AL",1979,354.5,4.826275275,22.76933394,10.06530827
"AL",1980,353.0454545,4.143742252,23.82945613,10.26173398
"AL",1981,363.6363636,3.333372934,23.70030087,10.04457792
"AL",1982,297.3181818,4.302386364,23.7702961,11.1033702
"AL",1983,341.3181818,5.246467218,22.70608997,10.02381999
"AL",1984,332.3636364,3.588415634,23.64247547,10.37836255
"AL",1985,341,3.662027778,23.33251191,10.98752381
"AL",1986,349.2272727,3.29549613,24.25343127,11.3242751
"AL",1987,333.5714286,3.485353319,23.72620349,10.45217652
"AL",1988,354.5238095,3.637530904,23.53379811,10.24905164
"AL",1989,355.047619,4.486722222,22.99304583,10.8274125
"AL",1990,359.2272727,4.012420455,25.36554167,11.57290476
"AL",1991,364.8636364,4.353613636,23.84837302,11.69086508
"AL",1992,362.5,4.192080234,22.93726443,10.42206349
"AL",1993,360.5454545,3.520810606,23.10957143,10.45252381
"AL",1994,352.4545455,4.282016513,23.27440799,11.14702998
"AL",1995,348.9545455,4.522646465,22.94478175,10.53159788
"AL",1996,352.4545455,4.198026515,22.87818254,10.27121032
"AL",1997,360,4.490444559,23.02459776,10.74538312
"AL",1998,324.9545455,4.338628788,24.53957937,12.10594048
"AL",1999,355.3333333,3.516234642,24.49717121,11.04988492
"AL",2000,353.8095238,3.027152893,24.37316294,10.95928115
"AL",2001,357.6190476,4.336015152,23.41582143,10.88324206
"AL",2002,358.6666667,4.225299725,23.72149711,11.65688867
"AL",2003,354.047619,4.609410675,22.8886978,10.59676529
"AL",2004,344.5238095,4.268687672,23.3115062,11.23249931
"AL",2005,357.3333333,4.107551309,23.87074311,10.96707569
"AL",2006,345.2857143,3.458637052,24.84353788,11.08169284
"AL",2007,350.3809524,2.736718113,25.06951205,11.50586625
"AL",2008,357.4761905,3.879771465,23.93130831,10.77800034
"AL",2009,344.1904762,5.172023564,23.05683164,10.75593698
"AL",2010,348.4761905,3.520631887,23.53971646,10.41511763
"AL",2011,71.83333333,4.337478994,24.50181543,11.19405556
"AL",2012,80.2,4.120964286,24.74010232,12.05909751
"AL",2013,207.6666667,4.660614704,23.11255551,11.3504738
"AL",2014,119.3571429,4.298625,22.50008781,9.52239084
"AL",2015,174.2,4.267290885,24.27991847,12.38086472
