"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"AR",1936,221.6578947,2.57063254,23.42337451,9.553600524
"AR",1937,272.875,4.065169583,22.35696368,9.767827778
"AR",1938,300.1034483,3.711730871,24.65065385,10.63576496
"AR",1939,272.03125,3.800790314,24.23879356,10.38638712
"AR",1940,206.2682927,3.249961852,21.66699834,8.371130081
"AR",1941,222.9473684,3.297011995,23.31587669,10.49455759
"AR",1942,219.4,3.511719697,23.03434187,9.862694937
"AR",1943,249.0571429,2.420409435,23.86604472,9.747345528
"AR",1944,216.5853659,3.947895286,23.21547753,9.977841883
"AR",1945,248.6388889,4.839022261,22.71502097,10.11111352
"AR",1946,214.2631579,4.625263943,23.80906471,10.76142411
"AR",1947,205.0789474,3.48897716,23.14553763,9.430987045
"AR",1948,358.3125,3.54989369,22.75856629,9.3213625
"AR",1949,347.4791667,4.028876561,23.09314725,10.06472369
"AR",1950,338.5833333,4.134152565,22.16322908,9.608014928
"AR",1951,349.4897959,3.708447379,22.71831072,9.384056348
"AR",1952,352.122449,2.920085962,23.89765164,9.39136374
"AR",1953,362.0816327,3.01955334,24.43952169,9.793641839
"AR",1954,359.2040816,2.618072789,25.0851976,10.31915046
"AR",1955,363.4285714,2.926011905,23.41371436,9.860626205
"AR",1956,359.8367347,2.897925067,23.99959742,9.846469353
"AR",1957,359.8979592,4.922754528,22.56113526,10.51853468
"AR",1958,356.0816327,3.813594001,21.76499242,9.390358414
"AR",1959,355.2040816,3.220835189,22.71561765,9.844477732
"AR",1960,356.2708333,3.111142708,22.03071017,9.267670512
"AR",1961,360.625,3.826464699,22.17596344,9.370310836
"AR",1962,359.3333333,3.185636574,22.73541975,9.96167642
"AR",1963,356.375,2.285017235,23.4803033,9.293928552
"AR",1964,363.4680851,3.206689394,23.30286791,9.618004997
"AR",1965,358.4255319,3.010695089,23.19431082,9.960476467
"AR",1966,350.9361702,3.19382334,22.20346905,9.093383301
"AR",1967,361.3404255,3.236185149,22.65246701,9.450121427
"AR",1968,351.4166667,4.019081944,21.58464929,9.003497872
"AR",1969,346.5744681,3.17958156,22.36278804,9.220856884
"AR",1970,343.3404255,3.453148582,22.3746779,9.562003623
"AR",1971,347.9565217,2.852752805,23.04238551,9.761046377
"AR",1972,349.0625,3.341748159,22.62521078,9.670633946
"AR",1973,338.3333333,4.837662405,22.11593746,10.05805609
"AR",1974,348.2765957,3.989624684,22.31287089,9.78287089
"AR",1975,351.3333333,3.696965088,22.10768981,9.389143166
"AR",1976,361.3404255,2.80343588,22.28949378,8.575479381
"AR",1977,350.7173913,3.201141798,23.21583016,10.19963577
"AR",1978,337.1489362,3.343808355,22.27419884,9.142255479
"AR",1979,335.1489362,4.178567568,21.28307765,8.611506942
"AR",1980,334.8478261,2.8169676,23.30669054,9.654329157
"AR",1981,346.3333333,2.90348633,22.70301024,9.516656371
"AR",1982,319.8222222,3.991287879,22.44541839,9.919991736
"AR",1983,334.2391304,3.288046921,21.81022034,9.197899292
"AR",1984,318.3617021,4.257429991,22.55668292,9.664986935
"AR",1985,322.0638298,3.460208575,22.21683009,9.505246102
"AR",1986,336.1276596,3.183012573,23.40407573,10.60181703
"AR",1987,336.7021277,3.73946059,23.16244088,9.95122612
"AR",1988,340.9148936,3.288811785,22.61464053,9.123079145
"AR",1989,344.6808511,3.640945734,21.62065901,9.059624259
"AR",1990,346.7659574,4.758044649,22.88019483,9.986973979
"AR",1991,361.4255319,4.236567763,22.57039328,10.69648396
"AR",1992,360.9555556,3.453617811,21.83971729,9.704235434
"AR",1993,352.1521739,3.687595833,21.45644803,9.361105556
"AR",1994,334.6521739,3.876857164,21.92959482,9.664172963
"AR",1995,356.3478261,3.000881211,22.4838164,9.692765873
"AR",1996,357.1304348,3.488301713,21.7018776,9.468411989
"AR",1997,350.4782609,3.57724664,21.69546041,9.437426054
"AR",1998,334.3333333,3.31613318,23.39178822,11.35203653
"AR",1999,347.2083333,2.956421875,23.67320508,10.08736673
"AR",2000,347.7234043,3.118048074,22.44576573,9.767334977
"AR",2001,349.0416667,3.909204182,22.66719909,10.01043677
"AR",2002,354.2291667,3.745304394,22.05869081,9.777472696
"AR",2003,345.0833333,3.124436173,22.11688256,9.780818129
"AR",2004,348.5,3.887560736,21.84307868,10.12255636
"AR",2005,313.76,2.400280801,23.0523063,10.18247098
"AR",2006,344.6808511,3.248085955,23.15591927,10.24939284
"AR",2007,353.8666667,3.128079514,22.6555779,10.4751971
"AR",2008,338.3695652,4.109754999,21.63706544,9.360822985
"AR",2009,350.3695652,4.934454978,21.28215136,9.874084122
"AR",2010,346.7234043,2.58841,22.54367676,9.888072268
"AR",2011,91.95744681,4.129863333,22.83958844,10.21135683
"AR",2012,110.7391304,3.122356818,24.04170068,11.04362848
"AR",2013,143.3673469,3.845064545,21.46220872,9.560423408
"AR",2014,306.1632653,3.231188571,20.82202041,8.902690852
"AR",2015,314.7142857,4.513886,22.046495,10.23411955
