"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"AZ",1936,292.483871,1.02522013,24.45748004,6.93596279
"AZ",1937,289.8064516,0.923595566,23.27208535,5.614877946
"AZ",1938,308.9310345,0.907546801,23.79171183,5.814995384
"AZ",1939,258.1818182,1.047490101,23.45495283,5.958657627
"AZ",1940,307.2333333,1.152165909,24.21217828,7.288481477
"AZ",1941,303.9354839,1.509193056,21.29133954,5.991512582
"AZ",1942,307.2580645,0.656822314,24.22972039,6.353157943
"AZ",1943,300.4333333,0.937654729,23.96735893,6.887474653
"AZ",1944,320.3103448,0.927670218,22.68805242,5.824665078
"AZ",1945,305.4666667,0.782042093,23.26245699,5.843053943
"AZ",1946,313.8275862,0.955107907,24.0941631,6.111444141
"AZ",1947,315,0.677697191,23.60594749,5.935624878
"AZ",1948,309.6060606,0.737628788,23.51291927,5.442153646
"AZ",1949,347.3548387,1.012504025,22.97731468,5.511005963
"AZ",1950,348.3529412,0.522081429,25.00386896,6.067917057
"AZ",1951,334.0285714,1.059729307,23.19596363,5.589084153
"AZ",1952,341,1.070404672,23.08558705,5.69650765
"AZ",1953,349.9459459,0.591288376,24.04748471,5.664477483
"AZ",1954,346.1842105,0.89990233,24.58941928,6.650584806
"AZ",1955,357.0526316,0.908763158,23.10254482,5.607162037
"AZ",1956,353.4473684,0.473187799,24.11294907,5.634414352
"AZ",1957,340.0263158,1.10566557,23.02971591,7.024877525
"AZ",1958,330.9705882,1.039298797,24.23006866,7.425213305
"AZ",1959,338.075,0.944639069,24.22898303,7.057772642
"AZ",1960,335.05,0.715355492,23.93944948,6.608052133
"AZ",1961,348.075,0.792987202,23.69749573,6.645198107
"AZ",1962,340.65,0.703417708,24.22049451,6.945412546
"AZ",1963,354.3333333,0.866030275,24.25083182,7.082065818
"AZ",1964,358.4615385,0.858990826,23.08984436,5.967549214
"AZ",1965,352.2051282,1.419506782,23.27393657,6.537569589
"AZ",1966,335.3589744,0.802780977,24.12524668,6.70740429
"AZ",1967,354.1578947,1.090355463,23.81767607,6.317679218
"AZ",1968,346.8421053,0.775787469,23.16117813,5.835309398
"AZ",1969,343.1315789,0.940900837,23.29006866,6.623642504
"AZ",1970,347.5135135,0.86833462,23.52492394,6.093748347
"AZ",1971,331.2432432,0.829261408,23.04103439,5.636977513
"AZ",1972,348.972973,1.056009951,24.24369042,6.871472523
"AZ",1973,348.4166667,0.758047208,22.9696391,5.767436869
"AZ",1974,355.8648649,0.796066544,23.93852525,6.490566814
"AZ",1975,343,0.762113595,23.02257289,5.354371622
"AZ",1976,356.1388889,0.884570539,23.60742803,5.898596002
"AZ",1977,358.1666667,0.819460227,23.99926376,6.779752876
"AZ",1978,345.75,1.504866183,23.62166183,7.07989436
"AZ",1979,346.3142857,0.885361299,23.03297121,5.791482888
"AZ",1980,345.8857143,1.058167561,23.76864259,6.758513443
"AZ",1981,348.3235294,0.904058824,24.2851258,7.607623278
"AZ",1982,329.6666667,1.349371179,22.47938856,6.732957589
"AZ",1983,336.5757576,1.392424472,22.56976065,7.015580966
"AZ",1984,332.6969697,1.133715794,23.08819105,6.70906108
"AZ",1985,310.4848485,1.068752066,23.05326042,6.627497396
"AZ",1986,325.8787879,1.069682966,23.64821046,7.152038352
"AZ",1987,324.6111111,0.9991742,23.38144554,6.83421303
"AZ",1988,333.027027,0.920008927,24.1432596,7.271163482
"AZ",1989,351.5405405,0.622544021,25.07148822,7.137631524
"AZ",1990,350.3783784,1.043577805,23.64576667,7.001364689
"AZ",1991,353.972973,1.039968468,23.26274167,6.841845833
"AZ",1992,358.1621622,1.393754095,23.14637732,7.165659722
"AZ",1993,359.4054054,1.238889599,23.73648317,7.048694444
"AZ",1994,354.2432432,0.945676822,24.28781124,7.249838721
"AZ",1995,346.7297297,0.838554218,24.50134491,7.314038889
"AZ",1996,334.25,0.769853816,25.28035064,7.887592898
"AZ",1997,342.5,0.947380766,24.24780926,7.493731126
"AZ",1998,318,1.019236546,23.51980866,6.890139971
"AZ",1999,355.4411765,0.78576075,24.77154471,6.941761379
"AZ",2000,321.5714286,0.853380221,24.2718157,7.144360143
"AZ",2001,333.2857143,0.74518906,24.1793638,7.52611691
"AZ",2002,333.2285714,0.519778802,25.09094411,7.393427637
"AZ",2003,341.1714286,0.818027286,24.66922277,7.942736233
"AZ",2004,332.6216216,1.110964659,23.40902347,7.411254856
"AZ",2005,325.5263158,1.07394697,23.94406742,7.797939782
"AZ",2006,332.7567568,0.80200053,24.40431121,7.680037538
"AZ",2007,327.6923077,0.929444494,24.13669834,7.770863599
"AZ",2008,317,1.056776718,23.60508044,7.131599039
"AZ",2009,326.5128205,0.632472561,24.42089034,7.70994688
"AZ",2010,333.0769231,1.042335908,23.25336327,7.281552846
"AZ",2011,180.9032258,1.05368071,23.92566402,7.24431461
"AZ",2012,271.7727273,0.698517738,24.94332724,7.76147912
"AZ",2013,299.12,1.006942757,23.76163386,7.283570557
"AZ",2014,335.8695652,0.914661111,24.80889352,8.327871989
"AZ",2015,301.72,1.161825801,24.31978947,8.315249516
