"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"CA",1936,166.4259259,1.938520115,23.23795996,7.427161044
"CA",1937,172.5555556,2.262918601,22.15832958,6.87224545
"CA",1938,180.4814815,2.281428386,22.05989542,7.082865932
"CA",1939,173.6037736,1.250767037,23.4147478,7.076141509
"CA",1940,181.44,2.824072124,23.10121996,8.077104439
"CA",1941,164.6785714,2.822642369,22.01511257,7.74447187
"CA",1942,195.0638298,1.769195848,22.46250978,6.874339454
"CA",1943,176.7142857,1.714810338,22.98205955,7.176425178
"CA",1944,184.3921569,1.766184711,21.8127678,6.629181071
"CA",1945,183.0769231,1.978313131,22.08998584,7.137090686
"CA",1946,180.08,1.199458418,22.07186034,6.568195915
"CA",1947,104.4,0.95441577,22.63942193,6.946099904
"CA",1948,224.3628319,1.411762347,21.57573811,6.00278507
"CA",1949,350.1981982,1.013913156,22.0534962,6.252221331
"CA",1950,350.6052632,1.797101685,22.58401452,7.329366588
"CA",1951,354.9736842,1.604627051,22.06069909,6.882775455
"CA",1952,353.4298246,1.953798551,21.74845184,6.832352446
"CA",1953,356.573913,1.10022971,22.38771483,6.876118967
"CA",1954,357.3913043,1.545053953,22.31043764,6.950488314
"CA",1955,356.8608696,1.627715517,21.56918654,6.11099159
"CA",1956,354.5172414,1.182485571,22.2395126,6.557554988
"CA",1957,351.0940171,1.596387101,21.88550811,7.371327073
"CA",1958,357.4358974,1.843762529,23.09057889,8.071435293
"CA",1959,357.9401709,1.037459402,23.63309404,7.388835627
"CA",1960,358.5641026,1.402919062,22.57072996,7.229032805
"CA",1961,358.3504274,1.043136493,22.49745269,7.142938843
"CA",1962,358.4615385,1.633955517,22.09784325,6.83826405
"CA",1963,358.8135593,1.689778111,21.66704274,7.164716822
"CA",1964,359.2966102,1.44566198,21.6906577,6.442594724
"CA",1965,359.1355932,1.517517976,21.43679559,6.759026853
"CA",1966,358.1949153,1.244856125,22.42224618,7.008316122
"CA",1967,358.5128205,1.663739086,22.09252909,7.108072714
"CA",1968,353.279661,1.341293413,22.19652265,7.08364638
"CA",1969,356.1452991,2.135994427,21.95541598,7.088814011
"CA",1970,356.9487179,1.909935349,22.33635027,7.188821172
"CA",1971,353.6581197,1.112742424,21.42280947,6.322912778
"CA",1972,355.1880342,1.101198194,22.06468994,7.042861299
"CA",1973,339.3135593,2.020033761,21.86022579,7.182266028
"CA",1974,350.9401709,1.426521944,22.25767269,7.057449274
"CA",1975,349.3793103,1.380818631,21.35532075,6.34657017
"CA",1976,355.6239316,0.792741906,22.72575935,6.72931457
"CA",1977,350.1965812,1.1164021,22.59960532,7.243682003
"CA",1978,347.3965517,1.950857926,22.19255355,7.483086186
"CA",1979,337.6293103,1.723566842,22.07012918,7.121948781
"CA",1980,338.4051724,1.586247707,22.30504929,7.412463465
"CA",1981,352.7826087,1.723249513,23.14814694,8.162626453
"CA",1982,323.3391304,2.408766144,21.00878013,6.902779527
"CA",1983,344.8157895,2.959017484,21.48462265,8.068371553
"CA",1984,337.5652174,1.166523923,22.51144035,7.622021156
"CA",1985,338.6956522,1.041114204,21.77388151,6.831103911
"CA",1986,347.173913,1.720147526,22.77398196,7.997741751
"CA",1987,343.8245614,1.375443568,22.47582554,7.604923393
"CA",1988,333.5811966,1.230017183,22.95284637,7.599771589
"CA",1989,347.8706897,1.014185795,22.47610873,7.200243164
"CA",1990,348.2735043,0.889735417,22.49856039,7.159705018
"CA",1991,357.2631579,1.330431125,22.43982849,7.386019067
"CA",1992,343.3418803,1.640782213,22.97630248,8.322430855
"CA",1993,349.5517241,1.940828126,21.75893688,7.407086166
"CA",1994,352.0695652,1.239931262,22.29399362,7.341999725
"CA",1995,348.9482759,2.390725181,22.41467923,8.330894222
"CA",1996,355.3839286,2.307791245,22.81332171,8.476359241
"CA",1997,350.0877193,1.409800615,23.00179499,8.57913583
"CA",1998,314.4824561,2.533859703,21.12060189,7.921053268
"CA",1999,341.0431034,1.22112662,22.25603103,7.270794349
"CA",2000,342.6637168,1.575571568,22.33781646,7.982444027
"CA",2001,346.0265487,1.648878907,22.70239897,8.066761253
"CA",2002,352.2767857,1.326028737,22.6613282,7.616718186
"CA",2003,348.6785714,1.457594465,22.7865858,8.332254294
"CA",2004,347.5803571,1.476969489,22.58171001,8.023216667
"CA",2005,335.5892857,2.015039473,22.18903871,8.043800807
"CA",2006,338.5892857,1.609628069,22.43014081,7.784987756
"CA",2007,345.2545455,0.927905107,22.67504892,7.47974756
"CA",2008,334.5625,1.122548912,22.88351103,7.712013128
"CA",2009,341.4054054,1.15314247,23.12857048,7.71722664
"CA",2010,342.2162162,2.048320175,21.63192785,7.841117992
"CA",2011,142.7708333,2.503257646,21.73560635,7.342528394
"CA",2012,178.0980392,2.444107171,23.2524068,8.194017977
"CA",2013,197.8474576,0.508926913,23.29012196,7.779180398
"CA",2014,214.2181818,1.509264103,24.21353289,9.400431559
"CA",2015,231.6363636,1.050043531,23.72035834,8.970215113
