"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"CO",1936,169.2222222,1.150753704,17.90109978,0.090353367
"CO",1937,157.7,1.036005051,17.13086512,-0.491486588
"CO",1938,147.7352941,1.331071344,16.92800296,0.087750484
"CO",1939,144.8571429,0.764706729,17.74867298,-0.492443545
"CO",1940,158,1.122744003,17.44081367,0.254348195
"CO",1941,142.9714286,1.516996238,16.16087368,0.054452697
"CO",1942,143.0789474,1.291400934,16.28988041,-1.158194608
"CO",1943,141.2222222,0.942238081,17.88489214,-0.303227582
"CO",1944,131.3714286,1.094468889,16.40492393,-1.131928108
"CO",1945,123.972973,1.121177118,16.66869301,-0.741450631
"CO",1946,121.0263158,1.103362879,17.36996691,-0.478162492
"CO",1947,125.8648649,1.22645046,16.46971885,-0.673029968
"CO",1948,207.5769231,1.004506438,16.15323173,-1.55136451
"CO",1949,316.9649123,1.105202146,16.07376232,-1.656819921
"CO",1950,327.3508772,0.82573494,17.48510897,-0.861467744
"CO",1951,313.5087719,1.161464213,15.7152468,-1.702157532
"CO",1952,309.1578947,0.913954014,16.28125723,-1.580131761
"CO",1953,306.6140351,0.954823684,16.75184277,-0.859212788
"CO",1954,327.5263158,0.824122142,18.32926321,0.23692327
"CO",1955,320.877193,0.910072701,16.42240823,-1.383167124
"CO",1956,305,0.792883573,17.19468568,-1.220530875
"CO",1957,308.2758621,1.488343587,15.54064505,-0.698475028
"CO",1958,302.1186441,0.967024576,16.93628551,-0.645876061
"CO",1959,305.5932203,1.075857396,16.68822132,-0.874268209
"CO",1960,305.2881356,0.927100282,16.37016667,-1.277833471
"CO",1961,303.5762712,1.199806882,15.87593467,-1.2828264
"CO",1962,319.5166667,0.870323241,17.06916793,-0.915999504
"CO",1963,332.3333333,0.917226263,17.67923844,-0.145660021
"CO",1964,323.2459016,0.908660291,15.89234626,-1.77759707
"CO",1965,327.9016393,1.403601428,16.04215015,-0.770292251
"CO",1966,335.8196721,0.85903378,16.86842252,-1.221235912
"CO",1967,334.4754098,1.094416667,16.23951608,-1.181387719
"CO",1968,329.3278689,0.885810539,15.81818661,-1.797697403
"CO",1969,338.65,1.329576389,16.31208623,-0.354277135
"CO",1970,322.9833333,1.040450364,16.56427695,-0.576708716
"CO",1971,325.779661,1.018752183,16.25982602,-1.117703083
"CO",1972,318.0166667,0.989116288,16.36914406,-0.518630886
"CO",1973,282.1,1.085381582,15.18920624,-1.343865622
"CO",1974,308.0833333,0.854728813,16.18932699,-1.462356583
"CO",1975,279,0.948062156,15.95086276,-1.558340965
"CO",1976,312.4237288,0.839960768,16.46417601,-1.388634931
"CO",1977,308.1,0.928810248,17.18266019,-0.184492956
"CO",1978,283.779661,1.065165177,15.96983527,-1.100288736
"CO",1979,282.7833333,1.082638489,15.75228358,-1.364059094
"CO",1980,300.8,1.007615426,16.9830441,-0.346510857
"CO",1981,317.6271186,1.119049686,17.79373978,0.641947488
"CO",1982,306,1.481293966,15.23926964,-1.284625031
"CO",1983,301.8305085,1.384779759,15.41541982,-0.526531227
"CO",1984,306.5666667,1.210757029,15.275869,-0.981861791
"CO",1985,310.75,1.207611313,15.50127399,-0.996928823
"CO",1986,322.0508475,1.169095262,16.47059769,-0.000159028
"CO",1987,307.8813559,1.094678788,16.30318729,-0.720571079
"CO",1988,315.7627119,0.944563578,16.36436296,-1.113219291
"CO",1989,324.3050847,0.870771326,16.69586509,-1.004126798
"CO",1990,328.6885246,1.189668813,16.24858498,-0.681529661
"CO",1991,335.8032787,1.126081808,15.99663761,-0.810236664
"CO",1992,316.8196721,1.199331537,15.71403521,-0.910582203
"CO",1993,325.9677419,1.400885753,14.80359972,-1.38799601
"CO",1994,323.2539683,1.01055636,16.78697678,-0.40243599
"CO",1995,325.6065574,1.337208164,16.24440284,-0.496416111
"CO",1996,339.9672131,1.322930328,16.65306215,-0.45199435
"CO",1997,340.3064516,1.502908969,15.68870929,-0.609757576
"CO",1998,320.8548387,1.130970674,16.61813684,0.136786414
"CO",1999,339.9193548,1.214098827,17.20647456,0.046547008
"CO",2000,334.9193548,0.991765701,17.24179763,0.164754432
"CO",2001,335.1935484,1.004921693,17.20541825,0.099572062
"CO",2002,335.6935484,0.717747801,16.79677109,-0.880225
"CO",2003,340.0333333,1.005255682,17.22122701,0.303185345
"CO",2004,336.7833333,1.219643732,16.29842374,-0.140980183
"CO",2005,342.9,1.158179545,16.78403903,0.279817283
"CO",2006,331.8166667,1.144643687,16.66860177,-0.01483829
"CO",2007,329.0655738,1.096098038,16.28381679,-0.346424032
"CO",2008,332.7666667,0.992571717,15.75760003,-1.146130714
"CO",2009,336.4827586,1.171749294,15.71328937,-0.653297414
"CO",2010,341.5789474,1.033880117,16.19495109,-0.343150984
"CO",2011,251.5740741,1.298823099,16.02540988,-0.69484862
"CO",2012,237.9830508,1.208702677,18.15120416,0.233170379
"CO",2013,301.4310345,1.237666868,15.66178249,-1.017826594
"CO",2014,313.6610169,1.212009028,16.36853446,-0.230136692
"CO",2015,322.9661017,1.329722199,16.66373662,0.344327204
