"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"CT",1936,232,3.800616162,15.27513889,4.43790404
"CT",1937,263.3333333,3.970638889,15.41513889,4.573472222
"CT",1938,303,4.276444444,15.599,4.531361111
"CT",1939,280.3333333,3.145166667,15.00294444,3.864694444
"CT",1940,255.6666667,3.436944444,13.76783333,2.723472222
"CT",1941,272.6666667,2.472388889,15.75383333,3.47
"CT",1942,296.25,3.8991875,13.66608333,2.751166667
"CT",1943,342,2.878854167,13.5884375,2.401041667
"CT",1944,353.75,3.309958333,14.2980625,2.776020833
"CT",1945,353.25,4.0226875,14.16033333,3.005166667
"CT",1946,358.75,2.812916667,14.90235417,2.933520833
"CT",1947,352.75,3.387958333,14.02460417,2.592375
"CT",1948,351.5,3.3056875,14.30227083,2.480625
"CT",1949,357.5,2.710354167,15.744125,4.3063125
"CT",1950,362.25,3.127770833,13.79625,3.018270833
"CT",1951,360.25,3.627166667,14.48327083,3.734666667
"CT",1952,352.5,3.4355625,14.5033125,4.076833333
"CT",1953,362.5,3.8661875,15.6338125,4.630583333
"CT",1954,362.25,3.467916667,14.14983333,3.828541667
"CT",1955,360.5,4.055208333,13.9263125,3.7881875
"CT",1956,348.75,3.097854167,13.581625,3.1896875
"CT",1957,359.75,2.641041667,15.1630625,3.763020833
"CT",1958,357,3.463791667,13.05285417,2.823041667
"CT",1959,365,3.6355,14.90935417,3.726416667
"CT",1960,353.5,3.489,14.27933333,2.936125
"CT",1961,331.75,2.987375,14.1796875,3.497854167
"CT",1962,334.75,2.6773125,13.7424375,2.3619375
"CT",1963,340.75,2.711666667,14.25554167,2.446147727
"CT",1964,364,2.463604167,14.7495,3.132375
"CT",1965,351.75,2.124583333,14.344875,3.02225
"CT",1966,347.5,2.645229167,14.53083333,3.2289375
"CT",1967,352,3.113395833,13.76252083,3.080166667
"CT",1968,364.5,3.023145833,14.23895833,3.1058125
"CT",1969,349.25,3.46125,13.91672917,3.5163125
"CT",1970,328.5,2.7085625,13.98689583,3.323270833
"CT",1971,327.25,3.1945,14.38005303,3.799554924
"CT",1972,328,4.457010417,14.53733333,4.037395833
"CT",1973,319.25,3.884975,14.9370375,4.132216667
"CT",1974,319.75,3.430875,14.43929167,3.513375
"CT",1975,319.5,4.58025,14.55491667,4.177979167
"CT",1976,363.25,3.519208333,14.15879167,3.036020833
"CT",1977,327.5,3.840458333,14.2789375,3.472416667
"CT",1978,327.25,3.168138258,14.04054546,2.993757576
"CT",1979,312,4.152513889,14.03939583,3.930159722
"CT",1980,333.25,2.819818182,14.37955492,3.029659091
"CT",1981,322.25,2.972850379,14.80981629,3.944149621
"CT",1982,304.5,3.513971591,14.36344129,3.211208333
"CT",1983,342.75,4.451416667,14.90308333,4.2170625
"CT",1984,320.75,3.6013125,14.5530625,3.770541667
"CT",1985,284.25,3.094579167,14.6242375,4.237054167
"CT",1986,311,3.394215278,14.2271875,4.046479167
"CT",1987,328.75,3.128111742,14.69257197,4.238651515
"CT",1988,341.25,3.049208333,14.35914583,3.808395833
"CT",1989,340,4.0208125,13.90972917,3.823229167
"CT",1990,333.25,3.9529875,15.26160833,4.766925
"CT",1991,332.75,3.391375,15.69120833,5.035583333
"CT",1992,310.75,3.368503788,13.62365909,3.666823864
"CT",1993,311.25,3.258750379,13.96375341,3.763298106
"CT",1994,313.25,3.510697917,13.23386458,2.708510417
"CT",1995,313,3.040864583,11.94412083,1.745352083
"CT",1996,327.75,4.120646591,14.82074205,4.310170833
"CT",1997,314.25,2.747681187,13.11143182,2.73402399
"CT",1998,248.75,3.4035625,13.59129167,3.539229167
"CT",1999,254.6666667,3.354236111,16.65016667,5.594625
"CT",2000,242,3.329576263,12.88002929,2.639621212
"CT",2001,222.5,2.669657407,14.39825,4.004277778
"CT",2002,324.5,3.2215,15.49258333,5.128227778
"CT",2003,324.5,3.802788889,13.19890556,3.670738889
"CT",2004,343.5,3.241027778,13.73573485,4.293734848
"CT",2005,347,3.75595202,14.57791162,4.820484848
"CT",2006,361,3.806777778,15.00875,5.610388889
"CT",2007,357,2.922,14.25191667,4.429305556
"CT",2008,364.5,4.357027778,14.31216667,4.496388889
"CT",2009,354,3.436972222,13.61605556,4.265527778
"CT",2010,357.5,3.240916667,15.53877917,5.8065875
"CT",2011,350.5,4.486638889,15.15229167,5.339541667
"CT",2012,252.3333333,2.381958333,15.9311875,6.09925
"CT",2013,354.5,3.329895833,14.60327083,4.688458333
"CT",2014,239,3.4645,13.69445833,4.149375
"CT",2015,348.3333333,2.6559375,15.10572917,4.3170625
