"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"DE",1936,17,4.755208333,17.811875,7.075916667
"DE",1937,14,3.9065,17.86758333,7.4555
"DE",1938,14,3.958583333,18.74458333,7.741291667
"DE",1939,16.5,3.811791667,18.615375,7.478458333
"DE",1940,33.5,3.723125,16.65554167,6.030958333
"DE",1941,12,2.522583333,19.0435,7.271083333
"DE",1942,26.5,3.332208333,18.41825,7.449125
"DE",1943,8,2.806526515,18.24691288,6.267590909
"DE",1944,15.5,3.440041667,18.43483333,7.166958333
"DE",1945,11,3.887791667,18.299125,7.28975
"DE",1946,2,2.67675,18.87870833,7.568958333
"DE",1947,14.5,3.751878788,18.094625,7.517015152
"DE",1948,190.5,4.315125,17.636,7.182208333
"DE",1949,359,2.877416667,19.143,8.511333333
"DE",1950,363,2.678125,17.64425,6.935
"DE",1951,363,3.21275,18.5055,7.404208333
"DE",1952,360,3.785958333,18.38645833,8.103833333
"DE",1953,360,3.272125,19.166625,8.402208333
"DE",1954,363,2.538791667,18.664125,7.698291667
"DE",1955,364.5,2.582,18.14841667,7.683166667
"DE",1956,366,3.318375,17.73154167,7.406416667
"DE",1957,365,2.466708333,18.531,7.827916667
"DE",1958,364.5,3.61132197,16.73733333,6.682333333
"DE",1959,364.5,2.857375,19.03395833,8.029125
"DE",1960,350,3.125083333,17.74258333,7.070541667
"DE",1961,365,3.205375,17.61520833,7.252083333
"DE",1962,364.5,2.625666667,17.121,6.619208333
"DE",1963,365,2.461666667,17.58325,6.280291667
"DE",1964,366,2.500375,18.49116667,7.157833333
"DE",1965,365,1.96175,18.17216667,6.725666667
"DE",1966,365,2.749708333,17.82870833,6.853125
"DE",1967,365,3.683125,17.34420833,6.416416667
"DE",1968,365,2.3245,18.06416667,7.021041667
"DE",1969,365,3.392583333,17.39175,7.102375
"DE",1970,365,2.801708333,17.60354167,6.889833333
"DE",1971,364,3.971458333,18.08179167,7.391458333
"DE",1972,366,3.686166667,17.31966667,7.053916667
"DE",1973,349.5,3.510662879,18.66612121,8.08480303
"DE",1974,365,2.918208333,18.39795833,7.081541667
"DE",1975,365,4.014416667,18.42108333,7.7675
"DE",1976,335,2.690125,18.10433333,6.286333333
"DE",1977,365,3.406083333,18.363,7.447041667
"DE",1978,350,3.665912879,16.96076136,6.205856061
"DE",1979,345,3.799901515,18.06693939,7.522708333
"DE",1980,349.5,2.758128788,18.08253788,7.48225
"DE",1981,349.5,2.654625,17.50429167,7.249083333
"DE",1982,331,3.010363636,17.66014773,7.264738636
"DE",1983,365,4.137291667,18.45145833,7.97725
"DE",1984,344,3.159583333,18.209375,7.757875
"DE",1985,346.5,3.063833333,18.67479167,8.08225
"DE",1986,340.5,2.863833333,18.62179167,8.040458333
"DE",1987,349.5,2.728166667,18.69954167,8.286125
"DE",1988,336.5,2.865125,18.16995833,7.395708333
"DE",1989,358,4.235916667,17.36145833,7.636666667
"DE",1990,360.5,3.135916667,19.541125,9.06
"DE",1991,364.5,3.031208333,19.621375,8.922166667
"DE",1992,364.5,2.805416667,16.96016667,7.828875
"DE",1993,356,3.362333333,17.63658333,8.193208333
"DE",1994,359.5,3.648833333,17.95891667,7.761791667
"DE",1995,356,2.893208333,17.82041667,8.192208333
"DE",1996,354.5,4.525416667,16.91608333,7.554333333
"DE",1997,354.5,2.987166667,17.675625,7.846083333
"DE",1998,327.5,2.847166667,19.10425,9.438916667
"DE",1999,350,3.543125,18.57645833,8.528083333
"DE",2000,358.5,3.533875,17.25670833,7.682125
"DE",2001,356.5,2.638166667,18.36375,8.441541667
"DE",2002,353.5,3.411208333,18.77579167,8.965458333
"DE",2003,355.5,4.469958333,16.86166667,7.855
"DE",2004,350,3.708416667,17.65883333,8.613625
"DE",2005,341,3.315443182,18.47535606,8.963791667
"DE",2006,363.5,3.388458333,19.141625,9.179166667
"DE",2007,355,3.080291667,18.343875,8.548875
"DE",2008,362,3.014958333,18.52604167,8.327625
"DE",2009,330.5,4.272441667,18.32454167,8.697033333
"DE",2010,352,3.065791667,18.758,8.864208333
"DE",2011,48,3.463958333,19.11466667,9.019625
"DE",2012,3.5,2.247666667,19.35579167,9.3275
"DE",2013,170,3.292,17.77941667,8.006708333
"DE",2014,295,2.802416667,17.46375,7.310625
"DE",2015,363,3.261583333,18.757,8.636083333
