"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"FL",1936,66,3.938318333,27.55652505,16.60927556
"FL",1937,7,4.243130135,27.53771229,16.47910833
"FL",1938,NA,3.042897222,28.12995833,16.14663333
"FL",1939,NA,3.726930556,28.39025379,16.4408995
"FL",1940,NA,3.534511494,26.71979444,15.27802874
"FL",1941,1,4.072211795,27.66754962,16.58943864
"FL",1942,NA,3.452106759,27.734601,15.87022619
"FL",1943,NA,3.685359319,28.10851434,15.9676828
"FL",1944,91.5,3.550195853,28.09349562,15.95534585
"FL",1945,365,3.969150938,28.55945865,16.99162413
"FL",1946,365,3.557083784,28.55586021,17.31610702
"FL",1947,NA,5.176377743,27.77221291,17.09400679
"FL",1948,176.6666667,4.171145887,28.64092582,17.5964327
"FL",1949,349.7575758,3.605107744,28.62718073,16.95134129
"FL",1950,351.15625,3.264364347,28.31848656,16.13053641
"FL",1951,347.6129032,3.314811119,28.26513429,16.12540775
"FL",1952,348,3.530325473,28.01974593,16.28496236
"FL",1953,360.84375,4.817616951,28.02839986,16.93684375
"FL",1954,362.6451613,3.42086411,27.93451421,16.05925284
"FL",1955,359.90625,2.977545139,28.17116059,16.07829297
"FL",1956,358.9705882,2.842062908,28.13849242,15.70526278
"FL",1957,362.1428571,4.457864762,28.0648848,16.90465392
"FL",1958,359.0857143,4.014213961,27.02973931,15.83490753
"FL",1959,358.3142857,4.879268095,27.68620294,16.84582794
"FL",1960,357,4.391783918,27.5701932,15.87692353
"FL",1961,358.6285714,2.936675114,28.22066466,15.80127075
"FL",1962,351,3.502311307,28.12854391,15.82517743
"FL",1963,349.4,3.860483333,27.57605492,15.55028688
"FL",1964,346.7714286,4.105790216,27.5140451,16.34848587
"FL",1965,358.0857143,3.725105815,27.81290784,16.31542928
"FL",1966,362.3142857,3.96397316,26.93830325,15.72443382
"FL",1967,353.3235294,3.295164513,28.13291249,15.9507237
"FL",1968,355.2941176,3.739293067,27.36809183,15.03618328
"FL",1969,364.0882353,4.365170232,27.10452089,15.66001446
"FL",1970,359.7647059,3.615100134,27.71325973,15.66666757
"FL",1971,357.7941176,3.393495455,28.33443866,15.93545308
"FL",1972,350.7352941,3.593846962,28.30022988,16.38989138
"FL",1973,332.6764706,4.01920176,27.94631407,16.01394107
"FL",1974,339.7352941,3.381795918,28.31882819,16.03527052
"FL",1975,357.7575758,3.480908884,28.60174612,16.46330194
"FL",1976,359.3333333,3.597931221,27.34751842,15.0967018
"FL",1977,361.3939394,3.25221382,27.59073362,15.21247836
"FL",1978,351.0909091,3.508034206,27.25706913,15.44498706
"FL",1979,351.1515152,4.099944215,27.51314528,15.87786837
"FL",1980,355.8787879,3.325578704,27.80340025,15.87525213
"FL",1981,361.2424242,3.073704775,27.91921501,14.71781208
"FL",1982,350.6666667,4.503236639,28.31563701,16.92834835
"FL",1983,357.3636364,4.672830395,26.93819229,15.64517199
"FL",1984,342.9393939,3.453781497,27.59494472,15.94048903
"FL",1985,353.2424242,3.53525287,28.0106902,16.35484458
"FL",1986,354.5757576,3.728193419,28.23534639,16.82037856
"FL",1987,356.3636364,3.683488522,27.36494131,15.88406482
"FL",1988,358.969697,3.578008494,27.32905262,15.60681883
"FL",1989,360.0909091,3.172346419,28.31072916,16.25308967
"FL",1990,359.3333333,3.165724151,28.9398124,16.74259431
"FL",1991,362.3939394,4.264719238,28.07188059,17.07593995
"FL",1992,361.3030303,3.868997475,27.28263281,16.13283475
"FL",1993,358.8787879,3.493242129,27.62920522,16.18656088
"FL",1994,352.0606061,4.327602663,28.02872626,17.10486857
"FL",1995,357.3030303,4.120472605,27.71880831,16.56467945
"FL",1996,365.6875,3.596270833,27.33103125,15.76326823
"FL",1997,355.4375,4.070798295,27.75131463,16.61648011
"FL",1998,322.5882353,3.927066065,28.42948806,17.60815691
"FL",1999,340.2727273,3.367625668,27.82264483,16.2917705
"FL",2000,334.1470588,2.809045974,27.66221743,15.67088387
"FL",2001,353.1875,3.750231373,27.66718271,16.1498906
"FL",2002,343.375,4.038071333,27.79144327,16.64149756
"FL",2003,354.5151515,4.073086869,27.51568834,16.77404688
"FL",2004,342.7272727,4.057381926,27.29361753,16.09327273
"FL",2005,342.6969697,4.138877359,27.32842603,16.60747069
"FL",2006,346.9375,2.911211905,27.86038742,15.98578708
"FL",2007,345.6875,3.099219771,28.11012827,16.8970915
"FL",2008,351.5625,3.698723377,27.66773117,16.39209134
"FL",2009,343.78125,3.619402517,27.71083687,16.53011306
"FL",2010,354.59375,3.440644029,26.59458988,15.1828066
"FL",2011,104.5,3.56229951,28.38917536,16.66541677
"FL",2012,115,3.773930952,28.02453571,16.91647857
"FL",2013,111.25,3.930016883,27.87537965,17.11836472
"FL",2014,130.3333333,4.137600649,27.54158567,16.54804948
"FL",2015,119,3.622035714,28.56160606,18.29243398
