"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"GA",1936,243.8,4.462667377,24.20361843,11.68579884
"GA",1937,275.2083333,3.75349779,23.50694081,11.30406645
"GA",1938,274.2083333,2.973589761,25.02260078,11.90264279
"GA",1939,254.3846154,3.539043878,25.02944053,11.96518033
"GA",1940,236.4285714,3.439806566,23.47228617,10.4358488
"GA",1941,277.2916667,3.049898015,24.76391383,11.60528671
"GA",1942,261.2,4.00875,24.15910238,10.8329461
"GA",1943,284.1304348,3.327835426,24.49551201,10.91558578
"GA",1944,298.8636364,3.806845238,24.17718775,11.19959952
"GA",1945,311.2380952,4.055173892,24.59100509,11.69169583
"GA",1946,320.0952381,3.700975224,24.75129255,11.97090848
"GA",1947,304.5238095,4.315276726,23.4690242,11.32382264
"GA",1948,263.4594595,4.593403808,24.09934945,11.65821865
"GA",1949,357.7837838,3.462083538,24.35418308,12.02580556
"GA",1950,348.9189189,3.047295168,24.16215532,11.39399613
"GA",1951,359.3611111,3.184425744,24.70059322,11.2704415
"GA",1952,359,3.18367012,24.76362563,11.19656464
"GA",1953,353.8108108,4.086258463,24.70585456,11.46739118
"GA",1954,347.2631579,2.151054791,25.47865691,11.02294813
"GA",1955,360.1794872,2.865643162,24.68953987,11.03814304
"GA",1956,356.4871795,3.333527739,24.71996495,11.06746483
"GA",1957,357.5,3.848972648,24.42604743,12.14766548
"GA",1958,354.7105263,3.213338278,23.44785156,10.43869898
"GA",1959,365,3.851115072,24.16743387,11.48781081
"GA",1960,341.8717949,3.290337283,23.99628783,10.70512752
"GA",1961,353.8461538,3.913836441,23.84113313,10.31293724
"GA",1962,358.1794872,3.428192657,24.35912292,10.79580593
"GA",1963,356.7692308,3.581560897,23.6449037,9.830697507
"GA",1964,359.7179487,4.863484577,23.50721921,10.52277725
"GA",1965,362.1538462,3.284701632,23.93480326,10.66202339
"GA",1966,357.1025641,3.843431138,22.93333013,9.935398504
"GA",1967,361.1538462,3.508520299,23.73286966,9.729559188
"GA",1968,355.9230769,2.927576884,23.40338131,9.313138306
"GA",1969,362,3.472360218,23.16748116,9.748677739
"GA",1970,352.2051282,3.401805051,23.96180456,10.34649625
"GA",1971,361.4871795,4.014461849,23.98146822,10.65133559
"GA",1972,357.8717949,3.579658741,24.036585,10.80112922
"GA",1973,331.6315789,4.173399289,23.78078223,10.68559726
"GA",1974,361.6216216,3.612369165,24.34244799,10.57446724
"GA",1975,362.3513514,4.442904791,23.92090889,10.87627696
"GA",1976,361.7297297,3.902625512,23.23838436,9.12902614
"GA",1977,352.972973,3.500538329,23.86041138,10.15923923
"GA",1978,358.7837838,2.952908559,23.7019767,9.93412715
"GA",1979,356.6216216,3.987428378,23.19060319,10.18121929
"GA",1980,354.4864865,3.365054054,23.69794865,10.26737121
"GA",1981,360.7567568,2.958787879,23.5965776,9.662846642
"GA",1982,333.2972973,4.094809787,23.70680446,11.02334316
"GA",1983,354.7027027,3.936076577,22.86125225,9.857207207
"GA",1984,349.6216216,3.362390213,23.92009775,10.34944357
"GA",1985,340.6486486,3.350565684,23.55210983,10.99453976
"GA",1986,357.6486486,2.931578829,24.47658777,11.69645632
"GA",1987,353.6756757,3.089616196,23.57259171,10.66244606
"GA",1988,346.9736842,2.947883506,23.17274913,9.887435756
"GA",1989,356.9473684,4.169990112,23.13839128,10.89900942
"GA",1990,357.0789474,3.290866228,25.04675,11.47664865
"GA",1991,357.6315789,4.081151814,23.82049531,11.87177908
"GA",1992,362.3157895,4.498609051,22.73440622,10.77497645
"GA",1993,356.5526316,3.370383145,23.37055315,10.74295405
"GA",1994,362.3157895,4.777356858,23.20393993,11.26942465
"GA",1995,356.0263158,3.698046132,23.39064473,11.00008779
"GA",1996,350.4473684,3.385824668,23.05417431,10.42051264
"GA",1997,361.8947368,4.032352472,22.95789005,10.87862346
"GA",1998,327.2820513,3.652292929,24.24034829,12.12617225
"GA",1999,357.3589744,2.882653768,24.16750965,10.912738
"GA",2000,348.6923077,2.888824009,23.6363207,10.30387938
"GA",2001,344.8461538,3.006054571,23.55801859,10.53427238
"GA",2002,337.3589744,3.618614051,23.25699918,10.78395051
"GA",2003,346.9210526,4.121272089,23.06189405,11.09413356
"GA",2004,361.3157895,3.855221523,23.58955789,11.43379662
"GA",2005,341.3589744,4.035652991,23.25228732,11.01778048
"GA",2006,348.5641026,2.870393279,24.24931706,10.88594779
"GA",2007,345.5128205,2.740126625,24.54624236,11.13282725
"GA",2008,338.2820513,3.197459402,23.41646026,9.980662536
"GA",2009,339.975,4.28316375,23.11687931,10.89995069
"GA",2010,354.075,2.982870139,23.16935769,9.836234177
"GA",2011,99.61111111,3.297217949,24.32162393,10.62097009
"GA",2012,122.5333333,3.088572941,24.65903613,11.80785227
"GA",2013,102.5333333,4.735489867,23.07959883,10.98395635
"GA",2014,97.94117647,3.763651692,23.16319178,10.16410939
"GA",2015,90.14285714,4.362689135,23.56995258,11.31816243
