"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"HI",1936,NA,7.646875,26.87147778,18.79018889
"HI",1937,NA,8.891791667,26.54938889,18.78288889
"HI",1938,NA,5.910291667,26.94231818,19.22029293
"HI",1939,NA,5.465833333,26.17691667,18.69905556
"HI",1940,NA,6.518583333,27.07233333,19.06861111
"HI",1941,NA,6.2894375,26.93172222,19.26002778
"HI",1942,NA,7.617125,27.14958333,18.74063333
"HI",1943,NA,5.287916667,27.26508333,18.84675
"HI",1944,NA,4.477104167,26.85786111,18.41877778
"HI",1945,NA,4.291645833,27.08,18.81708333
"HI",1946,NA,5.582583333,26.40116667,18.67620556
"HI",1947,NA,5.339,26.52638889,18.75013889
"HI",1948,NA,6.26,26.10733333,18.80675
"HI",1949,92,4.56449053,25.84960606,18.15695202
"HI",1950,362,5.725979167,26.25591667,18.73466667
"HI",1951,355.5,4.673403409,26.74608333,18.88933586
"HI",1952,364.75,5.429104167,26.07627778,17.83108333
"HI",1953,363.5,3.116479167,26.64094444,17.80664899
"HI",1954,364,5.19575,26.53486111,18.19472222
"HI",1955,364,5.369458333,25.62966667,18.11758333
"HI",1956,329,7.006816667,26.34067424,18.94449495
"HI",1957,363,5.427816667,26.42891667,18.54663889
"HI",1958,365,5.057283333,26.34655556,17.95923232
"HI",1959,364.6,4.818116667,26.78280556,18.79077778
"HI",1960,365.4,5.155433333,26.74483333,18.89727778
"HI",1961,364.6,4.823383333,26.1803,17.94355
"HI",1962,364.6,3.569583333,26.28714583,17.5689375
"HI",1963,365,5.109233333,25.845625,16.84527083
"HI",1964,366,5.515666667,25.22275,16.78745833
"HI",1965,365,5.711833333,24.93725,17.66091667
"HI",1966,365,4.377416667,25.1215,17.21483333
"HI",1967,365,5.39985,26.31041667,17.94809167
"HI",1968,366,5.446983333,26.480125,18.04858333
"HI",1969,365,5.929183333,25.48061111,17.87538889
"HI",1970,365,5.2233,25.21808333,17.74179167
"HI",1971,358.8,4.681401515,24.82970833,17.54828788
"HI",1972,348,4.125805556,24.97604167,17.40920833
"HI",1973,334.8,3.751735714,25.32695833,16.95737879
"HI",1974,346.8,4.218131818,26.0016875,16.623375
"HI",1975,365,4.337083333,24.20216667,18.0115
"HI",1976,366,5.150666667,24.5985,18.1745
"HI",1977,349.75,4.380458333,26.57641667,18.31879167
"HI",1978,357.5,5.788183712,25.15175,18.9685
"HI",1979,365,5.778020833,25.88608333,18.61970833
"HI",1980,366,6.7395,25.00625,18.36091667
"HI",1981,365,4.504083333,25.40108333,18.85983333
"HI",1982,357.25,8.485083333,24.71225,18.98916667
"HI",1983,362.25,4.037416667,24.56933333,18.24058333
"HI",1984,366,4.333895833,25.21875,19.02575
"HI",1985,365,5.2498125,25.08941667,18.45183333
"HI",1986,364.5,6.092,25.75616667,18.68791667
"HI",1987,362.25,7.1164375,25.27558333,18.08333333
"HI",1988,357.25,6.546895833,25.01916667,18.57958333
"HI",1989,365,8.372145833,25.043,18.10683333
"HI",1990,357.75,8.167291667,25.34125,18.36566667
"HI",1991,365,6.078875,25.82766667,18.03608333
"HI",1992,343,5.050138889,25.84941667,18.05683333
"HI",1993,349.75,5.033524621,25.20075,17.51641667
"HI",1994,365,6.9811875,24.426,18.08425
"HI",1995,360.75,4.934541667,25.33666667,17.45975
"HI",1996,366,5.221770833,25.5035,18.08258333
"HI",1997,365,5.755291667,24.70466667,17.86733333
"HI",1998,335,4.61725,24.04208333,17.17508333
"HI",1999,353.2,4.190726667,24.80485,17.14876667
"HI",2000,366,3.571975758,26.05788636,18.37033333
"HI",2001,365,4.27845,26.125875,18.61995833
"HI",2002,365,4.509866667,26.14175,18.50385417
"HI",2003,365,3.834366667,26.52647917,18.414125
"HI",2004,366,6.078133333,26.33395833,18.5471875
"HI",2005,364.6,4.6003,26.06177083,18.13529167
"HI",2006,365,5.50135,25.58302083,18.07776705
"HI",2007,364.8,4.278583333,25.3913125,17.57264583
"HI",2008,366,4.028183333,25.16625,16.77065
"HI",2009,352.8,5.661616667,25.03903333,16.99988333
"HI",2010,358.6,3.80815303,25.45596667,17.18891212
"HI",2011,NA,4.800633333,26.24543,18.25058333
"HI",2012,NA,4.42425,26.04941667,17.91458333
"HI",2013,NA,4.274,26.42186667,18.32516667
"HI",2014,NA,5.8885,26.68348333,18.60443333
"HI",2015,NA,7.16449,27.09692,18.66434
