"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"IA",1936,194.3376623,1.864075554,15.1411185,2.304748678
"IA",1937,185.5194805,2.001443487,14.47367,2.437584182
"IA",1938,169.1410256,2.612990618,16.78490163,4.549634897
"IA",1939,170.7594937,1.830541906,17.0677892,3.783575297
"IA",1940,192.2564103,2.111825765,14.48126389,2.771582892
"IA",1941,181.974026,2.627142963,16.28374622,4.89180846
"IA",1942,184.3766234,2.255294077,15.25370435,3.827347107
"IA",1943,172.2,2.17078449,14.84865147,2.591954478
"IA",1944,171.6233766,2.522036652,15.191328,3.94054386
"IA",1945,183.1168831,2.341374754,14.49008439,2.812574633
"IA",1946,162.025974,2.418026171,16.00368262,3.600562823
"IA",1947,181.4736842,2.363711809,15.13439999,3.509953907
"IA",1948,329.0864198,1.924337353,15.95625462,3.572115881
"IA",1949,334.8902439,1.956559818,16.18415069,3.608716138
"IA",1950,334.3493976,1.979443052,14.05219414,1.59829151
"IA",1951,324.6829268,2.900940453,13.15768906,1.969061604
"IA",1952,322.9277108,2.014110277,15.52676068,3.273974179
"IA",1953,328.5647059,1.82182628,16.55237072,4.070106089
"IA",1954,338.2352941,2.489700106,16.37961542,4.363896248
"IA",1955,334.6,1.57853754,16.26760704,3.313446435
"IA",1956,336.1411765,1.681916611,16.0092973,2.968687302
"IA",1957,335.0238095,2.216621017,15.21764305,3.672518467
"IA",1958,337.1785714,1.765869288,15.21135363,2.826894661
"IA",1959,333.25,2.589911977,14.74118552,3.100857143
"IA",1960,342.2619048,2.332370004,14.42498539,2.497040314
"IA",1961,334.9047619,2.527351641,14.72473855,2.786964917
"IA",1962,338.5176471,2.133229376,14.48461276,2.744885829
"IA",1963,341.6235294,1.852993164,15.65350423,3.123832193
"IA",1964,357.9764706,2.23399183,16.24813148,3.511226821
"IA",1965,353.9411765,2.792953333,14.71031257,2.637121266
"IA",1966,346.6588235,1.727511105,15.10296447,2.223751371
"IA",1967,340.7647059,2.137975728,15.23336863,2.723550174
"IA",1968,341.6705882,2.254915701,15.55294528,3.228745294
"IA",1969,329.4588235,2.471186249,14.26121098,2.78647851
"IA",1970,333.4823529,2.330102228,14.97979724,3.029051515
"IA",1971,337.7647059,2.06499128,15.27138209,3.241458728
"IA",1972,342.4823529,2.561010873,13.87218551,2.357372745
"IA",1973,335.2588235,3.031498226,15.36535439,4.464880118
"IA",1974,339.9036145,2.197878079,15.16546169,3.158558585
"IA",1975,330.7764706,2.142020297,14.98062138,3.096434498
"IA",1976,349.4117647,1.6884868,15.88325242,2.287139759
"IA",1977,331.4470588,2.584284557,15.91894051,3.53528858
"IA",1978,306.9294118,2.408177828,14.09413506,2.077265668
"IA",1979,296.1976744,2.330545913,13.5737962,1.530555685
"IA",1980,301.3764706,1.98021287,15.21601111,2.762307435
"IA",1981,316.25,2.27730081,16.36243411,3.657245066
"IA",1982,312.1204819,3.047621535,13.74337377,2.752114253
"IA",1983,302.1785714,2.554079636,14.34526223,3.453017562
"IA",1984,306.2380952,2.584984591,15.20052526,3.502514943
"IA",1985,306.4761905,2.230805021,14.10687176,2.238722248
"IA",1986,327.5833333,2.812620202,15.27179055,4.187064105
"IA",1987,341.3809524,2.295287316,16.56498301,4.739096114
"IA",1988,321.4482759,1.6501502,16.51279613,3.08914946
"IA",1989,332.6321839,1.709509579,14.64505233,2.029027203
"IA",1990,330.8275862,2.665840038,15.85917926,3.956527778
"IA",1991,337.8965517,2.635396552,15.13371824,3.759969362
"IA",1992,345.045977,2.554577572,14.43760606,3.569294265
"IA",1993,342.091954,3.350063131,12.77235196,2.629108527
"IA",1994,340.3448276,2.212841127,14.75685713,2.91860311
"IA",1995,338.372093,2.39295525,14.1995984,3.223434982
"IA",1996,331.2906977,2.397435025,12.9925039,1.754337772
"IA",1997,325.6395349,2.260517178,14.00707849,2.890099806
"IA",1998,311.9431818,2.791379046,15.77081078,5.223979188
"IA",1999,341.7613636,2.25316813,15.74691432,3.762953588
"IA",2000,335.045977,2.101783144,15.21106505,3.21359387
"IA",2001,334.4318182,2.48211157,15.02251111,3.529024897
"IA",2002,341.9090909,2.025121304,15.52077796,3.336676446
"IA",2003,336.7613636,2.061547039,14.90472893,2.555347693
"IA",2004,345.6022727,2.460415697,14.99752627,3.323343073
"IA",2005,329.0804598,2.067429809,15.81396125,3.947942536
"IA",2006,321.816092,2.194023766,16.0453442,4.313471884
"IA",2007,319.2413793,3.324305191,15.16098015,3.659125218
"IA",2008,318.908046,2.888257185,13.46130501,1.859680068
"IA",2009,318.755814,2.654167044,13.83416817,2.253080049
"IA",2010,319.3908046,3.090468908,14.49896593,2.858627443
"IA",2011,220.3139535,2.802003788,14.89788258,3.130401515
"IA",2012,228.0113636,1.930209264,17.66471122,4.48064659
"IA",2013,267.0568182,2.391139275,13.8841485,2.136931393
"IA",2014,320.8539326,2.756605592,13.22221744,1.48685127
"IA",2015,333.8988764,3.028672143,15.30721672,3.648728152
