"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"IL",1936,281.4468085,2.154037667,17.38118066,4.724585772
"IL",1937,269.3333333,2.536283333,16.48284375,5.0692975
"IL",1938,275.4583333,2.930378667,18.83025476,7.067874603
"IL",1939,284.5531915,2.512512333,18.49258537,6.101020732
"IL",1940,272,2.078777,16.46012341,4.839894841
"IL",1941,273.2040816,2.784998663,18.10286389,6.665018651
"IL",1942,288.9574468,2.805285948,16.94674031,5.739674419
"IL",1943,296.5,2.39270915,17.12410271,5.109178295
"IL",1944,284.6170213,2.35735845,17.34960636,5.835344481
"IL",1945,288.7659574,3.170155229,16.43514352,5.294713883
"IL",1946,275.755102,2.74668112,18.90630775,6.525673643
"IL",1947,277.6458333,2.65237855,16.55649849,5.176538636
"IL",1948,309.5294118,2.548262923,17.23343258,5.274057128
"IL",1949,334.2156863,2.900561081,18.13870463,6.148183466
"IL",1950,344.74,2.878747273,16.34400776,4.669925144
"IL",1951,329.9,2.973344242,16.18657071,4.847042208
"IL",1952,337.3,2.228887424,18.1413373,5.827611111
"IL",1953,334.3,1.897823939,18.93230357,6.182559524
"IL",1954,325.68,2.410779742,18.73781439,6.562678842
"IL",1955,322.1632653,2.424693383,18.02411514,5.743243386
"IL",1956,307.38,2.075717111,18.34288592,5.836433721
"IL",1957,321.64,3.080970485,17.07655444,5.86654105
"IL",1958,317.1,2.393007803,16.26587635,4.78271324
"IL",1959,322.02,2.674542515,17.40009504,5.801079718
"IL",1960,330.0408163,2.372751333,16.33093151,5.000163258
"IL",1961,325.2857143,2.930563358,17.17872094,5.453606431
"IL",1962,338.0612245,2.336846722,16.87183333,5.125411232
"IL",1963,335.5102041,1.94919496,17.09828697,4.304172101
"IL",1964,328.3673469,2.197430427,18.04704513,5.704874835
"IL",1965,345.4375,2.955694836,17.48661344,5.722961891
"IL",1966,342.6530612,2.40333086,16.47003417,4.544995809
"IL",1967,337.0212766,2.780352041,16.50279809,5.059736331
"IL",1968,342.6122449,2.44654932,16.91101449,5.287028986
"IL",1969,341.9183673,2.839786178,16.30275,5.100671443
"IL",1970,344.7755102,2.898522838,16.72875246,5.476180901
"IL",1971,350.4680851,2.233168087,17.66289546,5.73761633
"IL",1972,346.8297872,2.929116162,16.09439024,5.020391751
"IL",1973,337.6458333,3.287796559,16.59292811,6.766674158
"IL",1974,341.9166667,2.959018624,16.79425387,5.714241027
"IL",1975,342.9583333,2.828130907,16.80926015,5.66419744
"IL",1976,354.5833333,1.967138415,16.76835688,3.930827899
"IL",1977,347.25,2.906327915,16.71416486,5.041386199
"IL",1978,342.2916667,2.500411963,15.62838422,3.901685747
"IL",1979,343.9791667,2.688831376,15.70099989,4.047050329
"IL",1980,336.9791667,2.336002656,16.49760481,4.853863661
"IL",1981,347.7755102,2.936687539,17.04436297,5.457449621
"IL",1982,339.3469388,3.442620903,16.09772179,4.869297389
"IL",1983,339.877551,2.891839518,16.69692956,5.689386202
"IL",1984,331.2857143,2.804397012,16.31475657,5.133009528
"IL",1985,327.1,3.2387669,16.17148417,4.870882798
"IL",1986,315.1,2.554113068,16.86360475,5.643256736
"IL",1987,338.82,2.418289167,18.02130669,6.321337027
"IL",1988,344.84,2.080020693,17.68257193,4.611640039
"IL",1989,344.42,2.27034916,16.03325369,4.291191473
"IL",1990,351.3877551,3.482568671,17.56387903,6.038523399
"IL",1991,342.86,2.529560727,17.28197872,6.14152724
"IL",1992,353.9591837,2.571040971,16.52657675,5.697345356
"IL",1993,344.2653061,3.7061812,15.37785257,5.265439954
"IL",1994,350.9591837,2.72920068,16.84027388,5.232153491
"IL",1995,337.0392157,2.927105338,16.10981771,4.801235417
"IL",1996,346.5306122,2.986798392,15.49377899,4.258085145
"IL",1997,339.5882353,2.602948561,15.81930529,4.97849597
"IL",1998,321.6730769,3.151454341,18.1511481,7.616200894
"IL",1999,346.0566038,2.491351201,17.90339023,5.878925711
"IL",2000,341.6851852,2.850623569,16.50830587,5.070337437
"IL",2001,351.3888889,2.802853292,17.55517255,5.913443246
"IL",2002,354.0185185,2.717140572,17.46985736,6.032363879
"IL",2003,346.7962963,2.665504349,16.66932288,5.023610101
"IL",2004,347.4074074,2.991610297,16.81209789,5.678075857
"IL",2005,348.4259259,2.28523938,17.74442398,6.255656226
"IL",2006,346.7222222,2.917761644,17.69491122,6.485864379
"IL",2007,345.9259259,2.761510963,17.77199138,6.169947712
"IL",2008,333.6851852,3.457540806,15.99985425,4.81448109
"IL",2009,336.8148148,3.788711829,15.65832371,5.073244118
"IL",2010,340.3461538,2.837095588,17.15844315,5.785519977
"IL",2011,178.3653846,3.5965539,16.93968721,6.031767481
"IL",2012,199.7115385,2.27255546,19.13210392,6.805261006
"IL",2013,222.4339623,2.981195826,16.0521829,4.819990414
"IL",2014,230.1851852,3.000991603,15.07665443,3.890419913
"IL",2015,239.9444444,3.309762037,16.22122624,5.022371914
