"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"IN",1936,229.7333333,2.423891667,18.16265561,5.481235544
"IN",1937,227.3,3.374661111,16.71187879,5.261914881
"IN",1938,222.0666667,2.826986111,18.47167262,6.448681548
"IN",1939,222.6551724,2.752044148,18.41472306,6.318403479
"IN",1940,241.5862069,2.25910246,16.93298206,5.219003571
"IN",1941,231.7666667,2.215847222,18.23555952,6.4911875
"IN",1942,228.2333333,2.873522222,16.98036488,5.711130357
"IN",1943,228.4482759,2.684264368,17.22604012,5.137716049
"IN",1944,231.2068966,2.327508621,18.06012177,6.046502245
"IN",1945,245.8928571,3.449364159,16.67854658,5.468694725
"IN",1946,216.6428571,2.528945977,19.08141358,6.383731481
"IN",1947,218.4482759,2.828044007,16.27212514,5.076106061
"IN",1948,311.8064516,2.946229391,16.82340993,4.960350871
"IN",1949,343.4516129,3.159785417,18.16740476,6.2488125
"IN",1950,346.0666667,3.763855114,16.32484307,4.842583604
"IN",1951,343.3,2.898405729,16.43614286,4.742110931
"IN",1952,354.8333333,2.683346354,17.90518588,5.692831981
"IN",1953,354.1290323,2.120683475,18.75529316,5.825754911
"IN",1954,356.6451613,2.610912405,18.15406137,5.898354476
"IN",1955,352.0322581,2.865334517,17.71118391,5.239333333
"IN",1956,355.2666667,2.397478641,17.51785033,5.255090909
"IN",1957,329.7419355,3.495525805,16.25314916,4.74493652
"IN",1958,351,2.907486559,15.66105303,4.155430465
"IN",1959,343.5666667,2.926819892,17.28699021,5.373687933
"IN",1960,343.7586207,2.402216035,15.82510877,4.238212392
"IN",1961,347.7931034,2.968296111,16.35695595,4.631323214
"IN",1962,347.3666667,2.421840873,16.72213383,4.566977011
"IN",1963,355.3,1.995186111,16.59442994,3.144330721
"IN",1964,355.8,2.596882778,17.77383448,4.769290613
"IN",1965,358.2,2.858394697,16.94879828,4.913734848
"IN",1966,355.9,2.581416919,16.25291588,3.990812696
"IN",1967,351.2666667,2.694487626,16.16552717,4.250128265
"IN",1968,330.6129032,2.955708456,16.1181452,4.461452273
"IN",1969,343.5806452,2.871760508,15.9274351,4.359174747
"IN",1970,339.5483871,2.641888807,16.46032702,4.826288384
"IN",1971,342.3870968,2.5531239,16.86029975,4.996758333
"IN",1972,346.3225806,3.02788673,15.75654533,4.656882702
"IN",1973,350,3.097777958,17.17841105,6.256552116
"IN",1974,332.9666667,2.930119444,15.91738845,4.888173197
"IN",1975,334.3793103,3.131190067,16.49395916,5.471954458
"IN",1976,347,2.268090909,16.54517215,3.766260972
"IN",1977,326.1935484,2.945331623,16.72568498,4.959393182
"IN",1978,327.9032258,2.739386584,15.71803083,3.909622441
"IN",1979,339.3548387,3.168309922,15.36415753,3.750756818
"IN",1980,342.3225806,2.485564516,16.15450185,4.658547222
"IN",1981,338.3548387,2.916063262,16.17114611,4.840907963
"IN",1982,326.9032258,3.153076979,16.37024217,4.96700202
"IN",1983,335.2903226,2.82800914,16.78552111,5.463125
"IN",1984,336.1935484,2.870360606,16.26699924,5.191616667
"IN",1985,325.4193548,3.277792115,16.13898556,4.839604579
"IN",1986,337.2258065,2.759941178,16.96010677,6.102338005
"IN",1987,326.7096774,2.474012638,17.88538406,6.493443975
"IN",1988,318.3225806,2.592637993,17.17097754,4.721046886
"IN",1989,348.483871,3.036994624,15.56595556,4.640697222
"IN",1990,354.1875,3.722984375,17.41514635,6.295417188
"IN",1991,342.6060606,2.468743867,17.54817746,6.660951637
"IN",1992,354.6666667,2.850242424,15.99215625,5.511596354
"IN",1993,350.1515152,3.431736652,15.43388095,5.293449912
"IN",1994,350.2727273,2.493896465,16.59225,5.191200521
"IN",1995,345.3030303,2.703840909,16.57310243,5.419698785
"IN",1996,349.65625,3.458333333,15.40481989,4.674206989
"IN",1997,346,2.818729798,15.68758073,5.076669271
"IN",1998,322.0909091,3.13379674,17.90741724,7.246519223
"IN",1999,345.5757576,2.457722681,17.88372278,5.799667614
"IN",2000,336.5757576,3.039586892,16.42977738,5.172355193
"IN",2001,343.1818182,3.239690909,17.49253636,6.372509044
"IN",2002,349.7575758,2.955289792,17.15862634,6.263657986
"IN",2003,327.0909091,3.229990124,15.35413029,4.535129956
"IN",2004,341.0625,3.072285507,16.4977562,5.768441256
"IN",2005,329.2727273,2.882952762,16.78690374,5.831847578
"IN",2006,343.030303,3.654789486,17.04331382,6.243468779
"IN",2007,341.9393939,2.9627764,17.61910629,5.954486455
"IN",2008,344.030303,3.49045877,16.19392562,4.790241736
"IN",2009,345.7575758,3.301320543,16.03597222,5.169737374
"IN",2010,342.2727273,2.846891919,17.18390243,5.612993113
"IN",2011,215.3939394,4.271468549,17.07854775,6.299145087
"IN",2012,288.969697,2.499201515,19.04409343,6.848540404
"IN",2013,295.4242424,3.178310606,15.7472399,4.854131313
"IN",2014,318.21875,3.059962121,15.33893142,4.189769965
"IN",2015,323.6363636,3.310267677,16.37383081,5.095628788
