"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"KS",1936,124.8548387,1.339423598,21.13039058,5.795095427
"KS",1937,120.5873016,1.539433139,19.50604731,5.479034158
"KS",1938,114.5,1.945067749,21.79509569,6.793962602
"KS",1939,234.9384615,1.395685606,22.19462759,6.491117484
"KS",1940,227.5294118,1.781161385,19.61091931,5.254325521
"KS",1941,224.1911765,2.536337662,19.9249598,6.922290078
"KS",1942,225.2173913,2.345621532,19.61605169,5.79155132
"KS",1943,239.2461538,1.734876398,20.79313979,5.330541789
"KS",1944,243.7384615,2.601075224,19.44940633,6.109247956
"KS",1945,230.0869565,2.126378417,19.99281597,5.601438095
"KS",1946,238.1212121,2.042747805,21.8276583,7.009543307
"KS",1947,223.4166667,1.903310502,20.22053432,5.937027656
"KS",1948,287.4324324,2.054534888,19.91887205,5.340523785
"KS",1949,346.1917808,2.231024236,19.59820154,5.467529622
"KS",1950,356.739726,1.780175899,20.20475376,4.693252621
"KS",1951,349.5753425,2.816664613,18.81392507,4.577786277
"KS",1952,349.5,1.276371929,20.81717136,5.357185553
"KS",1953,359.6486486,1.467981982,21.77920038,6.430621959
"KS",1954,355.7236842,1.368703289,22.45296932,6.735946628
"KS",1955,359.0921053,1.548825558,20.83040766,5.646487613
"KS",1956,359.5921053,1.059422867,21.95726085,5.966919636
"KS",1957,358.6578947,2.367620215,19.39050799,6.055760135
"KS",1958,348.2763158,2.231001628,19.00053604,5.471523649
"KS",1959,357.64,2.022875556,19.9021758,5.43859589
"KS",1960,349.5466667,1.914662929,19.11064332,5.232694998
"KS",1961,359.12,2.484400909,19.16585928,5.107997302
"KS",1962,357.4210526,1.927170255,20.25638626,6.019528716
"KS",1963,354.8552632,1.43073445,21.50252959,6.341353092
"KS",1964,357.8157895,1.739579645,20.88530743,5.900438268
"KS",1965,344.0131579,2.234468202,20.42471808,5.90788749
"KS",1966,348.4473684,1.232458333,20.12510749,5.061361179
"KS",1967,348.3947368,2.096680888,20.17046547,5.445152027
"KS",1968,354.0263158,1.897022368,19.83950046,5.275697635
"KS",1969,347.4868421,2.156054825,19.00964865,5.906412838
"KS",1970,350.7631579,1.684852572,20.35630068,5.392087019
"KS",1971,341.8157895,2.000387061,19.91453491,5.643293919
"KS",1972,341.3289474,1.963058402,19.34646656,5.291653457
"KS",1973,338.1578947,2.786932626,19.48553263,6.135121663
"KS",1974,340.2236842,1.750255183,19.65113616,5.490290029
"KS",1975,328.7763158,1.833473851,19.89380069,5.398263556
"KS",1976,357.1842105,1.540628655,20.86273059,5.005709458
"KS",1977,353.0394737,2.275360845,20.8416335,6.278937505
"KS",1978,326.2763158,1.686111603,19.39370253,4.939426546
"KS",1979,326.1973684,2.038218057,19.20659733,4.534250331
"KS",1980,327.2894737,1.504237234,20.80581413,5.723508848
"KS",1981,333.5131579,2.024804884,20.76602327,6.267435319
"KS",1982,317.8552632,2.09262021,19.46418081,5.111838802
"KS",1983,306.9868421,1.860932144,18.41228187,5.317790455
"KS",1984,306.4383562,2.085721323,19.67532135,5.703345787
"KS",1985,320.4383562,2.378947026,18.66596812,5.140067304
"KS",1986,336.1081081,2.234769738,20.77298554,6.77425162
"KS",1987,337.6666667,2.267770329,20.28153963,6.646749822
"KS",1988,351.6,1.45289899,20.48643929,5.560625156
"KS",1989,346.1578947,1.874863736,19.30656964,4.609218555
"KS",1990,351.2368421,1.975315191,20.55349938,6.284245953
"KS",1991,352.7368421,1.705106659,20.60041708,6.459761249
"KS",1992,348.8289474,2.414557699,19.21025355,6.012708005
"KS",1993,333.9736842,2.836183612,17.69905733,5.09086264
"KS",1994,340.3815789,1.968755233,20.22102885,5.859630708
"KS",1995,330.6973684,2.257203483,19.46667611,5.370150765
"KS",1996,335.3733333,2.356940719,19.082296,4.73295588
"KS",1997,333.4794521,2.297805417,18.96058681,5.421784722
"KS",1998,320.4459459,2.286583333,20.27137732,6.888761574
"KS",1999,349.3972603,2.177802525,20.59876105,6.203978746
"KS",2000,347.6164384,1.776070973,20.42118601,5.90324313
"KS",2001,344.5972222,1.939476242,20.25415876,5.978936696
"KS",2002,343.5205479,1.589043441,19.91433363,5.313699568
"KS",2003,335.1081081,1.923099154,19.88725552,5.358455084
"KS",2004,341.1621622,2.361965101,19.74624993,5.927547172
"KS",2005,334.36,2.298955989,19.94988706,5.866922392
"KS",2006,350.9733333,1.941971442,21.25800094,6.04920202
"KS",2007,336.2266667,2.539054565,19.17137509,5.786640431
"KS",2008,344.56,2.466363892,19.12847253,5.034789
"KS",2009,334.2567568,2.208382552,18.74661314,4.734208484
"KS",2010,347.3246753,1.897534732,19.39925464,5.549721873
"KS",2011,180.5584416,2.031013177,20.20810137,5.250393218
"KS",2012,181.1710526,1.341302234,22.31629998,6.538250708
"KS",2013,188.9736842,2.011635101,18.99442041,4.705809819
"KS",2014,239.7142857,1.756667677,19.13538926,4.599174767
"KS",2015,265.1315789,2.375228373,20.12205744,6.001596205
