"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"KY",1936,217.6428571,2.960225713,20.92674026,7.563231793
"KY",1937,218.2142857,3.869889305,19.08865009,6.843534492
"KY",1938,198.8,3.616091444,21.0499107,8.047827451
"KY",1939,217.6428571,4.062166667,20.85338399,7.746083333
"KY",1940,203.6666667,3.470492157,18.76786863,5.840554902
"KY",1941,175.6470588,2.568012032,20.89994652,7.80489082
"KY",1942,193.1875,3.545442692,20.09821595,7.59146221
"KY",1943,203.8,2.751433155,20.17162745,7.037603387
"KY",1944,190.0625,2.92637535,20.52954622,7.637290616
"KY",1945,211.2142857,3.698722538,19.71397727,7.154488636
"KY",1946,210.9285714,3.191739583,20.99904498,7.770216383
"KY",1947,197.6,3.362570076,19.35803314,6.643221117
"KY",1948,275.1764706,3.699455392,19.86208542,6.463948864
"KY",1949,336.9333333,3.632375,20.26320548,7.912625505
"KY",1950,336.375,4.417755208,19.02529444,6.863366667
"KY",1951,339.3125,3.899984375,19.85652727,6.972326768
"KY",1952,361.5625,2.7826875,20.82963939,7.646972727
"KY",1953,360.6875,2.632088542,21.53133889,7.507633333
"KY",1954,361.375,2.81146875,20.96583333,7.70125
"KY",1955,362.5625,3.259854167,20.34478333,7.296044444
"KY",1956,363.9375,3.661817708,20.2857,7.469205556
"KY",1957,353,3.872467803,20.01368889,7.647328788
"KY",1958,350.0625,2.952083333,18.35518889,5.961283333
"KY",1959,345.375,3.028322917,20.10128889,7.339661111
"KY",1960,351.1875,2.818911458,18.68390556,6.350066667
"KY",1961,351.125,3.531133996,19.26630337,6.937403612
"KY",1962,354.625,3.499244792,19.20685417,6.63975
"KY",1963,358.5625,2.264036458,19.21433854,5.475494792
"KY",1964,359.8125,3.270201705,20.33366222,6.738788542
"KY",1965,359.9375,3.000484375,19.74611458,7.133
"KY",1966,361.3125,3.244520833,18.58907813,6.427536458
"KY",1967,363.4375,3.396291667,19.0286875,6.683302083
"KY",1968,361,3.112182292,18.82951563,6.399807292
"KY",1969,353.3125,2.991265625,18.76276563,6.522239583
"KY",1970,340.875,3.370411458,19.3363776,7.147419271
"KY",1971,360.2666667,3.1334,19.65488333,7.332872222
"KY",1972,345.4,3.827105556,19.05458788,7.206572727
"KY",1973,338.2,3.669916667,19.659625,7.664566667
"KY",1974,342.0666667,3.749588889,19.37650556,7.31
"KY",1975,342.3333333,4.037972222,19.48762778,7.294996296
"KY",1976,335.4666667,2.918281818,18.78823838,5.470562121
"KY",1977,335,3.186227778,19.38462778,6.705861111
"KY",1978,326.4,3.762307172,18.45013283,6.11623303
"KY",1979,332.2666667,4.4836,18.02057222,6.076444444
"KY",1980,331.3125,2.604978883,19.40192775,6.698842424
"KY",1981,322.3125,3.138098958,19.06521875,6.4740625
"KY",1982,326.4,3.560810101,19.35116414,6.854177273
"KY",1983,333,3.307194444,18.79629444,6.505011111
"KY",1984,336.4,3.69665202,19.59378333,7.421990909
"KY",1985,307.4,2.899596667,17.60602333,5.806597778
"KY",1986,349.6923077,2.934442308,19.95538462,7.423346154
"KY",1987,322.7857143,2.772905303,20.45053301,7.417072511
"KY",1988,321,3.217867778,19.5786403,5.671513535
"KY",1989,333.375,4.075798453,18.63439236,6.506570549
"KY",1990,340.0625,3.929444697,19.84199744,7.348879167
"KY",1991,354.75,3.257663352,20.21649763,8.275690814
"KY",1992,323.3529412,3.019806744,18.81620754,7.041365767
"KY",1993,332.1764706,3.163632086,19.13496061,7.067484754
"KY",1994,327.8823529,3.490222638,19.2352,6.708931723
"KY",1995,311.5882353,3.45079902,19.32927083,6.713265625
"KY",1996,308.0588235,3.914227018,17.85730707,6.116894012
"KY",1997,350.6470588,3.650467803,18.54346667,6.588477778
"KY",1998,323.1764706,3.468655556,20.52586333,8.638376667
"KY",1999,341.4705882,2.538047059,20.87458646,7.353609375
"KY",2000,350.1764706,3.053426471,19.57238494,7.325806345
"KY",2001,347.5882353,3.11628877,20.13470076,7.62205322
"KY",2002,339.7647059,3.68072549,19.72942262,7.867806548
"KY",2003,327.0588235,3.84492148,19.34996061,7.88628952
"KY",2004,334.8,4.374826961,18.93417188,7.517059896
"KY",2005,308.9375,2.665932338,20.50526933,8.055350164
"KY",2006,323.2142857,4.158108889,20.07552111,7.085352222
"KY",2007,321.2857143,2.989673333,20.44614722,7.594593254
"KY",2008,329.4666667,3.410382102,19.46376951,6.590215814
"KY",2009,334.9333333,3.882827336,18.87176563,7.317267361
"KY",2010,320.5,3.020016667,19.32780401,6.741765419
"KY",2011,236.6,5.263112745,19.83578431,7.712547386
"KY",2012,221.0909091,3.012837344,20.51698574,7.206344474
"KY",2013,254.2727273,3.514784505,18.79405994,6.953866979
"KY",2014,273.3,3.006213542,18.20638542,5.907867187
"KY",2015,232.1666667,3.90622451,20.31146177,8.018144118
