"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"MA",1936,180.2222222,4.490781212,14.67342541,4.406587063
"MA",1937,170.1,3.527388889,15.7582735,5.863019231
"MA",1938,147.6666667,4.577316667,15.52626282,5.2505
"MA",1939,156.5454545,2.871075758,14.24559917,4.273886364
"MA",1940,175.7,3.196987879,14.15286742,4.006803662
"MA",1941,172.1,3.235277778,15.73914103,4.693771795
"MA",1942,154.25,4.04915,15.47703205,5.154737179
"MA",1943,179.3636364,3.28918006,14.80769689,4.264071429
"MA",1944,214.2727273,3.592978125,15.31113077,4.488294872
"MA",1945,218.6666667,3.5485,14.19236806,3.507347222
"MA",1946,207,3.248313889,16.30769792,5.072114583
"MA",1947,146.6153846,3.507127778,15.63270139,4.7708125
"MA",1948,244.9333333,3.439592645,16.31297222,5.338294872
"MA",1949,313.875,2.400871875,16.14457051,5.113833333
"MA",1950,332.4666667,2.695691111,15.16952083,4.36359375
"MA",1951,299.875,3.336761837,14.59292361,4.384597222
"MA",1952,326.0625,2.891869792,15.54377778,5.178819444
"MA",1953,298.125,3.7794375,16.40669615,5.576323077
"MA",1954,308.9375,3.816697917,14.94466667,4.582397436
"MA",1955,300.3125,3.31126815,14.88558683,4.625225524
"MA",1956,292.375,3.272041667,14.49435256,4.126160256
"MA",1957,299.5625,2.279642361,15.92659615,4.664801282
"MA",1958,306.25,3.554296875,13.94146795,3.993352564
"MA",1959,310.3125,3.235070549,15.5567704,4.772337995
"MA",1960,319.75,3.044079167,14.96421154,4.286538462
"MA",1961,298,3.081704545,14.85723077,4.128666667
"MA",1962,320,3.156260417,14.28740618,2.976687646
"MA",1963,314.625,2.633851799,15.08791434,3.415518648
"MA",1964,344.2307692,2.487904167,14.99860897,3.642301282
"MA",1965,361.1818182,1.911994792,14.68248718,3.344666667
"MA",1966,313.8461538,2.593296875,14.94157051,3.697217949
"MA",1967,313.2142857,3.304963068,14.06060548,3.329980186
"MA",1968,313.6428571,3.043494949,14.52245727,3.325240385
"MA",1969,322.1428571,3.369132813,15.07144231,4.481673077
"MA",1970,280.3125,2.899726123,14.59386114,3.574065185
"MA",1971,321.8333333,2.670440476,15.23880303,4.005954545
"MA",1972,283.9285714,4.215156385,14.29220799,3.83337741
"MA",1973,293,3.534734307,15.66726515,5.034056818
"MA",1974,291.4285714,2.826309524,15.15522727,3.998
"MA",1975,292.5,3.708357143,14.92962121,4.189545455
"MA",1976,323.1333333,2.727043434,15.41636679,3.767333965
"MA",1977,318,3.662341414,15.20861111,4.205097222
"MA",1978,319.8125,2.988427083,14.49915278,3.177055556
"MA",1979,331.4375,3.662837595,15.80130594,4.949850816
"MA",1980,301.4375,2.340277976,14.30309432,2.80490293
"MA",1981,322.75,2.965609375,15.32021667,22.27106111
"MA",1982,329.625,3.437427083,14.72222917,3.623708333
"MA",1983,333.5,4.325067235,15.50556944,4.851083333
"MA",1984,322.25,3.493882102,15.26611111,4.533548611
"MA",1985,306,2.87505303,15.02695833,4.011375
"MA",1986,330.5625,3.492725,14.92469103,3.951808974
"MA",1987,343.9375,3.318710227,14.89604184,3.69907704
"MA",1988,343.875,2.808330729,15.08458013,3.855230769
"MA",1989,338.1875,3.29513589,14.73863986,3.721172494
"MA",1990,349.4375,3.317986269,16.28591434,5.378469697
"MA",1991,360.625,3.27196875,16.27076923,5.18625
"MA",1992,352.5,3.109715625,14.34513205,3.871996154
"MA",1993,357.4375,3.083588542,14.9760204,4.144699301
"MA",1994,345.25,3.462531061,15.24072552,4.112469114
"MA",1995,340.875,2.777190657,15.31110004,4.553570513
"MA",1996,341.5625,4.278822917,14.67801923,4.448634615
"MA",1997,331.3125,2.776791193,15.05964161,4.423632284
"MA",1998,323.7333333,3.902875237,16.31163724,5.962289044
"MA",1999,327.1176471,3.190496435,16.5810092,5.530616883
"MA",2000,349.5625,3.499214171,14.42626786,4.033420635
"MA",2001,348.25,2.899259804,15.964875,4.909059524
"MA",2002,345.8125,3.402644563,15.58640195,4.844335498
"MA",2003,333.5625,3.967469786,14.33702922,3.864695563
"MA",2004,333.3125,3.370713636,15.07557418,4.404789798
"MA",2005,333.0666667,4.343442068,14.27781768,3.562939394
"MA",2006,344,4.308772727,15.75359091,5.449932359
"MA",2007,343.5333333,3.351138146,14.45374798,3.780836869
"MA",2008,352.9333333,4.202862745,15.21547396,4.428177083
"MA",2009,352.2,3.831166667,14.58919118,4.196155882
"MA",2010,335.6875,3.707455882,16.01323529,5.503441176
"MA",2011,144,4.256436275,15.63295098,5.087088235
"MA",2012,327,3.005647059,16.52828922,5.90075
"MA",2013,343.625,3.283004902,15.21069608,4.491098039
"MA",2014,340.875,3.599916667,14.7697598,3.76272549
"MA",2015,313.2941176,3.01187963,15.42142222,3.80265
