"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"MD",1936,48.5,3.125676667,17.710265,6.012648333
"MD",1937,33.8,3.618341667,17.3958,6.3868
"MD",1938,34.5,3.410216667,18.33295833,6.724441667
"MD",1939,39.4,3.222708333,18.458225,6.67185
"MD",1940,50.8,3.18867803,16.51800303,5.252322727
"MD",1941,48,2.547571667,17.70289455,5.221071667
"MD",1942,54.5,3.433188333,16.19265076,4.875343788
"MD",1943,49.55555556,2.551009091,16.59414764,4.300932997
"MD",1944,62.88888889,3.257341358,15.66813858,3.961975926
"MD",1945,64.5,3.400634175,15.32421246,4.033590067
"MD",1946,66.85714286,2.621795455,17.28261515,4.913626407
"MD",1947,86,3.011159524,16.80130714,5.350659524
"MD",1948,178.625,3.724229167,15.553825,4.1166625
"MD",1949,329.7777778,3.109830247,18.87499214,7.457818519
"MD",1950,362.7777778,3.174583333,17.53968519,5.978861111
"MD",1951,355.2222222,3.195552189,17.83880303,5.791095539
"MD",1952,326.8,3.271488333,17.74056167,6.499748333
"MD",1953,363,3.012875,19.165,7.268075
"MD",1954,357.3,2.453159091,18.64546667,6.778414394
"MD",1955,359,2.907316667,18.19365,6.692875
"MD",1956,365.6,3.345575,17.804475,6.641583333
"MD",1957,341.3,2.829470455,18.44899621,7.025254545
"MD",1958,345.6666667,3.511404882,16.57659512,5.784441077
"MD",1959,357.7777778,2.882075758,18.96333586,7.147036195
"MD",1960,336.7777778,3.034475589,17.30073148,5.954361111
"MD",1961,346.625,3.119635417,17.5226875,6.14421875
"MD",1962,346,3.012145833,17.19852083,5.588552083
"MD",1963,328,2.686770833,17.15295833,4.734229167
"MD",1964,314.2857143,3.038158009,18.52765693,6.367059524
"MD",1965,320.4285714,2.168535714,19.54601191,7.59497619
"MD",1966,327.625,2.46839256,18.68725804,6.824064583
"MD",1967,345.625,2.923953125,17.71045313,6.289364583
"MD",1968,338.875,2.468450284,18.60840672,7.067799242
"MD",1969,353.125,3.011875,17.49975,6.706791667
"MD",1970,363.375,2.882864583,17.83470833,6.92975
"MD",1971,353,3.316675189,18.23385322,7.158505682
"MD",1972,341.875,3.816090278,18.13032292,7.319354167
"MD",1973,324.5,3.687898133,18.49238772,7.611521374
"MD",1974,351.8571429,2.835440476,18.43913095,7.092571429
"MD",1975,360.2857143,3.73522619,18.45736905,7.597214286
"MD",1976,326.2857143,2.957892857,18.01776191,6.228892857
"MD",1977,349.8571429,2.810642857,18.45091126,6.81386039
"MD",1978,335.4285714,3.111738095,17.71028968,5.975559524
"MD",1979,354.5714286,3.844761905,17.67313095,6.675083333
"MD",1980,320.4285714,2.489556277,18.46040152,6.76987987
"MD",1981,340.8571429,2.43097619,18.01717857,6.252083333
"MD",1982,310,3.016154762,18.24360065,6.797830087
"MD",1983,322.1428571,3.373553571,18.81932143,7.116720238
"MD",1984,331.8333333,3.291180556,18.19915278,6.754708333
"MD",1985,328.1666667,3.406058081,18.64125631,7.160372475
"MD",1986,346.3333333,2.712208333,18.57508333,7.037375
"MD",1987,323.3333333,2.635777778,18.64969444,6.573958333
"MD",1988,340.6666667,2.699291667,18.42640278,5.689847222
"MD",1989,321.1666667,4.143652778,17.92556944,6.452763889
"MD",1990,322.3333333,3.272848737,19.65892887,7.176359428
"MD",1991,348,2.531527778,20.11651389,7.269652778
"MD",1992,259.8333333,2.758694444,15.76657786,4.156617003
"MD",1993,291.1666667,3.243325,18.90823611,6.99775
"MD",1994,259.8333333,3.402574495,18.75800505,6.585329545
"MD",1995,314.2,2.967993687,18.58946212,6.700496212
"MD",1996,305,4.128916667,17.63564141,6.669431818
"MD",1997,336.6,2.897083333,18.50656944,6.780319444
"MD",1998,309,3.035875,20.10116667,8.519222222
"MD",1999,331.4,3.333833333,19.63369444,7.274625
"MD",2000,266.5,3.18992298,18.83588763,6.581770202
"MD",2001,277.6666667,2.805180556,19.59554167,7.059458333
"MD",2002,300.8333333,3.732345238,20.03768333,7.928261905
"MD",2003,290.1666667,4.508416667,17.54664881,6.658464286
"MD",2004,249,3.679324653,20.1452381,9.114589286
"MD",2005,226.625,3.328146465,18.74068651,7.504861111
"MD",2006,293.7142857,3.142197917,19.86678571,8.159761905
"MD",2007,254,2.924097538,19.72651989,8.138107955
"MD",2008,346.2857143,3.565013258,19.14066146,7.314380208
"MD",2009,348.5714286,4.276479167,18.11631724,7.685211806
"MD",2010,303.375,2.95166572,18.99924697,8.253775189
"MD",2011,168.25,4.157041751,18.75433249,7.975147811
"MD",2012,155.2222222,2.894981481,19.50437374,8.490104377
"MD",2013,189,3.413768519,17.6100202,7.412607744
"MD",2014,180.5714286,3.35275,17.25497222,6.356962963
"MD",2015,163.125,3.574875,18.20734259,7.26825
