"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"ME",1936,32.6,3.900931667,10.57378333,-1.31421875
"ME",1937,35.71428571,3.487216667,12.58604167,0.063791667
"ME",1938,42.375,3.337583333,11.81630208,-0.48053125
"ME",1939,65.25,3.101783333,11.05722917,-1.591541667
"ME",1940,76.66666667,3.17015,10.76355208,-1.699479167
"ME",1941,77.71428571,2.948358333,12.00629167,-0.898489583
"ME",1942,79.25,3.556458333,11.94345833,-0.657822917
"ME",1943,80.85714286,3.582366667,10.60064583,-1.9178125
"ME",1944,109.5714286,3.440391667,11.71284375,-1.167229167
"ME",1945,117.8571429,3.963842287,11.68702273,-0.506429052
"ME",1946,102.5714286,3.295356061,12.22353704,-0.901981481
"ME",1947,95.875,3.339113636,11.79685017,-0.549805556
"ME",1948,242.1818182,2.874373967,10.67981164,-2.570148942
"ME",1949,262.9090909,2.364848485,12.26185606,-0.098050325
"ME",1950,262.0909091,3.054356749,12.46424026,-0.354152597
"ME",1951,267.5454545,3.477351515,12.80482292,0.537645833
"ME",1952,274.5454545,2.49198416,13.23198958,0.886180556
"ME",1953,281.5454545,3.250863636,14.00504514,1.442788194
"ME",1954,273.8181818,3.931936639,11.61354167,0.217836806
"ME",1955,286.3636364,2.485974242,13.4910625,1.161796402
"ME",1956,258.1818182,2.657068182,11.35945739,-1.252327652
"ME",1957,246.5454545,2.394878788,12.60329261,-0.230011364
"ME",1958,255.0909091,3.169159091,11.11525,-0.4650625
"ME",1959,257.2727273,3.088768939,12.57091667,0.44996875
"ME",1960,257.7272727,2.976380303,13.0926829,0.761616477
"ME",1961,233.7272727,2.936204545,12.52608519,0.887431481
"ME",1962,268.0909091,2.865143939,10.79299074,-1.455222222
"ME",1963,261.0909091,2.976159091,11.5012037,-1.444037037
"ME",1964,329.4285714,2.371128788,11.64233333,-1.228805556
"ME",1965,267.6666667,2.12169697,11.12231482,-1.712725309
"ME",1966,313.5,2.557280992,12.00687879,-0.442126263
"ME",1967,262.0909091,2.801189394,12.13854167,-0.171294444
"ME",1968,275.7272727,2.544391185,12.41046178,0.159057163
"ME",1969,266.9090909,3.442583333,11.65740833,-0.011641667
"ME",1970,277.3636364,2.712065427,12.40714167,-0.051868182
"ME",1971,276.6363636,2.494386088,9.900162121,-3.027486364
"ME",1972,295.5454545,3.252760101,10.00172531,-2.43208642
"ME",1973,260.5454545,3.6907756,11.52980907,0.01558771
"ME",1974,287.0909091,2.883477273,10.63022531,-1.505987654
"ME",1975,303.1818182,2.766193182,11.46129167,-1.260203704
"ME",1976,293.1818182,3.400985537,11.97162879,-0.360863636
"ME",1977,298.3636364,3.391964646,13.41916162,1.915906566
"ME",1978,314.9090909,2.306890496,12.19066944,-0.951194444
"ME",1979,305.3636364,3.196203857,11.06249318,-0.043508333
"ME",1980,310.8181818,2.507938095,11.11181494,-1.296247835
"ME",1981,283.0909091,3.160226978,11.89332625,0.025847107
"ME",1982,297.5454545,2.670141873,11.42292929,-1.788821549
"ME",1983,298.6363636,3.829892562,12.1671734,-0.008127104
"ME",1984,301,2.980088567,11.6519537,-0.831407407
"ME",1985,296.7272727,2.487431818,11.04432407,-1.745796296
"ME",1986,290.4545455,2.904621212,10.95965404,-1.362903199
"ME",1987,277.2727273,2.625333333,11.49355556,-0.849981481
"ME",1988,289.7272727,2.547325758,11.31296296,-0.907805556
"ME",1989,287.7272727,2.835958678,10.60184512,-2.030414141
"ME",1990,328,3.367022727,12.00640741,0.06637963
"ME",1991,336.9090909,2.989833333,11.86875,-0.567287037
"ME",1992,336.1818182,2.540889118,10.57263552,-1.477585859
"ME",1993,335.1818182,2.971886364,11.0117963,-1.894231481
"ME",1994,326.9090909,2.846212121,11.10299074,-1.406842593
"ME",1995,319.8181818,2.93303168,11.33161953,-1.091679293
"ME",1996,323.4545455,3.503401515,10.84913889,-0.45625
"ME",1997,320.6363636,2.536318182,10.58064815,-1.188333333
"ME",1998,299.1818182,3.019068182,12.353,1.033518519
"ME",1999,345.0909091,3.080613636,12.83528704,0.871138889
"ME",2000,323.6363636,2.907164601,10.97520875,-0.526199495
"ME",2001,326.9090909,1.957643939,12.46062963,-0.117759259
"ME",2002,317.3636364,2.740795455,11.45847222,-0.149546296
"ME",2003,309.9090909,3.194697658,11.04856818,-0.759111953
"ME",2004,313.5454545,2.663497934,10.95103956,-0.714801347
"ME",2005,317.9090909,4.220522727,11.50336111,-0.146175926
"ME",2006,344,3.469689394,12.41902778,1.436435185
"ME",2007,329.3636364,3.330378788,11.08410185,-0.742314815
"ME",2008,337.1818182,3.90965978,11.50272222,-0.137453704
"ME",2009,343.4545455,3.590310606,10.86373148,-0.750157407
"ME",2010,333.6363636,3.486287879,12.73915227,1.831177273
"ME",2011,270.6363636,3.57430303,11.86889394,0.282772727
"ME",2012,275.4545455,3.39438843,12.44868388,0.571944215
"ME",2013,299,3.237643939,11.54599242,-0.262033333
"ME",2014,296.1818182,3.509560606,11.09871212,-0.78430303
"ME",2015,310.1,3.225969697,10.78987121,-1.144295455
