"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"MI",1936,201.8269231,1.953754145,12.63513844,1.369285985
"MI",1937,190.5660377,2.253983796,12.87888702,2.18995
"MI",1938,163.637931,2.446673485,13.97316318,3.151902006
"MI",1939,174.3448276,2.148137877,13.38412891,2.198021942
"MI",1940,181.9166667,2.327948046,12.08948401,1.726248457
"MI",1941,168.4576271,3.554834824,13.88923584,2.681609185
"MI",1942,171.8813559,3.936270008,13.05484026,2.347101028
"MI",1943,173.5762712,2.545758535,12.47931815,1.132003447
"MI",1944,172.9655172,2.043664478,13.45657291,2.231608446
"MI",1945,179.0517241,2.532084485,12.99180328,1.70902457
"MI",1946,164.4137931,1.946589047,14.54170557,2.184341722
"MI",1947,185.3928571,2.349993652,12.7658142,1.772051749
"MI",1948,311.5,1.998693316,13.3828611,1.659661309
"MI",1949,348.05,2.222934571,14.02441247,2.613787533
"MI",1950,348.2131148,2.520059799,12.35654624,1.125609894
"MI",1951,354.6557377,2.548955912,12.55704785,1.665604838
"MI",1952,347.390625,2.057168916,13.67849962,2.437213598
"MI",1953,351.421875,2.160178504,14.61786488,3.259850753
"MI",1954,349.984127,2.525269481,13.30806514,2.39539869
"MI",1955,347.6984127,1.95026849,14.04353756,2.510573232
"MI",1956,352.8095238,1.960055996,13.01908295,1.792565614
"MI",1957,352.3968254,2.246678283,12.99501361,1.855799178
"MI",1958,350.3809524,1.765280207,12.76416761,1.238229755
"MI",1959,348.2539683,2.770411919,13.13239179,2.165888154
"MI",1960,346.5079365,2.185685402,12.79991924,1.823181561
"MI",1961,351.3650794,2.167777193,13.25129533,2.226500514
"MI",1962,358.5079365,1.86056811,12.77369181,1.477009322
"MI",1963,360.6349206,1.74712963,13.05276609,0.969188081
"MI",1964,351.265625,2.019193134,13.71185721,2.20429271
"MI",1965,350.90625,2.42212354,12.52055229,1.706367693
"MI",1966,356.2857143,2.034642617,12.73423384,1.655810101
"MI",1967,347.546875,2.392174598,12.36970042,1.336020119
"MI",1968,348.640625,2.373141971,13.0232842,2.009807374
"MI",1969,351.515625,2.146409801,12.68880353,1.792730129
"MI",1970,348.3125,2.282077202,12.84824861,1.849581545
"MI",1971,344.984375,2.038314433,13.26863061,1.902225865
"MI",1972,355.890625,2.401692312,11.57964733,0.757995623
"MI",1973,341.421875,2.269427272,13.48807095,3.149638251
"MI",1974,341.671875,2.245572206,12.33836639,1.322688587
"MI",1975,348.5625,2.540754782,13.31935657,2.355140959
"MI",1976,336.1875,1.958497543,12.37244118,0.572301287
"MI",1977,343.734375,2.310912082,12.93299786,1.670438491
"MI",1978,346.296875,2.14419259,12.17534769,0.617714779
"MI",1979,337.953125,2.228934023,11.5898258,0.660575747
"MI",1980,338.6451613,2.183507722,11.95874224,1.123796045
"MI",1981,347.046875,2.266559422,12.68723133,1.549273679
"MI",1982,336.203125,2.552921062,12.3768623,1.331691629
"MI",1983,344.140625,2.750945391,12.95609772,2.204349402
"MI",1984,348.7619048,2.262253199,12.96492447,1.808658434
"MI",1985,332.015625,2.766863913,12.13572706,1.365651242
"MI",1986,332.1875,2.495499851,12.92040922,2.052625435
"MI",1987,334.671875,2.108031787,13.98643165,2.944534898
"MI",1988,334.09375,2.289559659,13.19777767,1.557236662
"MI",1989,338.515625,1.97541179,12.17491314,0.835138127
"MI",1990,338.984375,2.626808452,13.29956098,2.307377496
"MI",1991,345.90625,2.569480232,13.6682543,2.708924491
"MI",1992,325.671875,2.499271757,11.81616422,1.56452199
"MI",1993,330.953125,2.52383492,11.92882633,1.47075847
"MI",1994,335.1875,2.62050713,12.71698911,1.426109497
"MI",1995,327.4375,2.646942566,12.44016754,1.886605042
"MI",1996,314.21875,2.752224978,11.35396067,0.851286318
"MI",1997,314.2222222,2.534455548,11.90087326,1.539249545
"MI",1998,308.1428571,2.139881097,14.77593526,4.05628727
"MI",1999,325.7936508,2.178098412,13.55640517,2.31140924
"MI",2000,333.1774194,2.358820748,12.88171768,2.157030429
"MI",2001,328.609375,2.612632988,13.86892923,3.415978794
"MI",2002,327.28125,2.237541627,13.14770103,2.736291729
"MI",2003,333.359375,2.384686431,12.49560362,1.458636232
"MI",2004,326.703125,2.671071544,12.42640656,1.765602707
"MI",2005,311.9047619,2.229589117,13.12557522,2.303524399
"MI",2006,326.421875,2.72736827,13.75961237,3.394202189
"MI",2007,324.6190476,2.210510089,13.3165889,2.388304728
"MI",2008,333.3650794,2.755579004,12.41841936,1.562143817
"MI",2009,335.4032258,2.444857684,12.22279988,1.458502235
"MI",2010,336.6825397,2.291845286,13.92506048,3.25983176
"MI",2011,256.0655738,3.154713203,13.11115993,2.645373737
"MI",2012,239.1639344,2.355361064,14.95025705,3.783410519
"MI",2013,253.8688525,2.845698846,12.35005758,1.978231
"MI",2014,257.0689655,2.579926295,10.81973186,0.253488256
"MI",2015,274.0327869,2.244580161,12.78545646,1.977190625
