"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"MN",1936,106.0322581,1.303934662,10.91005394,-2.611887975
"MN",1937,103.125,1.897875793,11.05157799,-0.920439607
"MN",1938,106.6,2.0273351,12.35568287,0.200821759
"MN",1939,94.24242424,1.576028409,12.86994228,-0.234725108
"MN",1940,117.8125,1.765755556,11.25027752,-0.587643411
"MN",1941,106.6969697,2.013831481,12.45232435,1.138618922
"MN",1942,106.34375,2.065751171,11.9093219,0.035542893
"MN",1943,119.9354839,1.910596801,11.36333703,-1.311891297
"MN",1944,122.28125,2.117526599,12.09478938,0.148356237
"MN",1945,114.3529412,1.981646835,10.28563954,-1.522477038
"MN",1946,106.3939394,1.983190876,12.12286927,-0.398597252
"MN",1947,115.875,1.86860886,11.26502907,-0.635492248
"MN",1948,194.4444444,1.649441482,12.0167305,-0.758700063
"MN",1949,257.8545455,1.828981223,11.59387746,-0.953154394
"MN",1950,299.2962963,1.764014753,9.615334416,-2.759860544
"MN",1951,311.6666667,2.146869041,9.345888528,-2.08685034
"MN",1952,327.1296296,1.564560887,12.22892254,-0.420555782
"MN",1953,328.3148148,2.140296998,12.44612384,0.240280148
"MN",1954,326.0925926,1.71226821,11.67531973,-0.014178571
"MN",1955,334.3333333,1.721574214,11.94097697,-0.984631439
"MN",1956,335.1296296,1.625331257,11.49908606,-1.306460909
"MN",1957,340.2777778,2.050906285,11.37607561,-0.660781364
"MN",1958,337.2363636,1.390442893,11.60268269,-1.178358974
"MN",1959,329.3636364,1.808349091,11.62465723,-0.650981132
"MN",1960,335.5454545,1.662869559,11.36641038,-0.978775157
"MN",1961,332.6727273,1.587290909,12.07199028,-0.262557747
"MN",1962,329.9090909,1.951433353,10.6444161,-0.872599531
"MN",1963,331.6607143,1.679393615,11.86136069,-0.513880752
"MN",1964,327.8545455,1.819648079,11.8567622,-0.860816749
"MN",1965,334.2321429,2.286119282,10.26051683,-1.452268101
"MN",1966,342.4285714,1.688236607,10.52245152,-1.800260606
"MN",1967,344.3214286,1.448304762,10.66187798,-1.988620536
"MN",1968,347.4107143,2.282127435,11.41205331,-0.602027824
"MN",1969,344.4107143,1.806041531,10.79838231,-0.979687608
"MN",1970,344.0535714,1.909732143,10.79061429,-1.50036875
"MN",1971,346.1428571,2.049427399,10.88458865,-1.365524215
"MN",1972,340.3035714,1.954255885,9.39676903,-2.495943452
"MN",1973,346.2363636,1.950017355,11.92172521,0.244076171
"MN",1974,349.4363636,1.588996281,11.41069473,-1.032756173
"MN",1975,337.4727273,1.899494215,11.12916763,-1.061363912
"MN",1976,312.25,1.023498891,12.42248372,-1.713605815
"MN",1977,321.3090909,2.335549036,11.84694113,-0.462143126
"MN",1978,309.6909091,1.834115759,10.30238083,-1.803472562
"MN",1979,302.2407407,1.934963352,9.387288797,-2.356178367
"MN",1980,306.4,1.491504825,12.08592227,-0.924919629
"MN",1981,319.0727273,1.993546013,12.74949467,0.517850035
"MN",1982,316.2545455,2.019360606,9.830344276,-1.394810606
"MN",1983,321.4363636,2.093310468,11.08727764,0.207862346
"MN",1984,318.7818182,2.007586364,11.57675982,-0.238393098
"MN",1985,316.9090909,2.135760606,10.34658907,-1.703455026
"MN",1986,313.6,2.266708343,11.75910801,0.174875708
"MN",1987,331.2363636,1.518495612,14.11009828,1.699393238
"MN",1988,318.9464286,1.606047754,12.2578303,-0.975898944
"MN",1989,322.4107143,1.588484118,10.47221483,-2.508132305
"MN",1990,330.5178571,1.879849026,12.77895089,-0.034967532
"MN",1991,320.4912281,2.208118554,11.7178516,0.098664232
"MN",1992,317.0517241,1.774364681,10.82102485,-0.079074163
"MN",1993,311.245614,2.231836031,9.786893317,-1.209142695
"MN",1994,314.1034483,2.045798866,11.09040317,-0.296926958
"MN",1995,308.9298246,2.112530738,10.45168984,-0.504702906
"MN",1996,302.5689655,2.073195149,9.086726673,-2.227464859
"MN",1997,303.4035088,1.937915205,10.86148283,-0.283963636
"MN",1998,285.754386,2.066002135,12.92215945,2.031454888
"MN",1999,295.9642857,2.170262275,12.61314756,1.083699614
"MN",2000,290.7454545,2.264028463,11.70059353,-0.075445152
"MN",2001,304.7592593,2.379389069,11.80300714,0.380152039
"MN",2002,300.3888889,2.252456845,11.29678661,0.179735317
"MN",2003,308.1509434,1.719290909,11.62147727,-0.41235578
"MN",2004,317.3962264,2.376989234,11.25007741,-0.234077961
"MN",2005,290.037037,2.663250957,11.94823481,0.654640735
"MN",2006,304.3396226,1.697846019,12.9086579,1.643242659
"MN",2007,303.3888889,2.296392271,12.0990506,0.448516752
"MN",2008,297.3962264,2.041649233,10.21447433,-1.655976571
"MN",2009,288.0377358,1.942961558,10.60682642,-0.787427245
"MN",2010,308.3653846,2.414012416,11.92468082,0.481298541
"MN",2011,191.5833333,2.178948719,11.58574507,0.271068292
"MN",2012,198.7358491,2.039764601,13.60331476,1.563955624
"MN",2013,236.6981132,2.149369345,10.07323227,-1.187154524
"MN",2014,237.5,2.143768885,9.357076921,-1.930897511
"MN",2015,285.5686275,2.099358355,12.3657935,0.947707616
