"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"MO",1936,250.6,2.031405303,19.71712178,6.078757386
"MO",1937,247.0465116,2.412681818,17.95020154,5.920000661
"MO",1938,276.5384615,2.84411945,20.24804305,7.335026423
"MO",1939,260.2380952,2.58349031,20.79998958,7.354158333
"MO",1940,274.902439,2.263592593,18.44199417,5.76097625
"MO",1941,248.7380952,3.073289049,20.04630208,7.925856944
"MO",1942,234.5,3.177235714,18.91870536,6.677596131
"MO",1943,233.0444444,2.767819697,19.13380072,6.015189167
"MO",1944,230.2173913,2.796447134,19.17100462,6.911342757
"MO",1945,233.2444444,3.616824948,18.41869756,6.292163008
"MO",1946,240.6511628,3.37198811,20.41397727,7.615482203
"MO",1947,229.9565217,3.315498201,18.37292248,6.222315891
"MO",1948,294,2.886002636,19.10877674,6.319766385
"MO",1949,347.7916667,3.219922545,19.05350863,6.578805585
"MO",1950,353.6530612,2.676427867,18.3894568,5.664510673
"MO",1951,340.6,3.482365268,17.96640441,5.884552009
"MO",1952,347.66,2.193076732,20.0680168,6.568235578
"MO",1953,343.5882353,1.711182879,20.99302809,7.155230128
"MO",1954,353.8823529,2.392576946,21.26523936,7.915783366
"MO",1955,351.7843137,2.338675371,19.99569375,6.742417311
"MO",1956,348.7254902,2.048465033,20.76761672,6.973979281
"MO",1957,357.8431373,3.135781551,18.91003582,6.832844842
"MO",1958,350.5490196,2.92348574,18.12747066,5.978608962
"MO",1959,348.9803922,2.586394177,19.06945783,6.514890168
"MO",1960,343.1764706,2.39742448,18.53045411,5.976671986
"MO",1961,349.254902,3.312621286,18.48181011,6.171582823
"MO",1962,349.2941176,2.368053387,18.89015232,6.331941475
"MO",1963,352.6470588,1.988223143,19.61787752,6.223035
"MO",1964,350.1372549,2.59164798,19.82143209,6.660837404
"MO",1965,338.2745098,3.054234284,19.66526809,6.932282606
"MO",1966,332.4285714,2.238170522,18.46410757,5.389619687
"MO",1967,331.08,2.969601515,18.44359318,5.785924697
"MO",1968,313.6078431,2.786485076,18.28886442,5.863660859
"MO",1969,325.2941176,3.06522194,18.05671838,5.992595955
"MO",1970,328.8235294,2.977071252,18.75803147,6.36683303
"MO",1971,331.2156863,2.327794954,19.35512447,6.590461051
"MO",1972,329.4117647,2.579449652,18.617675,6.280667152
"MO",1973,334.6,4.012069818,18.92297642,7.212275139
"MO",1974,341.8,2.939311965,19.0243206,6.384033084
"MO",1975,347.76,2.822515348,18.85305319,6.324743847
"MO",1976,346.7,1.984716626,19.03412947,5.066449866
"MO",1977,338.3061224,2.978462585,19.03391281,6.523602834
"MO",1978,315.86,2.750438869,17.93170952,5.338584636
"MO",1979,331.1176471,2.645450862,17.8402271,4.826925144
"MO",1980,315.0384615,1.940136789,19.26163396,5.895944637
"MO",1981,326.6730769,3.117518701,19.21498816,6.507606493
"MO",1982,305.0212766,3.659673694,17.67405171,5.196101789
"MO",1983,301.2857143,2.981861473,18.53846555,6.878434383
"MO",1984,287.8431373,3.232900136,18.80800668,6.243378873
"MO",1985,317.12,3.734281768,17.1918104,5.472934091
"MO",1986,334.46,3.146785606,19.33672238,7.334477273
"MO",1987,331.2156863,2.780922074,19.67659663,7.230104798
"MO",1988,336.18,2.314672576,19.51944449,5.362230273
"MO",1989,321.8367347,2.241886724,18.07919977,4.824030025
"MO",1990,352.106383,3.498490972,19.76217257,7.158332292
"MO",1991,338.9591837,2.635825294,19.54480755,7.288573294
"MO",1992,354.6326531,2.964202273,18.34446589,6.649241837
"MO",1993,338.58,4.346576626,17.09748971,6.340394143
"MO",1994,342.25,3.34089765,18.4293876,6.583636837
"MO",1995,328.46,3.269919061,18.29754592,6.477777056
"MO",1996,336.9183673,3.269923667,17.5157778,5.86553658
"MO",1997,324.66,3.161594771,17.25121233,6.137317333
"MO",1998,323.4081633,3.515843697,19.30823794,8.546294836
"MO",1999,332.2,2.620453951,19.03792864,6.897053485
"MO",2000,340.6734694,2.499626939,18.91165244,6.862098732
"MO",2001,346.0204082,3.108165887,18.99939149,7.068965997
"MO",2002,338.68,2.896875817,18.76194546,6.59246
"MO",2003,324.26,3.00677191,18.04061621,6.107413227
"MO",2004,341.372549,3.429395445,18.38291225,7.068026649
"MO",2005,347.4705882,2.988352564,19.21278268,7.333117414
"MO",2006,349.3529412,2.833566191,19.78202349,7.443366798
"MO",2007,341.0588235,2.94465201,19.09113286,7.335600772
"MO",2008,341.9607843,4.044905449,17.21005719,5.539792781
"MO",2009,352.8823529,3.694582459,17.6179324,6.362347611
"MO",2010,340.25,3.200841195,18.32929155,6.765951282
"MO",2011,131.1632653,3.445459119,18.77526887,6.975343053
"MO",2012,141.3617021,2.35811015,20.94636754,7.991614103
"MO",2013,166.5416667,3.196064467,17.54344357,5.922028813
"MO",2014,217.9361702,2.720024385,17.24809904,5.467004516
"MO",2015,246.6458333,3.793629993,18.60108176,7.155729774
