"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"MS",1936,207.48,3.040929687,24.18076786,11.33893452
"MS",1937,269.4736842,3.939297043,24.30862901,11.93934105
"MS",1938,244.2272727,3.416939964,25.68351422,12.64250468
"MS",1939,362.9333333,3.955450047,25.01750645,12.13020763
"MS",1940,195.3103448,4.609292256,23.05941667,10.54244052
"MS",1941,260.3333333,3.179800347,24.71558926,12.14858848
"MS",1942,249.5,3.51715071,24.44361364,11.46827806
"MS",1943,247.7727273,2.949566116,24.94874186,11.63376347
"MS",1944,211.8461538,4.356043004,24.76081482,12.18533333
"MS",1945,257.047619,4.352203766,24.41556111,12.07411296
"MS",1946,286.9473684,4.84680911,24.71262149,12.55676431
"MS",1947,260.9047619,4.523781227,23.91892511,11.49889102
"MS",1948,362.8571429,4.464487143,24.38283525,11.58233211
"MS",1949,356.4285714,4.20775102,24.57628325,12.35251776
"MS",1950,363.9714286,4.277640476,24.37628106,11.92633106
"MS",1951,359.3714286,3.915248052,25.20772595,11.72729658
"MS",1952,361.4571429,2.681885714,25.14121774,11.38377713
"MS",1953,364.8,3.901016667,25.35852957,11.86356452
"MS",1954,361.1111111,2.75523287,25.85637089,11.88180051
"MS",1955,362.2857143,3.465240693,24.83454614,11.64454867
"MS",1956,364.7714286,3.514422511,25.22263168,11.69388759
"MS",1957,360.5142857,4.587357864,24.09664439,12.27169764
"MS",1958,355.2285714,4.113847835,22.65804724,10.3921888
"MS",1959,354.8857143,3.73968381,23.99824577,11.44609804
"MS",1960,347.7142857,3.363195671,23.1436194,10.35643688
"MS",1961,363.2285714,5.053562771,23.43441199,10.67004546
"MS",1962,357.1714286,3.276910101,24.31237871,11.09826188
"MS",1963,351.8857143,2.826215325,24.07591537,10.40187148
"MS",1964,351.2,4.163045931,23.71403409,10.7808295
"MS",1965,360.6,3.111549697,24.23326243,11.28314869
"MS",1966,360.0571429,3.647869048,23.18097917,10.56196201
"MS",1967,355.7142857,3.542655452,23.47852037,10.59071346
"MS",1968,361.6571429,3.86391,23.0428803,10.23694817
"MS",1969,364.1428571,3.518839394,23.33759935,10.51619178
"MS",1970,363.9142857,3.779018615,23.44503095,10.83019199
"MS",1971,360.3714286,3.959924242,23.89596537,11.05124935
"MS",1972,365.1428571,4.092264502,24.14234481,11.33724978
"MS",1973,358.7428571,4.940257056,24.01533926,11.61301476
"MS",1974,363.2285714,4.821862857,23.89076789,11.22899329
"MS",1975,363.6,4.691985281,23.8492942,11.64774416
"MS",1976,365.9428571,3.445947619,23.30847619,10.01407857
"MS",1977,350.7714286,3.88818373,23.50659405,10.81855033
"MS",1978,352.2285714,3.42586619,23.4893754,10.55168413
"MS",1979,364.1142857,5.155428139,22.71461191,10.48276126
"MS",1980,359.4285714,4.152124026,23.8777816,11.05447533
"MS",1981,363.2,2.869678788,24.07516039,10.9448052
"MS",1982,335.5142857,4.791004416,23.83130762,11.78673476
"MS",1983,355.5882353,5.107387255,22.6742656,10.80114439
"MS",1984,336.4705882,3.938893048,23.78980704,11.30427295
"MS",1985,330.8857143,3.674653834,23.52376818,11.6807252
"MS",1986,348.6857143,3.416474545,23.97578745,11.70361183
"MS",1987,351.1714286,3.755016778,24.01483974,11.18247635
"MS",1988,326.5428571,4.121973968,23.7216886,10.85900281
"MS",1989,339.3428571,4.55184658,22.64008667,10.72099463
"MS",1990,351.8571429,4.267096234,24.59307643,11.58049938
"MS",1991,359.8823529,5.532530526,23.64943973,12.05833211
"MS",1992,357.0294118,3.954527184,23.19632264,11.27195239
"MS",1993,359.4705882,3.939308601,23.07120499,11.16846961
"MS",1994,357,4.208141948,23.47099476,11.75497786
"MS",1995,357.4571429,4.01334026,23.89105009,11.41382814
"MS",1996,345.2,3.928532944,23.52370727,11.33143926
"MS",1997,351.2285714,4.66402785,22.99103961,11.31806053
"MS",1998,321.7714286,3.947381133,24.65312267,12.83545497
"MS",1999,337,3.444175022,24.69585899,11.61982124
"MS",2000,349.7428571,3.268291861,24.25778136,11.3149592
"MS",2001,344.7941176,4.749307665,23.7692273,11.54497986
"MS",2002,336.9428571,4.758057267,23.3766667,11.65974096
"MS",2003,344.4857143,3.948279726,23.28330808,11.31340426
"MS",2004,337.8888889,4.583328851,23.67708835,11.93473665
"MS",2005,343.8611111,3.557912668,24.12174509,11.58103725
"MS",2006,353.5277778,3.653307029,24.61965225,11.30196381
"MS",2007,351.0277778,2.992366162,24.62834954,11.77722327
"MS",2008,352.6666667,4.115035504,23.84978624,11.15425357
"MS",2009,351.1944444,4.688418485,23.38854607,11.46690741
"MS",2010,358.3888889,2.963016625,23.83645875,10.81365173
"MS",2011,247.5625,3.783709428,24.31087037,11.33990509
"MS",2012,263.8666667,4.14540625,24.89349379,12.10072212
"MS",2013,269.6333333,4.473331373,23.19972623,11.26569314
"MS",2014,261.9375,4.007393463,23.17520619,10.78313481
"MS",2015,280.125,4.088384762,23.91741437,12.07896446
