"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"MT",1936,173.7719298,0.84025182,13.26120255,-1.930858988
"MT",1937,177.3389831,0.953888508,13.07923713,-1.754063776
"MT",1938,176.8305085,1.180692708,13.97929167,-0.281134115
"MT",1939,159.2622951,0.867082265,14.58618359,-0.779385851
"MT",1940,180.1311475,1.071994324,14.44779298,-0.203165909
"MT",1941,173.7419355,1.31895509,14.55510784,0.065089729
"MT",1942,179.8032787,1.184726331,13.64511615,-1.227508665
"MT",1943,168.1896552,1.054369743,13.85448822,-1.954050864
"MT",1944,160.1355932,1.145709727,14.12427577,-1.329641303
"MT",1945,180.1454545,1.040543501,13.72286704,-1.331374499
"MT",1946,161.05,1.199916162,14.12233689,-0.715274242
"MT",1947,157.8666667,1.100109194,13.39442224,-1.028228587
"MT",1948,224.0909091,1.146365973,13.36232182,-1.530569733
"MT",1949,335.5797101,0.901850296,14.05956835,-2.098473689
"MT",1950,334.1428571,1.148693392,12.03691425,-2.438216074
"MT",1951,317.1126761,1.155356818,11.6979478,-2.876212443
"MT",1952,328.7671233,0.839456621,14.195425,-1.588958442
"MT",1953,324.6216216,1.219991769,15.2329421,0.151239052
"MT",1954,335.0540541,1.079867793,13.90739746,-0.951418146
"MT",1955,313.5616438,1.153283105,12.2509526,-2.532294589
"MT",1956,282.4459459,0.948158915,13.84841002,-1.309157658
"MT",1957,304.2328767,1.128086301,13.15233691,-1.189889524
"MT",1958,310.7808219,1.117880409,14.45154874,-0.240662755
"MT",1959,301.4444444,1.095311728,13.10738918,-1.559537013
"MT",1960,307.0694444,0.769781944,13.92452478,-1.473045779
"MT",1961,312.8333333,0.971314184,14.75594546,-0.386426407
"MT",1962,316.8611111,1.136011364,13.91309955,-0.911612463
"MT",1963,313.375,1.026319234,14.82938592,-0.627267136
"MT",1964,312.1944444,1.268030969,13.2841439,-1.549494025
"MT",1965,309.1527778,1.183100154,12.73035125,-1.666460485
"MT",1966,287.0138889,0.927455422,13.72351793,-1.581716069
"MT",1967,291.0757576,1.186930952,13.88642238,-0.878899868
"MT",1968,296,1.178844004,13.27246133,-1.434982982
"MT",1969,292.0615385,0.996981647,13.33933841,-2.070722222
"MT",1970,279.7419355,1.180072727,13.30518083,-1.434466293
"MT",1971,296.4237288,1.074780714,13.35537224,-1.473231159
"MT",1972,288.3103448,1.095302177,12.75462441,-1.74704881
"MT",1973,273.9830508,0.929414426,14.18619411,-0.871233268
"MT",1974,257.1304348,1.026484859,14.56933859,-0.556901371
"MT",1975,285.6142857,1.488950644,12.06151704,-1.84494602
"MT",1976,298.8309859,1.002655484,14.77620959,-0.592767835
"MT",1977,291.8591549,1.03468822,14.03899115,-0.938368846
"MT",1978,294.6956522,1.308314928,12.18697953,-2.067542183
"MT",1979,280.9130435,0.802931404,13.20369984,-2.205035628
"MT",1980,286.5588235,1.163213638,14.3448314,-0.684298371
"MT",1981,299.8985507,1.081453272,15.49137879,0.262129768
"MT",1982,286.5142857,1.458001664,12.5021863,-1.837105361
"MT",1983,306.0571429,1.063634004,13.74527246,-0.748597101
"MT",1984,289.3098592,0.898791677,13.74333766,-0.824087554
"MT",1985,296.5070423,1.01471991,12.55830516,-2.150990476
"MT",1986,285.971831,1.178319846,14.49120679,0.129638391
"MT",1987,311.8028169,0.94020271,15.88670681,0.149469292
"MT",1988,297.9014085,0.86261481,15.87963285,-0.137060948
"MT",1989,305.2535211,1.190505719,13.26764721,-1.210988889
"MT",1990,334.1014493,0.888477017,14.88491597,-0.467928085
"MT",1991,335.5714286,1.139634199,14.3973109,-0.285106694
"MT",1992,340.1142857,1.029056602,15.12162435,-0.182504654
"MT",1993,303.1428571,1.335668831,12.43867722,-1.582281981
"MT",1994,310.7714286,0.929649496,14.52540931,-0.690248207
"MT",1995,310.5217391,1.29197433,13.72793511,-0.63896409
"MT",1996,306.2608696,1.101261089,12.09950077,-2.295686759
"MT",1997,319.6428571,1.117861162,14.12646177,-0.257087883
"MT",1998,308.2285714,1.154153723,14.67384289,0.420426263
"MT",1999,336.084507,0.924946276,15.06363402,0.197797695
"MT",2000,326.1971831,0.865497226,14.15926312,-0.953239686
"MT",2001,327.25,0.849732011,15.11877069,-0.179037294
"MT",2002,332.6197183,1.073262599,13.47281283,-1.067456512
"MT",2003,338.1690141,0.969806111,14.65747071,-0.133109697
"MT",2004,335.2297297,0.995027206,14.18776104,-0.176033712
"MT",2005,311.3378378,1.153460818,14.13551867,-0.561251279
"MT",2006,316.32,1.095392373,15.16938985,0.242965466
"MT",2007,323.16,1.128215467,14.96227863,0.170756395
"MT",2008,320.4933333,1.070071813,13.4755019,-1.414187014
"MT",2009,317.8533333,0.986669767,13.46800584,-1.042041775
"MT",2010,314.9866667,1.22859703,12.83991033,-0.967633379
"MT",2011,233.6811594,1.896461952,12.72109921,-1.236095058
"MT",2012,223.5072464,1.088197939,15.31177251,0.133810825
"MT",2013,217.4109589,1.203897544,13.57866236,-0.677714279
"MT",2014,244.6716418,1.329145573,13.15720297,-0.876955679
"MT",2015,236.5571429,0.982164559,14.97551501,-0.028750157
