"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"NC",1936,189.4594595,4.485195592,21.54462671,8.66650947
"NC",1937,183.4210526,3.611383895,21.28846831,8.630772358
"NC",1938,189.4594595,3.24951961,22.22553315,9.128358753
"NC",1939,188.1351351,3.488822585,22.44193406,8.946160317
"NC",1940,168.3658537,3.399474074,20.48019102,7.242983225
"NC",1941,182.1470588,3.060182221,21.8589183,7.9662302
"NC",1942,160,4.069297569,21.58760011,8.289226894
"NC",1943,195.75,3.476715381,22.03283394,8.053252557
"NC",1944,155.8292683,4.173487259,21.32402846,8.106669069
"NC",1945,180.5135135,3.966099001,21.5048382,8.780936508
"NC",1946,208.9677419,3.557520993,21.89013432,9.017186598
"NC",1947,162.125,3.535439675,21.17761056,8.437851872
"NC",1948,228.5,4.066537685,21.6501432,8.7336415
"NC",1949,352.4893617,3.688435235,22.12398891,9.709288877
"NC",1950,351.7446809,3.083278852,21.6107258,8.880198694
"NC",1951,326.4680851,2.846044326,21.66964606,8.269655211
"NC",1952,340.1489362,3.331629433,22.06937764,8.531796341
"NC",1953,355.7234043,3.068849291,22.57314985,8.743269586
"NC",1954,355.5957447,2.962604449,22.29059479,8.188122136
"NC",1955,361.7446809,3.179257092,21.543171,8.23719246
"NC",1956,361.5957447,3.259763378,21.73460119,8.695489358
"NC",1957,358.2765957,3.876070922,21.62315275,9.188852008
"NC",1958,339.7446809,3.351474855,20.2769172,7.700181642
"NC",1959,336.212766,3.793677305,21.55391103,8.807217054
"NC",1960,338.6595745,3.421147163,20.47767636,7.707300388
"NC",1961,343.673913,3.608099291,20.9543314,8.116664729
"NC",1962,352.9565217,3.655503063,20.70336399,8.044373679
"NC",1963,355.0652174,2.996100484,20.71699753,7.226275722
"NC",1964,346.4042553,4.036492056,21.00157049,8.052620031
"NC",1965,352.326087,3.059762734,20.72711243,7.812260675
"NC",1966,356.0888889,3.278920894,20.48130871,7.659410354
"NC",1967,356.7111111,3.355800066,20.74286553,7.478477273
"NC",1968,349.7333333,2.867146075,20.93208519,7.376585309
"NC",1969,347.8,3.475901515,20.16695328,7.402826389
"NC",1970,346.7727273,3.051322749,21.1272011,7.647298037
"NC",1971,343.5434783,3.883457608,21.09303719,8.375098313
"NC",1972,343.7826087,3.69788314,20.71527307,7.959471419
"NC",1973,335.1304348,3.780357465,21.245987,8.403609418
"NC",1974,348.5319149,3.792125994,21.41655544,8.341409252
"NC",1975,354.4565217,4.069799968,21.5596106,8.653342803
"NC",1976,361.8695652,3.145881944,20.80283712,7.109172222
"NC",1977,351.2391304,3.332097276,21.14465487,8.001923554
"NC",1978,348.9782609,3.245152482,20.75516148,7.466974299
"NC",1979,351.673913,4.080979072,20.44511394,7.552782222
"NC",1980,345.2391304,2.993794823,21.07092643,7.485330303
"NC",1981,357.6304348,2.745018056,20.81006704,6.956637037
"NC",1982,333.4565217,3.732598927,20.93035916,8.38609899
"NC",1983,340.5217391,3.658393056,20.62638838,7.645114478
"NC",1984,331.6304348,3.436920549,21.25230502,8.312698386
"NC",1985,330.6382979,3.165171875,21.41382788,8.381344444
"NC",1986,354.5869565,2.648428111,21.73201333,8.77093569
"NC",1987,344,3.25783285,21.09087828,8.047472559
"NC",1988,343.6956522,2.667475177,20.67009343,6.98790954
"NC",1989,349.173913,4.300262492,20.58242312,8.153823008
"NC",1990,339.5652174,3.54739553,22.5906054,8.942969926
"NC",1991,355.2727273,3.306095349,21.69022644,9.147360518
"NC",1992,357.2727273,3.757384007,20.43740275,8.143919098
"NC",1993,348.8444444,3.158845433,21.13278898,8.131415238
"NC",1994,351.6086957,3.54418919,21.04373824,8.063669001
"NC",1995,346.8695652,4.018044818,20.49864031,7.919135948
"NC",1996,346,3.873537138,20.01401838,7.594208889
"NC",1997,353.1956522,3.454993248,20.52423249,7.50968771
"NC",1998,329.8913043,3.669133785,21.59733844,9.029883399
"NC",1999,345.6595745,3.424798623,21.503835,8.287685065
"NC",2000,344.7391304,2.895385928,20.70864506,7.523990152
"NC",2001,354.5,2.680996196,21.311601,8.029539646
"NC",2002,355.5869565,3.603045535,21.36148658,8.660374918
"NC",2003,348.3695652,4.739995218,20.24016156,8.320885705
"NC",2004,346.2608696,4.01659638,20.86424937,8.76268892
"NC",2005,350.7608696,3.56056167,21.07083056,8.275730051
"NC",2006,355.2391304,3.757379658,21.57298543,8.448338556
"NC",2007,351.1956522,3.255676578,22.44519544,8.928567603
"NC",2008,355.2608696,3.168585701,20.90560006,7.894257418
"NC",2009,356.8695652,3.903956157,20.43944874,8.487321567
"NC",2010,349.9565217,3.168637626,20.8279738,7.987666035
"NC",2011,86.4,3.510359204,21.72081601,8.752566812
"NC",2012,126.375,3.318191551,21.92107228,9.267610532
"NC",2013,112.483871,4.216277315,20.11348322,8.3204
"NC",2014,95.4,3.370079282,20.40421644,7.893900463
"NC",2015,107.3714286,3.941782986,21.37692535,9.254830382
