"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"ND",1936,126.483871,0.644148565,10.49396184,-3.586552989
"ND",1937,138.4827586,1.374492735,10.34618656,-2.705719378
"ND",1938,145.5,1.173466252,12.25141055,-1.294278907
"ND",1939,141.2580645,1.212620862,12.69580821,-1.825601675
"ND",1940,128.5526316,1.42737094,11.50422588,-1.392000439
"ND",1941,126.8717949,1.705660451,11.86289773,-0.55675638
"ND",1942,134.125,1.387104861,11.32023647,-1.640292735
"ND",1943,138.9473684,1.307882765,11.06531974,-2.423442696
"ND",1944,142.9459459,1.597524167,11.27850606,-1.682247824
"ND",1945,149.2702703,1.13477985,10.46501568,-2.567497741
"ND",1946,157.3235294,1.299106255,11.58253389,-1.951186005
"ND",1947,155.6969697,1.363770008,10.88531172,-2.011564992
"ND",1948,229.225,1.301141556,11.73590466,-1.797053447
"ND",1949,278.45,1.175664773,11.29477046,-2.793089583
"ND",1950,305.275,1.31394053,8.377775379,-4.330420833
"ND",1951,304.65,1.283873106,8.723872159,-3.804575758
"ND",1952,335.275,0.834626389,12.24066528,-1.795578819
"ND",1953,331,1.379383523,12.55203686,-0.482392424
"ND",1954,333.325,1.271129167,11.75177443,-0.959281439
"ND",1955,334.325,1.21605,10.98603201,-2.688113258
"ND",1956,331.3,1.197849621,10.76006841,-2.501359129
"ND",1957,333,1.319323422,11.47782349,-1.25842803
"ND",1958,320.75,0.973990575,12.22127604,-1.694411111
"ND",1959,321.1,1.155848972,11.32100726,-1.818925316
"ND",1960,329.5,1.09855428,11.5036161,-2.144613636
"ND",1961,328.925,0.937650568,12.47948163,-1.539307955
"ND",1962,333.8,1.490622917,11.11821458,-1.714095833
"ND",1963,335.35,1.25174,12.79873542,-1.143755417
"ND",1964,341.575,1.342092576,11.55664811,-2.183301136
"ND",1965,330.925,1.362574881,9.567713214,-3.133415179
"ND",1966,339.375,1.155612284,10.59013987,-2.68601392
"ND",1967,353.25,0.9760125,11.26223229,-2.404398958
"ND",1968,351.975,1.356992689,10.87422644,-2.036960114
"ND",1969,353.325,1.174246717,10.34095189,-2.37569697
"ND",1970,341,1.315227652,10.39289364,-2.489827399
"ND",1971,342.775,1.404434307,10.78482262,-2.046331548
"ND",1972,345.625,1.199895189,9.634401326,-2.877842424
"ND",1973,336.1,1.210161629,12.14904049,-0.805910606
"ND",1974,330.5,1.120455808,11.31267186,-2.037247008
"ND",1975,326.2564103,1.54489173,10.6668009,-1.734230218
"ND",1976,326.375,0.878082412,13.06015532,-1.617253071
"ND",1977,324.7435897,1.488511247,11.98861539,-1.366424076
"ND",1978,321.7894737,1.305528659,10.5297228,-2.645206778
"ND",1979,306.5,1.03400622,8.919805722,-3.903523226
"ND",1980,324.5789474,1.181726475,11.87014215,-1.888473285
"ND",1981,343.6315789,1.186638158,13.17905782,-0.525364035
"ND",1982,319.5789474,1.769620813,9.424749983,-2.827526515
"ND",1983,327,1.127214753,11.13085618,-0.584554386
"ND",1984,311.7027027,1.165741742,11.32125143,-1.292025184
"ND",1985,315.3421053,1.255167419,10.02225586,-2.939336102
"ND",1986,310.7105263,1.490267982,11.19954845,-1.075305622
"ND",1987,319.3589744,1.17412329,14.02075714,1.257787307
"ND",1988,311.9230769,0.846875097,12.157,-1.924938034
"ND",1989,327.6216216,1.027079238,10.95606757,-2.609984234
"ND",1990,330.3421053,1.083102785,12.82511122,-1.178558897
"ND",1991,314.2307692,1.425106838,12.00427244,-0.651363248
"ND",1992,322.3846154,1.092786325,11.51895299,-0.982438034
"ND",1993,313.5128205,1.666758761,9.785852564,-2.369529915
"ND",1994,303.5897436,1.593593305,10.65125,-1.673399573
"ND",1995,303.7179487,1.493912199,10.15603205,-1.418886752
"ND",1996,303.8461538,1.626320513,8.588568376,-3.298980769
"ND",1997,298.7692308,1.242724359,11.06052279,-1.286152422
"ND",1998,288.3333333,1.610713675,12.12189957,0.514788462
"ND",1999,328.6052632,1.474001282,12.25808753,0.027362005
"ND",2000,288.8717949,1.589872824,11.21716735,-1.261327894
"ND",2001,301.6315789,1.370782207,11.87304645,-0.618527066
"ND",2002,295.6410256,1.303155208,11.43972674,-0.879326818
"ND",2003,288.1282051,1.481965587,11.22128281,-1.489487754
"ND",2004,299.8717949,1.882459848,10.75605322,-1.614889356
"ND",2005,305.4473684,1.800771142,12.45162929,0.201953155
"ND",2006,309.5641026,1.45945875,12.96940208,0.248220833
"ND",2007,310.6052632,1.675934479,11.70486558,-0.962420163
"ND",2008,299.1282051,1.873217624,10.92797495,-2.261314692
"ND",2009,296.8205128,1.450997966,9.507297854,-2.215587247
"ND",2010,290.8205128,1.878076655,10.58135587,-0.862587995
"ND",2011,146.7142857,4.215785859,10.50964148,-1.117688636
"ND",2012,138.0909091,1.345414336,13.23338337,0.022322067
"ND",2013,167.9705882,1.799817274,9.732307498,-2.132188811
"ND",2014,169.15625,3.417583315,10.02896667,-2.060926146
"ND",2015,172.09375,1.404117522,12.89626369,-0.143464646
