"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"NE",1936,151.0862069,1.170308197,18.13878987,2.681109645
"NE",1937,147.5517241,1.443948118,16.72544659,2.237406142
"NE",1938,143.6315789,1.757300422,18.89019181,3.788886394
"NE",1939,133.8548387,1.337275512,19.95127523,3.519028581
"NE",1940,134.3478261,1.411285026,16.53015746,2.594013206
"NE",1941,134.5396825,1.910346233,17.41758937,4.070352834
"NE",1942,141.1612903,1.904130405,17.00934269,3.176247007
"NE",1943,134.75,1.325395782,18.43868604,2.68614654
"NE",1944,139,2.153654658,16.62582172,2.937238255
"NE",1945,142.4745763,1.853326688,16.81362,2.514495432
"NE",1946,116.469697,1.911848102,18.54506392,3.690254227
"NE",1947,127.2352941,1.755997121,17.04414079,2.942526493
"NE",1948,259,1.57653027,16.82928461,2.069874827
"NE",1949,318.8157895,1.765030901,16.94596806,2.428177879
"NE",1950,335.1866667,1.571570255,16.43407667,1.21767487
"NE",1951,328.8289474,2.188621302,15.33072398,1.318147565
"NE",1952,295.1733333,1.42146258,17.45703813,2.428269949
"NE",1953,294.2368421,1.407217604,18.38720985,3.443016991
"NE",1954,319.5,1.401712586,19.02390749,3.78828094
"NE",1955,319.1081081,1.234112444,17.63632295,2.529049758
"NE",1956,338.4459459,1.113033908,18.49417547,2.908059405
"NE",1957,325.6756757,1.917613623,16.76889082,3.091780918
"NE",1958,328.5540541,1.690531188,16.98571212,2.813348522
"NE",1959,335.0405405,1.733944418,17.18936108,2.629633509
"NE",1960,329.3108108,1.648181515,16.22753305,1.916342622
"NE",1961,324.8533333,1.629918162,16.90636467,2.357289199
"NE",1962,339.28,1.859256999,17.10749273,2.622966682
"NE",1963,336.2666667,1.495375253,18.32383052,3.411787229
"NE",1964,343.0266667,2.921990071,17.34486019,2.100834564
"NE",1965,344.9594595,2.060224162,16.80772563,2.349252715
"NE",1966,331.5066667,1.339691684,16.91092095,1.941397531
"NE",1967,324.2666667,1.623845518,17.21240187,2.162974733
"NE",1968,325.2666667,1.629612864,17.03223282,2.067822773
"NE",1969,325.3333333,1.636770202,15.9964044,2.572187816
"NE",1970,330.6756757,1.375150606,17.18814583,2.076935185
"NE",1971,334.5810811,1.691650184,16.52236558,2.261271307
"NE",1972,329.5810811,1.709580324,16.34278726,2.054670337
"NE",1973,333.2702703,2.164230958,16.9028392,3.28753073
"NE",1974,327.8266667,1.123204465,18.1500194,2.692328213
"NE",1975,310.6351351,1.524855189,16.50633032,2.031320139
"NE",1976,336.4054054,1.209604832,18.02366791,2.391044529
"NE",1977,330.2054795,2.04878902,17.96361995,3.449639538
"NE",1978,328.5068493,1.630516324,16.10645496,1.736372813
"NE",1979,330.7733333,1.784562616,15.52809608,1.395572334
"NE",1980,330.6351351,1.241201024,17.92013707,2.916091496
"NE",1981,348.0933333,1.710467417,18.23051246,3.361819827
"NE",1982,327.5466667,2.036197926,15.83815086,2.043958852
"NE",1983,322.3466667,1.780080121,15.87108596,2.892729777
"NE",1984,306.6266667,1.899844283,16.49715394,2.991535648
"NE",1985,314.7534247,1.621979429,15.41467492,1.419934642
"NE",1986,332.3424658,1.943625903,17.44902248,3.52567641
"NE",1987,330.1891892,1.865699161,17.77122157,3.513577937
"NE",1988,322.2702703,1.510321294,17.78781316,2.398805334
"NE",1989,333.1891892,1.251099447,16.91656235,1.610553383
"NE",1990,348.4864865,1.547302518,17.75703923,3.016594541
"NE",1991,340.7567568,1.632622709,17.75652027,3.440764618
"NE",1992,344.1081081,1.987015956,16.74849913,3.133322291
"NE",1993,324.4459459,2.538416772,14.46991514,1.766929701
"NE",1994,328.3783784,1.692106839,17.0597801,2.860033001
"NE",1995,335.6891892,1.831023444,16.43290197,2.685850913
"NE",1996,349.3424658,1.854612169,15.27213188,1.553181693
"NE",1997,345.5479452,1.657515525,16.56796497,2.808444676
"NE",1998,329.3150685,1.834286426,17.46177404,4.196679195
"NE",1999,346.2876712,1.696092466,18.00673969,3.474521324
"NE",2000,338.5138889,1.455258838,17.64656909,3.06021975
"NE",2001,334.6619718,1.846684063,17.28371811,3.457723062
"NE",2002,338.2638889,1.165803445,17.76169306,2.914513751
"NE",2003,335.8055556,1.52705054,17.30790572,2.832232552
"NE",2004,331.6666667,1.762265276,17.29713348,3.066481671
"NE",2005,334.3561644,1.663292813,17.95229609,3.423304373
"NE",2006,325.1643836,1.603044595,18.27913086,3.271722523
"NE",2007,343.6986301,2.088235931,17.03106127,3.118960285
"NE",2008,329.7260274,2.027585091,16.126558,1.954981231
"NE",2009,329.4657534,1.851605856,15.68226115,1.838124195
"NE",2010,350.4583333,1.945498116,16.63724424,2.969140363
"NE",2011,299.6901408,2.059833579,16.52417456,2.210163939
"NE",2012,319.9027778,1.049089852,19.83893239,3.438555488
"NE",2013,338.9166667,1.672735515,16.34920032,2.112623657
"NE",2014,342.4305556,1.753815556,16.3148046,1.676204762
"NE",2015,345.1666667,2.029873434,17.6810541,3.406583493
