"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"NH",1936,120.75,4.854592593,12.42008333,-0.32672619
"NH",1937,116.375,4.784940236,13.16508333,0.618428571
"NH",1938,121.5714286,4.83703125,13.23492857,0.40125
"NH",1939,135.5714286,3.783166667,12.11615476,-0.847047619
"NH",1940,144.1428571,4.159458333,11.45835714,-1.019928571
"NH",1941,123,3.226302083,13.36447619,-0.275357143
"NH",1942,135.4285714,3.866802083,12.9482381,0.355857143
"NH",1943,129.125,3.694208333,11.86721429,-0.608059524
"NH",1944,156.4285714,3.57515625,12.667,-0.311940476
"NH",1945,140.7142857,4.211114583,12.65152381,0.253928571
"NH",1946,121,3.749510417,13.36819048,0.052464286
"NH",1947,123.75,3.476256944,12.82889286,0.114809524
"NH",1948,216.4444444,3.129158931,13.56172836,0.101093434
"NH",1949,323.5555556,2.490737037,14.32979762,1.215809524
"NH",1950,312.4444444,2.876498878,12.76413095,0.102178571
"NH",1951,314.2222222,3.289564815,12.87152381,0.49822619
"NH",1952,325.7777778,2.840759259,13.25351191,0.803678571
"NH",1953,329.1111111,3.035425926,14.33867857,1.43847619
"NH",1954,305,3.963301852,12.26444048,0.561511905
"NH",1955,324.3333333,2.798016667,12.63251191,0.621535714
"NH",1956,343.7777778,2.891953704,12.62833482,0.051389881
"NH",1957,351.6666667,2.552564815,13.56027083,0.193947917
"NH",1958,345.6666667,2.905009259,11.77896875,-0.315072917
"NH",1959,345,3.183814815,13.48271181,0.800399306
"NH",1960,351.3333333,2.936305556,12.76952083,-0.10696875
"NH",1961,350.7777778,2.580777778,12.76301042,0.007447917
"NH",1962,351,3.011148148,12.05964583,-0.97128125
"NH",1963,347.5555556,2.715811111,12.86538333,-0.979013889
"NH",1964,350.625,2.436680871,13.05669048,-0.402126623
"NH",1965,318.5555556,2.456046176,13.23840246,0.139767045
"NH",1966,357.2857143,2.61475,12.80235714,-0.285297619
"NH",1967,339.625,2.740693452,12.69937946,-0.069953869
"NH",1968,353.875,2.834020833,12.23028125,-0.84971875
"NH",1969,343.8571429,3.524083333,12.60744048,0.163690476
"NH",1970,314.375,2.783925189,10.1813286,-2.429090909
"NH",1971,340.375,2.60946875,12.54239583,-0.76875
"NH",1972,335.375,3.33946875,11.46078125,-1.009052083
"NH",1973,310.625,3.526967803,11.81063068,-0.120556818
"NH",1974,335.125,2.991020833,11.35172917,-0.962963542
"NH",1975,351.125,3.3095,12.84838542,0.3285
"NH",1976,361.125,3.033041667,12.25147917,-0.897354167
"NH",1977,354,3.339802083,12.45534375,0.033364583
"NH",1978,349.75,2.598535985,11.97816667,-1.434487689
"NH",1979,322,3.133695328,12.72533674,0.568983523
"NH",1980,315.125,2.363053662,12.1784214,-0.766644886
"NH",1981,331.25,3.210576705,13.12062879,0.374905303
"NH",1982,334.375,2.583625,12.62260417,-0.79746875
"NH",1983,334.25,3.711534091,13.4889697,0.83277178
"NH",1984,335.5,3.149864583,13.25310417,0.3018125
"NH",1985,347.375,2.546666667,12.69748958,-0.3975625
"NH",1986,344.625,2.985854167,12.65416667,0.400208333
"NH",1987,345.875,2.830989583,12.94578125,0.344833333
"NH",1988,347.125,2.757927083,12.69283333,0.172875
"NH",1989,340.125,2.928581439,12.19127652,-0.444412879
"NH",1990,359.75,3.633791667,13.86104167,1.687875
"NH",1991,358.5,3.142802083,13.30984375,0.85315625
"NH",1992,355.5,2.634166667,11.56667708,-0.516489583
"NH",1993,353.5,2.804604167,12.37745833,-0.392018939
"NH",1994,356.125,2.788041667,12.26113542,-0.272166667
"NH",1995,351.5,2.904989583,12.4565625,0.174885417
"NH",1996,340.75,3.718702083,11.72294167,0.133760417
"NH",1997,345.5,2.851986111,12.30385069,-0.031111111
"NH",1998,327.5,3.168881629,13.91837121,2.108061553
"NH",1999,355,3.1856875,13.88904167,1.124572917
"NH",2000,313,3.225833333,10.86895139,-1.096895833
"NH",2001,312.125,2.257651042,13.67764299,0.691948864
"NH",2002,346.5,3.104466856,12.96255587,0.907838068
"NH",2003,333.125,3.434215909,11.79300379,-0.176855114
"NH",2004,340.875,3.9655,13.51581482,1.818648148
"NH",2005,337.875,4.118052083,12.827,0.739885417
"NH",2006,345,3.879447917,13.39571875,2.106822917
"NH",2007,346.625,3.364375,12.37198958,0.062104167
"NH",2008,342.125,4.303125,12.81173958,0.566645833
"NH",2009,341.875,3.413458333,12.33239583,0.280197917
"NH",2010,331.875,3.408654762,13.6571756,2.226706845
"NH",2011,269.375,4.015395833,13.49005208,1.504197917
"NH",2012,332.375,3.227364583,14.4975,2.3570625
"NH",2013,320.875,3.06484375,13.13751042,0.94959375
"NH",2014,353.2857143,3.490490741,11.39892593,-0.355685185
"NH",2015,325.25,2.860490741,13.06982407,0.047842593
