"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"NJ",1936,303.6,3.285104167,17.0566048,5.399353535
"NJ",1937,305.4,3.324152778,17.15616667,5.902201389
"NJ",1938,253.6666667,3.6979375,17.54236806,5.908298611
"NJ",1939,277.6363636,2.857011905,16.70604121,5.420416667
"NJ",1940,268.9166667,3.346211538,15.10904213,4.404239011
"NJ",1941,281.6363636,2.812429487,17.15432692,5.245615385
"NJ",1942,264.75,3.520846154,16.87664744,5.532606838
"NJ",1943,242.0769231,2.640089744,16.7499359,5.020257576
"NJ",1944,265.4166667,3.240269231,17.25119231,5.509801282
"NJ",1945,270.8333333,3.67625,17.14417949,5.545519231
"NJ",1946,270.1666667,2.691465385,17.68954808,5.832884615
"NJ",1947,249.7692308,3.22350641,17.07785769,5.683705128
"NJ",1948,291.5384615,3.707942308,16.95002156,5.500078089
"NJ",1949,322.5384615,2.730192308,18.64536713,7.067910839
"NJ",1950,347.0769231,2.944318765,16.75906702,5.794935897
"NJ",1951,330.5384615,3.314698718,17.37323881,6.107747669
"NJ",1952,337.5384615,3.78769359,17.4778141,6.393870513
"NJ",1953,324.9230769,3.182321795,18.09115641,6.205371445
"NJ",1954,336.4615385,2.893355128,17.72741923,6.224702564
"NJ",1955,358.7692308,2.875358974,17.17062587,6.006564103
"NJ",1956,357.9230769,3.120711538,16.45611539,5.705044872
"NJ",1957,343.4615385,2.517060256,17.39432692,6.005980769
"NJ",1958,337.3846154,3.637769231,15.51076923,5.183935897
"NJ",1959,327,2.999307692,17.45864744,6.400019231
"NJ",1960,309.3076923,3.227326923,16.49339744,5.49475
"NJ",1961,330.1666667,3.065837413,16.59269464,5.993881119
"NJ",1962,313.2307692,2.905724359,15.9976859,5.050307692
"NJ",1963,313.6153846,2.417064103,16.44237821,4.671570513
"NJ",1964,318,2.522910256,17.08573718,5.291096154
"NJ",1965,334.9166667,2.185684615,16.59167692,5.202165385
"NJ",1966,344.8333333,2.851,16.62355128,5.207858974
"NJ",1967,354.5,3.216141026,15.96648077,4.935910256
"NJ",1968,353.9166667,2.843482051,16.49622564,5.176086131
"NJ",1969,343.5833333,3.250242424,16.17469697,5.575412005
"NJ",1970,341.5,2.751108974,16.2318718,5.447153846
"NJ",1971,351.5833333,3.553403846,16.45574359,5.870089744
"NJ",1972,357.3333333,4.090403846,15.83711539,5.371730769
"NJ",1973,351.1666667,3.645519231,17.42526282,6.570730769
"NJ",1974,321.7692308,3.123458625,16.84543298,5.630086247
"NJ",1975,348.5833333,4.029626457,16.93716492,6.378176573
"NJ",1976,350.9166667,2.757810606,16.36297028,4.821350816
"NJ",1977,345.3333333,3.329698718,16.53456119,5.463649767
"NJ",1978,335.8333333,3.310738928,15.50095455,4.558410839
"NJ",1979,342.1666667,3.977772727,16.31719289,5.950885781
"NJ",1980,333.9166667,2.639245726,16.38003846,5.138258547
"NJ",1981,345.6666667,2.695377622,16.58623019,5.345777972
"NJ",1982,331.5833333,2.834738928,16.50288054,5.360032051
"NJ",1983,313.9230769,4.173048077,17.06605128,5.997817308
"NJ",1984,317.4166667,3.553849106,16.56872661,5.450903535
"NJ",1985,322.5833333,2.784500916,17.71585989,6.53447033
"NJ",1986,310.0833333,3.090799417,16.85445245,5.530258625
"NJ",1987,302.5,3.331769114,17.43228275,6.175878438
"NJ",1988,349.7272727,2.830806187,16.92819423,5.299815867
"NJ",1989,319.6363636,3.834227778,16.17456806,5.300138889
"NJ",1990,335.9090909,3.772578283,18.26636332,7.081344697
"NJ",1991,358.7,2.89894697,18.17431818,6.725916667
"NJ",1992,313.7272727,3.16392011,15.97806749,5.434387052
"NJ",1993,351.9,3.150119146,16.9125124,5.833384298
"NJ",1994,348,3.368213154,17.41530475,5.874663567
"NJ",1995,344.3,2.774729568,16.94234849,5.516194444
"NJ",1996,345.3,4.198210055,16.09974862,5.444482094
"NJ",1997,317.6,3.023509986,16.77975379,5.284995523
"NJ",1998,269.1818182,2.943992424,19.11989924,8.096271591
"NJ",1999,319.1,3.381186639,18.22380854,6.660483471
"NJ",2000,336.7,3.366096419,16.71850344,5.888251377
"NJ",2001,344.9,2.451886364,18.13006061,6.689640152
"NJ",2002,337.8,3.321265152,18.29686742,7.017738636
"NJ",2003,315.2727273,4.031173611,16.44534722,5.981965278
"NJ",2004,331.3636364,3.739159402,17.37692372,6.88613141
"NJ",2005,292.3333333,3.808353147,17.29363761,6.260333333
"NJ",2006,320.3333333,3.728673077,18.37742774,7.255782634
"NJ",2007,311,3.452027778,17.41195139,6.462444444
"NJ",2008,323.6363636,3.362298611,17.4344,6.130791667
"NJ",2009,312.2727273,3.658907197,16.56282702,6.305710227
"NJ",2010,345.8181818,3.216182449,18.14864773,7.30121149
"NJ",2011,179.9090909,4.290746795,17.94679167,7.518551282
"NJ",2012,190.5,2.966519814,18.31670396,7.95644697
"NJ",2013,215.5,3.190403846,16.85121795,6.636371795
"NJ",2014,284.0833333,3.54155641,16.31640769,5.623535897
"NJ",2015,336.9166667,2.965397436,17.52648077,6.372814103
