"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"NM",1936,101.516129,0.903181465,19.99428873,2.874501366
"NM",1937,92.27272727,0.981113931,20.68846031,3.237425195
"NM",1938,82,1.111277482,20.77433363,3.296963378
"NM",1939,92.91891892,0.962849894,21.01766855,2.585423817
"NM",1940,83.85714286,1.004769052,20.76207,3.374140337
"NM",1941,76.38636364,2.165597201,19.20837895,3.412232152
"NM",1942,86.7948718,1.158850495,20.70347774,2.783443875
"NM",1943,87.57142857,0.81011137,21.26672928,3.084389401
"NM",1944,113.5714286,1.080897459,19.74973885,2.285953232
"NM",1945,91.36363636,0.879113768,21.33682005,2.561724444
"NM",1946,78.6097561,1.017707411,21.24559439,3.152349461
"NM",1947,76.63414634,1.861068013,20.85529581,2.823625305
"NM",1948,342.78,0.903645939,20.88794646,3.16377896
"NM",1949,346.244898,1.264643106,20.36953839,3.067609493
"NM",1950,347.52,0.791985091,22.56773621,3.581323951
"NM",1951,324,0.639994182,21.3800623,3.269125121
"NM",1952,321.24,0.76509604,21.22404419,3.420125247
"NM",1953,337.92,0.671011667,21.72831462,3.305481667
"NM",1954,341.34,0.719772879,22.88467479,4.446185534
"NM",1955,341.46,0.734352667,21.15870433,2.772455833
"NM",1956,331.88,0.449270758,22.20365412,2.943577061
"NM",1957,335.36,1.092845455,20.65982536,4.123403242
"NM",1958,311.7,1.08756,20.923869,3.798478242
"NM",1959,329.42,0.85953697,21.29180439,3.146089697
"NM",1960,314,1.028210833,20.76393119,2.874598697
"NM",1961,297.94,0.901632684,20.62579501,2.847330519
"NM",1962,318.46,0.854947424,21.4148736,3.474243333
"NM",1963,315.16,0.776125439,21.36714746,3.107813904
"NM",1964,331.26,0.694891591,20.6160872,2.519946136
"NM",1965,344.52,1.058940202,20.79482889,3.365669141
"NM",1966,336.6862745,0.834183419,21.00319995,2.931179684
"NM",1967,351.627451,0.852684987,21.42684841,3.455257625
"NM",1968,355.1372549,0.865267736,20.47683526,3.037238651
"NM",1969,353.3529412,1.184617736,20.94404947,3.847595811
"NM",1970,343.5686275,0.707742558,20.76838295,2.804481061
"NM",1971,346.8235294,0.931211953,20.75498519,2.865538315
"NM",1972,349.5490196,1.117915874,21.06522995,3.321927164
"NM",1973,335.1372549,0.810153595,20.23549733,2.465340067
"NM",1974,346.7254902,1.050905674,21.03561304,3.135719846
"NM",1975,336.3529412,0.868171017,20.45911802,2.225225244
"NM",1976,330.8823529,0.770601159,20.82741632,2.536446871
"NM",1977,340.7254902,0.924474658,21.70354378,3.628407398
"NM",1978,327.2941176,1.175781003,20.92688729,3.925779378
"NM",1979,333.0588235,1.01665076,20.43778847,2.738467129
"NM",1980,324.18,0.885697242,21.52439864,3.443325152
"NM",1981,348,1.065648672,21.80567808,4.134999673
"NM",1982,321.3137255,1.279037493,20.39476426,3.548267885
"NM",1983,317.9411765,0.998943553,20.33990612,3.481394949
"NM",1984,335.7058824,1.266519222,20.36694569,3.309627362
"NM",1985,321.1372549,1.229521925,20.71984109,3.460544385
"NM",1986,340.1764706,1.449817291,20.96153431,3.947804961
"NM",1987,336.0784314,1.070393672,20.39843286,2.809687017
"NM",1988,352.9411765,1.120489503,20.84559368,2.917488017
"NM",1989,353.9607843,0.781504011,21.98125357,3.302731283
"NM",1990,356.0980392,1.093601307,21.03070425,3.652902555
"NM",1991,348.4509804,1.35649281,20.18403776,3.335059299
"NM",1992,338.7058824,1.085941622,19.91977243,2.871235443
"NM",1993,342.5714286,0.9795218,20.9578806,3.550113857
"NM",1994,343.755102,1.091997263,21.90731589,4.171376453
"NM",1995,343.122449,0.86414966,21.59342687,3.981540476
"NM",1996,356.2708333,1.010331537,22.03616207,4.257581979
"NM",1997,341.0612245,1.272525152,20.29104561,3.528372273
"NM",1998,340.4285714,0.963037511,21.35444575,3.900791377
"NM",1999,347.2040816,1.009549121,21.66228555,3.519844212
"NM",2000,341.28,0.961229579,21.71346094,4.067005925
"NM",2001,346.2244898,0.819991087,21.6970511,4.262151324
"NM",2002,344.244898,0.829789721,21.76438039,4.032944444
"NM",2003,343.5510204,0.697353253,22.17939584,4.361529828
"NM",2004,342,1.253234424,20.69476667,4.042781485
"NM",2005,341.2040816,1.023147258,21.30481161,4.217194152
"NM",2006,353.75,1.134332973,21.77346398,3.985059678
"NM",2007,352.125,1.073550022,21.27213034,3.80478745
"NM",2008,347.5833333,0.957477963,21.33963708,3.451890765
"NM",2009,334.9791667,0.835573593,21.57450087,3.753667934
"NM",2010,330.02,1.04548021,20.8555747,3.521869621
"NM",2011,163,1.515372508,21.95791625,3.811063581
"NM",2012,200.075,1.039432512,22.96317708,4.587652489
"NM",2013,195.173913,0.990856388,21.16577187,3.626546201
"NM",2014,180.7234043,0.930331835,21.68471552,4.210591058
"NM",2015,252.8958333,1.332119109,21.19058547,4.533968584
