"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"NV",1936,228.8235294,0.574420654,19.97066667,1.77354386
"NV",1937,249.2352941,0.511091228,18.943148,1.181815482
"NV",1938,224.1111111,0.778385563,16.50607236,0.205404879
"NV",1939,199.0909091,0.557211501,19.14956315,1.522243802
"NV",1940,212.7272727,0.71556095,19.86935055,2.769221534
"NV",1941,206.0454545,0.97799022,17.89455051,1.75417745
"NV",1942,208.0454545,0.493804768,18.68153809,1.272474518
"NV",1943,224.45,0.682296832,18.46164015,1.457196429
"NV",1944,231.45,0.55945738,17.25468218,0.595437771
"NV",1945,223.9047619,0.829021591,18.09139242,1.809781818
"NV",1946,228,0.708013971,18.18678475,1.5188232
"NV",1947,195.7391304,0.391753953,19.17663636,0.82206928
"NV",1948,251.68,0.642211333,17.8041872,0.174381884
"NV",1949,309.5833333,0.469980909,18.34581957,0.450807971
"NV",1950,343.7083333,0.546663034,19.97346951,2.048498716
"NV",1951,306.96,0.563797325,18.15882556,1.390202222
"NV",1952,297.8846154,0.622482219,18.41843376,1.427958868
"NV",1953,312.2916667,0.378306667,19.24013833,1.653930152
"NV",1954,320.0833333,0.466447273,19.46527267,1.425593333
"NV",1955,297.875,0.595298611,17.90672917,0.483388889
"NV",1956,302.4166667,0.473673611,18.7405404,0.763817235
"NV",1957,318.7916667,0.643380051,18.12649306,1.211138258
"NV",1958,295.48,0.592933131,20.07740788,2.337307172
"NV",1959,329.04,0.356411818,20.14572303,1.423610909
"NV",1960,285.6,0.478197091,19.381442,1.517023152
"NV",1961,313.625,0.476888889,19.39509028,1.723760417
"NV",1962,314.4347826,0.527440646,19.35253913,1.224997101
"NV",1963,335.0434783,0.73548913,19.28121739,1.735724638
"NV",1964,276.826087,0.629568056,18.16193087,0.784147664
"NV",1965,270.8846154,0.784584615,17.55990647,0.905758936
"NV",1966,315.4230769,0.375196193,19.91075991,1.691929779
"NV",1967,298.5769231,0.706060781,18.673813,1.716360606
"NV",1968,330.48,0.599497758,18.89058288,1.920286442
"NV",1969,333.8846154,0.803265152,18.94444114,2.16175338
"NV",1970,350.5769231,0.6483412,18.66850903,1.661575758
"NV",1971,338.2592593,0.654505892,18.18485746,1.39883642
"NV",1972,342.4814815,0.493959652,18.72212267,2.024658642
"NV",1973,325.1481481,0.638668631,18.48496884,2.06213324
"NV",1974,323.3703704,0.43830073,19.16910898,1.706317172
"NV",1975,300.8076923,0.661314943,18.11776986,1.117420122
"NV",1976,344.5555556,0.630915376,18.80711072,0.843007407
"NV",1977,316.8888889,0.562194725,19.71448895,1.969646577
"NV",1978,298.5925926,0.795802918,18.51241007,1.793713496
"NV",1979,280.1481481,0.569613917,18.5835145,1.555111915
"NV",1980,294.4444444,0.720942059,18.93384411,2.277822138
"NV",1981,288.2592593,0.569599567,20.24696517,3.103520964
"NV",1982,288.2592593,1.009393519,17.17085082,1.638380658
"NV",1983,306.5185185,1.062475309,17.62613272,2.565083333
"NV",1984,309.1851852,0.673088664,17.7061546,1.846726712
"NV",1985,282.962963,0.50933082,17.77508081,1.165451375
"NV",1986,294.3703704,0.543799102,19.42221992,2.465730471
"NV",1987,302.5925926,0.713082305,18.79549794,2.191955761
"NV",1988,322.2222222,0.495569978,19.02469641,1.840322222
"NV",1989,326.1851852,0.537115432,18.62167132,1.245905668
"NV",1990,323.7037037,0.507042031,18.47181644,1.189346016
"NV",1991,346.4444444,0.579168257,18.26812346,1.609977834
"NV",1992,340.2962963,0.567967172,19.39401543,2.459467452
"NV",1993,315.6666667,0.706539375,17.56421448,1.130384063
"NV",1994,327.4615385,0.647003367,19.07443911,1.957698653
"NV",1995,311.2592593,0.91231214,19.10769686,2.387555948
"NV",1996,298,0.856691358,19.73882407,2.694615741
"NV",1997,318.9615385,0.692514871,18.87352553,2.350071829
"NV",1998,277.32,1.061528849,17.55797305,2.121762308
"NV",1999,339.0416667,0.438898148,19.63414198,1.695487654
"NV",2000,310.9259259,0.629361672,19.60051459,2.456244388
"NV",2001,324.7777778,0.574337262,19.6576234,2.492401796
"NV",2002,350.7037037,0.421270763,19.49077301,1.760459596
"NV",2003,341.037037,0.829342873,19.79748148,3.064876543
"NV",2004,321.962963,1.027818743,18.88916751,2.758606762
"NV",2005,318,1.684044044,18.25117931,2.496830976
"NV",2006,317.2307692,0.563922428,18.42365268,1.811520988
"NV",2007,328.6,0.370908566,19.04800194,1.487274281
"NV",2008,321.2692308,0.5244125,18.63025748,1.24342735
"NV",2009,326.5925926,0.504185802,18.57774448,1.572297886
"NV",2010,310.3461538,0.884231061,17.35777564,1.776906294
"NV",2011,214.32,0.773266775,18.01954821,1.307825992
"NV",2012,305.0416667,0.795391504,20.6073171,3.306773539
"NV",2013,315.36,0.364149567,18.75089372,1.788584578
"NV",2014,334.96,0.542169643,20.31526786,3.459630952
"NV",2015,356.92,0.700934524,20.00301488,3.634407738
