"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"NY",1936,232.6,2.851396531,13.86870324,2.483844697
"NY",1937,239.8787879,2.986032895,13.6481381,3.104457143
"NY",1938,245.3636364,2.83806488,14.67465575,3.279303075
"NY",1939,245.6969697,2.422637429,13.58618985,2.212202024
"NY",1940,247.6470588,2.689702352,11.82873338,1.343826389
"NY",1941,234.4166667,2.057574786,14.27820833,2.454222222
"NY",1942,232.6666667,2.952832434,13.88544312,3.010538961
"NY",1943,239.7714286,2.589919258,12.95840368,1.811347835
"NY",1944,230.6944444,2.507804623,13.46510295,2.125177778
"NY",1945,222.6944444,3.30169203,13.22053632,2.132962903
"NY",1946,206.0526316,2.583771042,14.73938465,2.678930855
"NY",1947,229.7777778,3.04848582,13.43231818,2.399061448
"NY",1948,296.175,2.701952857,13.91123198,2.261881081
"NY",1949,318.0243902,2.35947561,14.81654864,3.072800638
"NY",1950,322.6097561,2.855487953,13.25479661,2.012435606
"NY",1951,324.0243902,2.864289634,14.00003509,2.878429625
"NY",1952,320.775,2.587846726,14.41885333,3.268217589
"NY",1953,324.275,2.534910417,15.04174821,3.648460726
"NY",1954,330.3902439,2.871278086,13.81810945,2.76305307
"NY",1955,321.0952381,2.687186111,14.1459364,2.701814035
"NY",1956,316.4090909,2.638188582,13.09947619,2.206074481
"NY",1957,326.6363636,2.289648244,14.10575618,2.758026515
"NY",1958,315.9545455,2.819840152,12.56466946,1.793673844
"NY",1959,317.2045455,2.827715278,13.46129802,2.243295141
"NY",1960,315.7045455,2.371920403,13.50126754,2.22545943
"NY",1961,311.7272727,2.598720041,13.51478824,2.463063437
"NY",1962,322.4883721,2.418333402,13.20787069,1.572631419
"NY",1963,318.7954545,2.174626573,13.36989027,1.232889234
"NY",1964,326.2,2.047826274,14.06620255,2.07916555
"NY",1965,327.8,2.182335744,13.15940112,1.835277512
"NY",1966,347.3846154,2.325475207,13.61528769,2.094847708
"NY",1967,319.902439,2.658948347,13.43221096,2.256502137
"NY",1968,323.7272727,2.556424644,13.19425861,1.792994172
"NY",1969,334.5,2.577176357,13.49787939,2.58304386
"NY",1970,317.4090909,2.573751205,13.14339297,2.085888306
"NY",1971,323.4545455,2.483980975,13.11205811,1.875110746
"NY",1972,313.5348837,3.2842629,12.36649312,1.485827411
"NY",1973,312.6666667,2.822759163,14.38287387,3.321148867
"NY",1974,311.4285714,2.66181828,13.47003226,2.204823545
"NY",1975,325.2619048,2.928015043,13.94855888,2.875933249
"NY",1976,318.0930233,3.084533122,13.07191018,1.460073778
"NY",1977,322.9767442,3.301279598,13.44839619,2.438675266
"NY",1978,317.9069767,2.607675581,12.79294829,1.207110761
"NY",1979,332.0731707,2.876193028,13.294325,2.346720238
"NY",1980,325.3571429,2.439377309,13.19274492,1.888833743
"NY",1981,327.255814,2.715071106,13.34459749,2.41198439
"NY",1982,316.5348837,2.525778471,13.54449375,1.973006247
"NY",1983,319.1860465,3.088011281,14.01741338,2.816635706
"NY",1984,323.1818182,2.885283919,13.68370732,2.640641708
"NY",1985,312.3181818,2.583958069,13.04656289,2.074658392
"NY",1986,329.1627907,2.955780303,13.39632536,2.825450758
"NY",1987,329.9047619,2.609837949,13.75101974,2.684450957
"NY",1988,325.547619,2.314910317,13.26988396,1.767708812
"NY",1989,325.7045455,2.909432295,13.20899456,1.990479975
"NY",1990,335.2444444,3.277879966,14.81212599,3.892527879
"NY",1991,330.4666667,2.41224642,14.98045839,3.634038857
"NY",1992,329.6590909,2.97152438,12.77336869,2.246749592
"NY",1993,317.75,2.819214842,12.88108065,1.809799611
"NY",1994,311.9772727,2.927210962,12.92351328,1.35199677
"NY",1995,318.952381,2.668692551,13.34576534,2.203849811
"NY",1996,318.7857143,3.490318816,12.6943425,2.25709051
"NY",1997,317.452381,2.683487333,13.03567172,2.012513676
"NY",1998,310.7380952,2.848360254,15.15514908,4.22775622
"NY",1999,330.7380952,2.630485671,14.62680273,2.857680183
"NY",2000,333.4285714,3.073567049,13.13017478,2.286245272
"NY",2001,340.4390244,2.4146364,14.60599263,3.143191237
"NY",2002,334.1707317,3.11670588,14.19315018,3.042538711
"NY",2003,334.2142857,3.536308668,13.05999151,1.97664988
"NY",2004,336.952381,3.447166667,13.26434759,2.364798246
"NY",2005,322.5952381,3.674960271,13.41692036,1.956157019
"NY",2006,318.4285714,3.45777605,14.5468799,3.961014075
"NY",2007,329.5714286,3.08820932,13.51771581,2.148086683
"NY",2008,332.6190476,3.420321001,13.86563816,2.759452485
"NY",2009,337.5714286,2.926337738,13.2524992,2.510909888
"NY",2010,319.5348837,3.101131254,13.99340092,3.570969099
"NY",2011,187.75,4.537815257,13.97243864,3.521300685
"NY",2012,201.7837838,2.895727608,15.42895119,4.444466434
"NY",2013,260.3243243,3.03253125,12.97781624,2.318611111
"NY",2014,265.4736842,2.893516802,11.97673097,1.529903846
"NY",2015,303.1538462,2.785321032,14.26877033,2.223050407
