"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"OH",1936,328.2222222,2.309939815,17.02925232,4.660277778
"OH",1937,325.8333333,3.205587963,16.19532407,4.962702546
"OH",1938,322.1944444,2.718121528,17.9395463,5.633384259
"OH",1939,330.4444444,2.632108796,17.74881667,5.472757143
"OH",1940,341.8285714,2.632735714,15.58346905,4.128483333
"OH",1941,334.2857143,2.185304012,17.63071374,5.668616512
"OH",1942,334.6944444,2.695423611,16.80976157,5.163372685
"OH",1943,341.5714286,2.463283333,16.4211,4.334797619
"OH",1944,341.5428571,2.26257381,17.13293009,4.982918398
"OH",1945,339.7428571,3.05497619,16.25114762,4.53915
"OH",1946,338.4285714,2.490795238,18.11391667,5.066452381
"OH",1947,345.9117647,2.914865196,16.08978677,4.784644608
"OH",1948,337.8333333,2.915297454,16.8209965,4.483353957
"OH",1949,333.8484848,2.622283333,18.00873026,5.900538108
"OH",1950,324.1764706,3.423310216,15.81443485,4.185544459
"OH",1951,346.1764706,2.782600649,16.62231781,4.445293301
"OH",1952,355.8823529,2.429009804,17.44091422,5.229544118
"OH",1953,345.0555556,1.94214112,18.22883224,5.46670202
"OH",1954,342.1666667,2.524363426,17.33633102,5.413240741
"OH",1955,346.5277778,2.551301768,17.29032239,5.137157618
"OH",1956,335.6111111,2.721743056,16.61534722,4.973789352
"OH",1957,330.25,2.870534722,16.63353704,5.028113426
"OH",1958,329.7222222,2.664747685,15.22304167,3.961238426
"OH",1959,336.2777778,2.870304293,17.22255324,5.079464226
"OH",1960,343.9166667,2.017796296,15.77497685,4.164564815
"OH",1961,334.1111111,2.757458333,16.15533565,4.593314815
"OH",1962,348.8333333,2.27155787,15.87809259,4.094460648
"OH",1963,347.4166667,1.794969907,15.98993519,2.954766204
"OH",1964,353.6388889,2.515235269,17.23171486,4.461987374
"OH",1965,349.7428571,2.657545139,16.42597454,4.546137731
"OH",1966,342.5555556,2.583006944,15.75878489,3.960732029
"OH",1967,351.8823529,2.447898148,15.7585947,4.045743476
"OH",1968,355,2.673514878,15.84920989,4.148143497
"OH",1969,355.9411765,2.595456019,15.58100463,3.974097222
"OH",1970,339.5277778,2.571999158,16.32544466,4.750131987
"OH",1971,342.6388889,2.373337542,16.4874213,4.611642045
"OH",1972,348.8888889,2.967569907,15.32423426,4.280094907
"OH",1973,342.3888889,2.882104658,16.93058628,5.854916667
"OH",1974,344.3888889,2.710645833,16.06418948,4.562865741
"OH",1975,344.6666667,2.874172559,16.43838489,5.220142256
"OH",1976,331.1388889,2.282131944,15.79512963,3.35937963
"OH",1977,334.2777778,2.677731271,16.09634259,4.236018519
"OH",1978,333.6944444,2.526175926,14.95784954,3.400027778
"OH",1979,342.25,3.062938552,15.11193687,3.95862479
"OH",1980,323.1111111,2.622594907,15.45244444,4.029689815
"OH",1981,322.7777778,2.690198653,15.59225,4.12095181
"OH",1982,321.1388889,2.656214071,16.21358475,4.390852175
"OH",1983,329.8611111,2.717456019,16.44800568,4.990694444
"OH",1984,324.1714286,2.509447749,15.95195117,4.667341342
"OH",1985,335.9428571,2.739224242,15.96076558,4.541026623
"OH",1986,330.6,2.755641775,16.3210329,5.555584632
"OH",1987,329.6285714,2.14837381,17.00920887,5.659428788
"OH",1988,328.0555556,2.164151136,16.28507555,4.128888735
"OH",1989,332.9166667,2.839736322,15.0459436,4.237346591
"OH",1990,345.2222222,3.513324916,16.63700768,5.697042088
"OH",1991,352.1944444,2.172593915,17.16062302,6.067382937
"OH",1992,343.6857143,2.852085844,15.12944055,4.80323912
"OH",1993,340.5428571,2.65227381,15.31887251,4.899207648
"OH",1994,338.6571429,2.33057619,15.66734394,4.120762987
"OH",1995,330.5833333,2.645180766,15.31783052,4.291804113
"OH",1996,333.8333333,3.188733025,14.83625238,4.10495873
"OH",1997,345.3611111,2.677481481,15.22700463,4.478513889
"OH",1998,331.5277778,2.769664352,17.55446759,6.640138889
"OH",1999,348.6944444,2.278376894,17.15195497,5.02006271
"OH",2000,340.8888889,2.85975665,15.57408388,4.565699537
"OH",2001,349.9142857,2.57655603,16.55820887,5.58697619
"OH",2002,342.7428571,2.758620649,16.66363887,5.763164589
"OH",2003,334.3142857,3.190798615,15.11609437,4.47862381
"OH",2004,334.8857143,3.717384189,15.25955128,4.736629966
"OH",2005,332.2571429,2.839534848,15.74933636,4.947929221
"OH",2006,343.6571429,3.044602381,16.86251834,6.188011358
"OH",2007,333,2.972883766,16.7834061,5.454472727
"OH",2008,340.6,3.129911905,15.732689,4.432737359
"OH",2009,341.5714286,2.47094303,14.99769736,3.911702641
"OH",2010,336.2571429,2.57397517,16.07243825,4.852408741
"OH",2011,174.2285714,4.021686343,16.53692386,5.957143203
"OH",2012,167.6285714,2.51513952,17.9665955,6.17528684
"OH",2013,197.90625,2.929407407,15.59742024,4.912113095
"OH",2014,200.3125,2.645935185,14.81488889,3.613460648
"OH",2015,186.1470588,2.971608179,15.88553592,4.640094627
