"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"OK",1936,51.875,1.792141873,23.36249303,8.817267027
"OK",1937,52.47368421,2.288762879,22.44451825,8.972340548
"OK",1938,78.93333333,2.818933333,24.38624633,9.8497
"OK",1939,77.13333333,2.19867381,23.73968972,8.662485065
"OK",1940,56,2.502155702,21.68199327,8.238386574
"OK",1941,46.29411765,3.75265,22.28855278,9.696978704
"OK",1942,44.65,3.077005337,22.61565807,9.070459064
"OK",1943,45.27777778,2.123311364,23.35207616,8.871872807
"OK",1944,44.95238095,2.768946212,22.11135714,9.091095238
"OK",1945,40.71428571,3.181601273,22.09993116,8.513807312
"OK",1946,41.57894737,2.675002198,24.55007741,10.57029451
"OK",1947,32.69565217,4.929526066,22.3352389,8.111939378
"OK",1948,347.1923077,2.238769658,22.08771326,7.843500758
"OK",1949,352.3846154,2.665473193,22.01550482,8.122463843
"OK",1950,355.9615385,2.40267265,22.35086984,7.832539141
"OK",1951,358.6538462,2.506153846,22.43267046,8.157782369
"OK",1952,358.7307692,1.63443211,23.69212879,8.806376205
"OK",1953,353.962963,2.166248316,23.81890119,9.274288208
"OK",1954,354.2962963,1.68478836,24.7355264,9.346980331
"OK",1955,359.9230769,2.019140152,23.42982328,8.496858609
"OK",1956,361.8846154,1.482923077,24.63697349,8.809329545
"OK",1957,359.8461538,3.386394872,21.98515668,8.955713843
"OK",1958,349.8461538,2.317410498,21.02927381,7.558131988
"OK",1959,351.1538462,2.782762082,22.14147041,8.16155928
"OK",1960,357.5,2.471546037,21.87749811,8.284371843
"OK",1961,354.3461538,2.720482692,21.95924222,8.178378081
"OK",1962,357.6153846,2.237189103,22.99921307,8.911693853
"OK",1963,355.8888889,1.465985503,23.77286665,8.511183955
"OK",1964,362.9259259,2.375835859,23.09080332,8.76061014
"OK",1965,363.7037037,2.107287037,23.17447523,9.029218531
"OK",1966,359.2222222,1.796221661,22.36607527,7.967337704
"OK",1967,353.6296296,2.281376094,22.82841673,8.544625175
"OK",1968,354.5555556,2.714401235,21.62111026,8.025083333
"OK",1969,363.2962963,2.315712963,22.11416987,8.553823718
"OK",1970,359.1851852,2.106805556,22.40700641,8.335733974
"OK",1971,360.962963,2.376283951,22.5380641,8.588173077
"OK",1972,351.962963,2.10242284,22.24697436,8.398615385
"OK",1973,315.962963,3.36525845,21.42892261,8.485027015
"OK",1974,334.5185185,2.68263281,22.37612082,8.457580225
"OK",1975,337.2592593,2.433971998,21.48240645,7.737630594
"OK",1976,351.9615385,1.965968648,22.37843615,7.161237509
"OK",1977,352.6153846,2.242705128,22.81893384,8.74019596
"OK",1978,332.9230769,2.005927739,21.66289262,7.817470026
"OK",1979,326.8076923,2.366706002,20.35614867,6.594035985
"OK",1980,320.1153846,1.827282051,23.45861806,8.593116319
"OK",1981,325.4230769,2.382628205,22.93218813,9.108537563
"OK",1982,316.6923077,3.313792929,21.84404306,8.033454104
"OK",1983,334.3076923,2.399158741,21.26145278,8.354764331
"OK",1984,333.2692308,2.427145163,22.33527412,8.411254609
"OK",1985,336.3461538,3.116816434,21.50146149,8.175132576
"OK",1986,344.1538462,2.915422786,22.69678125,9.513538194
"OK",1987,350.3461538,2.841571678,22.07772285,8.859027462
"OK",1988,349.4230769,2.13652972,22.16353346,7.898794508
"OK",1989,351.1538462,2.445471037,21.53148636,7.72811452
"OK",1990,354.9615385,2.954326457,22.94055625,9.108415278
"OK",1991,349.3461538,2.937044231,22.62861944,9.366759722
"OK",1992,356.0769231,3.13067803,21.79255934,8.71194697
"OK",1993,352.3076923,3.27675204,21.0039495,8.020965909
"OK",1994,340.2307692,2.887265093,22.46215928,8.736004419
"OK",1995,342.12,3.040848667,22.15798056,8.479593056
"OK",1996,333.84,3.233911714,21.96689015,8.013152936
"OK",1997,347.4545455,4.319413843,21.19815278,8.288626263
"OK",1998,289.56,2.462134444,22.87427083,9.731416667
"OK",1999,307.5416667,2.427773333,22.52188857,8.543402273
"OK",2000,343.9545455,2.530659524,22.32140245,8.798788856
"OK",2001,333.6666667,2.368868106,22.66085519,9.269115718
"OK",2002,342.0416667,2.590507015,21.70473701,8.364762179
"OK",2003,344.5652174,2.126433726,21.61713194,7.960002564
"OK",2004,350.7391304,3.016315559,21.81203867,8.871772
"OK",2005,343.2608696,2.061525641,22.48629318,8.741474394
"OK",2006,333.8333333,2.379742798,23.60689274,8.972807265
"OK",2007,323.0833333,3.593771324,21.53221507,9.000815734
"OK",2008,318.5833333,3.609761785,21.76069406,7.430062303
"OK",2009,323.9565217,2.980605478,21.47348784,8.001868232
"OK",2010,348.0869565,2.435425,22.1397351,8.811102584
"OK",2011,114.3636364,2.861075408,23.47190181,8.584260023
"OK",2012,110.5,2.010178419,24.34535111,9.52870406
"OK",2013,136.7692308,2.680570513,21.38891346,7.715787821
"OK",2014,155.96,2.128817453,21.56124808,7.535875962
"OK",2015,174.68,4.372613757,22.75291623,9.458532187
