"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"OR",1936,207.1914894,2.00109265,17.71201518,3.676555885
"OR",1937,222.1777778,3.133021599,15.78469911,2.954039361
"OR",1938,212.6666667,2.212026273,17.31575478,3.903128129
"OR",1939,219.7954545,1.91852668,18.28829167,4.023298913
"OR",1940,242.05,2.437863801,17.89108855,4.730295455
"OR",1941,213.9090909,2.332213712,17.73808172,4.871786693
"OR",1942,227.0465116,2.659376186,17.01732811,3.709007543
"OR",1943,208.3777778,2.08694311,17.0200985,3.456349687
"OR",1944,227.575,1.643091368,17.40799339,3.740831657
"OR",1945,251.1351351,2.874794503,17.10825207,4.274721625
"OR",1946,215.85,2.675806346,16.26605213,3.850357755
"OR",1947,216.1395349,2.388964938,17.19534562,4.396350198
"OR",1948,269.9782609,2.924131359,15.66149748,3.207999014
"OR",1949,346.8085106,1.920214217,17.10949194,2.915016441
"OR",1950,331.6170213,3.101608446,16.96079282,3.510451768
"OR",1951,339.1521739,2.648411649,17.57637529,3.276453611
"OR",1952,342.9130435,1.796021443,17.58351927,3.137016633
"OR",1953,357.0217391,2.943086342,17.35032731,4.10239194
"OR",1954,345.9787234,2.277739362,16.5707279,3.086803346
"OR",1955,347.8695652,2.585301932,15.68535579,2.654290404
"OR",1956,342.2978723,2.307213088,16.43987768,3.084944287
"OR",1957,352.4255319,2.41389539,16.47530851,3.228975177
"OR",1958,354.173913,2.450758696,18.43696232,4.902659783
"OR",1959,351.7826087,1.958473188,17.03060254,3.438095652
"OR",1960,352.1304348,2.394741436,17.08253669,3.25496726
"OR",1961,351.1521739,2.731045883,17.46697141,3.905068478
"OR",1962,353.2222222,2.038826734,16.85822929,3.242223401
"OR",1963,346.0217391,2.112783103,16.61197963,3.616116436
"OR",1964,346.6086957,2.615253261,16.10400825,2.647203255
"OR",1965,351.8695652,1.840661397,17.38650389,3.585193566
"OR",1966,363.3333333,2.05518266,17.55445101,3.675045455
"OR",1967,354.3111111,1.801153992,17.90521347,3.822864815
"OR",1968,356.9318182,2.49533199,17.04557927,3.741166116
"OR",1969,359.8863636,2.080443698,16.61182576,3.104638258
"OR",1970,363.3636364,2.432308712,17.02613826,3.22169697
"OR",1971,364.5681818,2.627515152,16.28668182,3.088534091
"OR",1972,363.4090909,2.292755682,16.77045076,3.024916667
"OR",1973,353.1590909,2.378527554,17.01840891,3.602856428
"OR",1974,359.2954545,2.268933712,17.25132008,3.417842803
"OR",1975,360.8444444,2.372234343,16.13406414,3.33795202
"OR",1976,364.5777778,1.546921886,16.80279966,3.065512626
"OR",1977,364.0444444,2.110262963,16.9087537,3.54632037
"OR",1978,357.0666667,1.869650361,16.6251791,3.600392785
"OR",1979,353.8444444,2.164980034,16.67890303,3.483565706
"OR",1980,353.8,2.25424422,16.56731829,3.541214029
"OR",1981,357.8,2.473463047,17.16736923,4.016575589
"OR",1982,338.4,3.067302862,15.90803731,3.198058923
"OR",1983,344.8888889,2.990848148,16.32492963,4.176303704
"OR",1984,330.1555556,2.605296515,15.91690756,3.320616044
"OR",1985,318.9333333,1.531134231,15.78787031,2.030464422
"OR",1986,342.9555556,2.233349495,17.46049495,4.264856229
"OR",1987,344.173913,1.872347678,18.12267966,3.885983251
"OR",1988,338.9565217,2.00738554,17.59393972,3.801829381
"OR",1989,344.9782609,1.73575785,16.74465761,3.380895531
"OR",1990,336.173913,2.088122387,17.30490561,3.85709058
"OR",1991,356.1086957,2.027036342,17.24280232,3.870916996
"OR",1992,348.3695652,1.856643824,18.35089358,4.639380896
"OR",1993,343.5,1.941050066,16.00933251,3.090285408
"OR",1994,349.8043478,1.981101779,17.66002207,3.951038538
"OR",1995,347.2826087,2.796899539,17.33108449,4.504223485
"OR",1996,328.5434783,3.311650576,17.02105256,3.758472727
"OR",1997,342.6590909,2.205477441,17.20552668,4.322770586
"OR",1998,290.4782609,2.80362172,17.20858534,4.486756517
"OR",1999,338.5869565,2.307607253,17.28366817,3.765196422
"OR",2000,345.5227273,1.966471266,16.91549724,3.842445949
"OR",2001,332.1555556,2.162929714,17.04747518,3.773278983
"OR",2002,337.2888889,1.898668019,17.37583113,3.599513631
"OR",2003,347.0444444,2.344178819,18.09167491,4.88209304
"OR",2004,347.3777778,2.002616193,17.56324133,4.749482649
"OR",2005,327.1458333,2.461898433,16.96935485,3.905003891
"OR",2006,338,2.773342177,17.33705566,4.008824985
"OR",2007,332.1875,2.155437137,17.08510119,3.901642393
"OR",2008,319.9166667,2.009297001,16.51369708,3.252092926
"OR",2009,337.0851064,1.949750974,16.69420337,3.532268058
"OR",2010,343.2765957,2.841245006,16.53177622,4.285436565
"OR",2011,127.2051282,2.23281328,16.06390914,3.551740509
"OR",2012,127.1707317,2.954746753,16.88318024,4.08811376
"OR",2013,172.4347826,1.636236394,16.19883034,3.460974528
"OR",2014,222.1086957,2.63169003,18.06029655,5.046946056
"OR",2015,224.8222222,2.189337937,18.81214512,5.140721533
