"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"PA",1936,256.4545455,3.01017803,16.13769444,3.967726912
"PA",1937,265.047619,3.385583333,15.78689286,4.60368254
"PA",1938,266.2380952,2.919354167,16.98235318,4.959289683
"PA",1939,269.1,2.687992785,16.75756023,4.922545606
"PA",1940,257.8571429,3.038534127,14.57838626,3.478092045
"PA",1941,247.3636364,2.375803283,17.04009389,4.17241
"PA",1942,255.3636364,3.432476928,15.99452349,4.156610606
"PA",1943,264.6363636,2.539982816,15.72098517,3.129986797
"PA",1944,272,2.753666667,16.27795455,3.813314394
"PA",1945,264.9090909,3.38801087,15.92124897,3.708068182
"PA",1946,249.8181818,2.809112319,17.31520758,3.998191919
"PA",1947,261.9545455,2.923449275,16.0691746,3.809488095
"PA",1948,311.875,2.991524411,16.31345895,3.689566873
"PA",1949,342.5652174,2.530986166,17.68986965,4.899397884
"PA",1950,338.9583333,3.29103125,15.2280447,3.269483471
"PA",1951,345,2.948090278,16.07709573,3.896517218
"PA",1952,346.5833333,3.050459491,16.53570262,4.527354497
"PA",1953,360.3478261,2.72301087,17.20690833,4.7159
"PA",1954,357.5217391,2.800826087,16.35712917,4.189291667
"PA",1955,359.0434783,2.703028986,16.443025,4.08285
"PA",1956,357.6086957,3.233918643,15.51665,3.853479167
"PA",1957,336,2.484586957,15.98549167,3.810280556
"PA",1958,345.6363636,2.978180785,14.67485152,2.83768303
"PA",1959,355.9545455,2.916616736,16.52849091,4.088653788
"PA",1960,351.3636364,2.619115014,15.22346402,3.051510606
"PA",1961,351.3181818,2.75059814,15.81050065,3.671192785
"PA",1962,353.2272727,2.449776515,15.34802489,2.666087302
"PA",1963,351.5454545,2.130102273,15.44036111,1.863214286
"PA",1964,354.0454545,2.516224518,16.92314752,3.523666736
"PA",1965,349.8181818,2.338647039,15.48581133,2.935743146
"PA",1966,347.3181818,2.410018561,15.20645996,2.684829004
"PA",1967,341.5454545,2.880756657,15.30832053,3.202784993
"PA",1968,345.0454545,2.575064787,15.68001788,3.443162647
"PA",1969,343.5909091,2.51897337,15.32724713,3.376924587
"PA",1970,336,2.942737879,15.63760076,3.863662879
"PA",1971,337.5909091,2.752880579,15.5163526,3.52039899
"PA",1972,342.9545455,3.448569674,14.65590061,3.192165765
"PA",1973,340.2857143,3.086252814,16.55123716,5.077174675
"PA",1974,339.2380952,2.969669553,16.14687368,4.16913955
"PA",1975,335.047619,3.367271825,15.86732143,4.398611111
"PA",1976,339.4545455,2.688853355,15.13538691,2.652575216
"PA",1977,338.9090909,3.218028237,14.94072486,3.015485882
"PA",1978,333.1818182,2.833962466,14.65192695,2.842469648
"PA",1979,320.6666667,3.249365972,15.04638403,3.892345139
"PA",1980,326.875,2.532176452,15.32169129,3.376082071
"PA",1981,336.125,2.785746528,15.30372633,3.244621979
"PA",1982,334.0416667,2.843846907,15.5285423,3.370117109
"PA",1983,339.625,3.226517361,15.71492708,3.837649306
"PA",1984,338.6956522,3.109134154,14.87153804,3.07407197
"PA",1985,326.2083333,2.697173611,15.1644125,3.060314815
"PA",1986,335.8333333,2.87876075,15.50207627,3.678504401
"PA",1987,333.5416667,2.740734848,16.20250521,4.169362847
"PA",1988,346.0416667,2.462136995,15.72309123,2.887027778
"PA",1989,343.1666667,3.042453725,14.89456865,3.072370139
"PA",1990,348.4583333,3.340756092,16.87585196,4.796539983
"PA",1991,344.5,2.302134943,17.3596123,4.713882229
"PA",1992,339.7826087,2.839292655,15.11365603,3.767810112
"PA",1993,347.8695652,3.05723419,15.82236407,3.550568314
"PA",1994,341.6086957,3.227018502,15.90226311,3.55029816
"PA",1995,332.0434783,2.527046443,15.77799552,3.898044269
"PA",1996,348.5,3.885718251,15.1066489,3.726821006
"PA",1997,340.0909091,2.641015152,15.30929614,3.40551584
"PA",1998,314.8095238,2.598644628,16.99730219,5.180348928
"PA",1999,313.2916667,2.9028509,16.48157247,3.953259758
"PA",2000,346.625,2.903542222,15.40705546,3.671580707
"PA",2001,351.5416667,2.374568182,16.38616364,4.271980606
"PA",2002,345.4583333,2.978268788,16.50831576,4.634472727
"PA",2003,334.0869565,3.586062823,14.47047122,3.450789359
"PA",2004,356.3913043,3.799005576,15.47699182,4.361920424
"PA",2005,342.2916667,3.009236667,15.95686667,4.167926667
"PA",2006,357.9583333,3.324358182,16.46793636,5.04678
"PA",2007,350.12,3.073330128,15.92223077,4.131634615
"PA",2008,362.36,3.194085373,15.70366521,3.933554196
"PA",2009,360.04,2.973849359,15.11922873,3.855840326
"PA",2010,361.68,2.933432692,16.31968269,4.719278846
"PA",2011,242.5833333,4.198285256,16.34801923,5.150471154
"PA",2012,252.2083333,3.012964744,17.27923205,5.547203846
"PA",2013,275.2,2.904785256,14.8874391,4.010157051
"PA",2014,323.48,3.000211247,14.94645455,3.434240093
"PA",2015,323.96,2.970894231,16.11035897,4.133564103
