"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"RI",1936,236,7.656,14.835,3.568166667
"RI",1937,198,6.073333333,15.46916667,4.126666667
"RI",1938,222,5.70225,15.46666667,4.047166667
"RI",1939,219,6.650416667,15.08941667,3.522166667
"RI",1940,233,5.6485,13.47833333,2.847833333
"RI",1941,220,5.877333333,15.59075,3.596583333
"RI",1942,235,7.379416667,14.81558333,3.420166667
"RI",1943,220,4.699916667,14.20966667,3.069
"RI",1944,208,6.050583333,14.99491667,3.245833333
"RI",1945,263,6.081083333,14.68241667,3.234916667
"RI",1946,205,5.468416667,15.23616667,3.266916667
"RI",1947,214,7.647083333,14.71283333,3.336416667
"RI",1948,273,5.121916667,14.52858333,3.10675
"RI",1949,360,2.489833333,16.20175,4.760916667
"RI",1950,364,2.474916667,14.63541667,3.686333333
"RI",1951,364,2.921083333,15.59658333,4.428583333
"RI",1952,336,2.946,15.54433333,4.364416667
"RI",1953,303,4.003083333,16.17158333,4.747916667
"RI",1954,354,3.741083333,15.61466667,3.951583333
"RI",1955,329,3.513,15.32133333,4.120916667
"RI",1956,334,3.16825,14.87525,3.71675
"RI",1957,335,2.26825,16.1065,3.853166667
"RI",1958,365,3.88525,14.1615,3.5935
"RI",1959,365,3.090333333,15.90633333,4.368666667
"RI",1960,365,3.244583333,15.11891667,3.149
"RI",1961,332,3.70775,15.23608333,4.077166667
"RI",1962,364,3.454416667,14.39741667,2.84925
"RI",1963,365,2.927916667,15.13091667,3.16075
"RI",1964,366,2.831833333,15.18933333,3.311
"RI",1965,365,2.145,14.90308333,2.839083333
"RI",1966,365,2.691083333,15.20675,3.885083333
"RI",1967,365,3.507083333,14.68983333,3.235416667
"RI",1968,335,2.698909091,15.80018182,3.565818182
"RI",1969,365,3.532416667,14.64491667,3.428166667
"RI",1970,365,3.667916667,14.80858333,3.8845
"RI",1971,365,3.148416667,15.25933333,3.870666667
"RI",1972,366,4.788416667,14.69608333,3.60875
"RI",1973,362,3.838416667,16.51591667,4.973083333
"RI",1974,365,2.925333333,15.82258333,3.848333333
"RI",1975,365,3.998833333,15.94525,4.637333333
"RI",1976,366,2.903916667,15.48691667,3.272666667
"RI",1977,306,3.865416667,15.70741667,3.702416667
"RI",1978,365,3.5715,14.83475,2.420083333
"RI",1979,365,4.30925,15.78216667,4.70625
"RI",1980,366,2.648083333,15.6775,3.52475
"RI",1981,365,2.84,15.545,3.61575
"RI",1982,357,3.658083333,15.63775,3.772666667
"RI",1983,365,4.860166667,16.1985,4.521416667
"RI",1984,366,3.776916667,16.18666667,4.549833333
"RI",1985,365,3.42525,15.89708333,3.71025
"RI",1986,335,3.705833333,15.65791667,3.592916667
"RI",1987,365,3.03575,15.98891667,3.5685
"RI",1988,336,3.489,15.68783333,3.643833333
"RI",1989,365,4.277666667,15.34425,3.256
"RI",1990,365,3.323083333,17.20325,5.130166667
"RI",1991,365,3.257166667,17.32416667,4.569583333
"RI",1992,366,3.552416667,14.98591667,3.4915
"RI",1993,335,3.1435,15.80533333,3.935583333
"RI",1994,365,3.236916667,16.00566667,3.774583333
"RI",1995,361,3.04825,16.03975,4.342666667
"RI",1996,366,4.164166667,15.41791667,4.051583333
"RI",1997,364,3.399083333,15.91383333,4.08625
"RI",1998,334,4.50875,17.12583333,5.703083333
"RI",1999,363,3.37725,17.422,4.883583333
"RI",2000,365,3.970916667,16.21408333,4.765916667
"RI",2001,365,3.385166667,17.10975,5.229666667
"RI",2002,364,3.54625,17.11608333,4.85425
"RI",2003,339,3.79075,15.88191667,4.034416667
"RI",2004,333,3.227090909,15.22227273,3.404909091
"RI",2005,358,4.324666667,16.38233333,4.32675
"RI",2006,364,4.268833333,17.10925,5.270666667
"RI",2007,363,3.245916667,16.5965,4.176333333
"RI",2008,366,4.030416667,16.88433333,4.5125
"RI",2009,365,4.126916667,16.192,4.5075
"RI",2010,365,4.166583333,17.51875,4.838333333
"RI",2011,241,4.170333333,17.41133333,5.06275
"RI",2012,366,3.066583333,17.98291667,5.8215
"RI",2013,365,3.3485,16.84758333,4.643833333
"RI",2014,365,3.663916667,16.31016667,3.9645
"RI",2015,335,3.122333333,17.018,4.00525
