"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"SC",1936,211.0952381,4.26373297,23.46327844,11.09734441
"SC",1937,243.5555556,3.633735164,22.91697569,10.62871023
"SC",1938,312,2.960180556,24.20997822,11.52105587
"SC",1939,336.6923077,3.304436485,24.11997546,10.89396067
"SC",1940,210.35,3.206182,22.44501267,9.354358667
"SC",1941,306.4285714,3.172804444,24.14660667,10.97255667
"SC",1942,216.0454545,3.370620303,23.78682333,10.80714133
"SC",1943,206.173913,3.137238687,23.89935838,10.40006
"SC",1944,297.0625,3.311875455,23.78769212,10.68060394
"SC",1945,312.4666667,3.91505,23.96194879,11.4074497
"SC",1946,275.7647059,3.217493636,24.28050358,11.51314891
"SC",1947,338.3571429,3.801510295,23.01529249,10.59395303
"SC",1948,274.6153846,4.053503089,23.71100838,11.22574776
"SC",1949,356.3846154,3.330266667,24.17879382,11.62462873
"SC",1950,350.3076923,2.725476739,23.71220606,10.76177061
"SC",1951,363.6153846,2.653386946,23.96553,10.52875727
"SC",1952,356.1538462,3.157772436,24.38971,10.90308333
"SC",1953,354.3846154,3.12645641,24.26370067,10.666644
"SC",1954,348.5384615,2.229906469,24.79101081,10.45300475
"SC",1955,357.7692308,2.863675,23.96304833,10.72288
"SC",1956,359.7307692,2.972225524,24.27384712,10.82079758
"SC",1957,361.1153846,3.439418881,23.76171327,11.30514836
"SC",1958,351.9615385,3.295403388,22.39554433,9.607406234
"SC",1959,364.2692308,4.210173077,23.46553333,10.95462667
"SC",1960,353.5,3.367096154,22.92725333,9.633023333
"SC",1961,352,3.656188228,23.41494194,9.902619636
"SC",1962,352.3846154,3.463161364,23.50597527,10.27084303
"SC",1963,360.28,3.332283333,22.98136458,9.325153935
"SC",1964,366,4.782413333,22.91736111,10.10404861
"SC",1965,356.4,3.393393273,23.30419337,10.25858024
"SC",1966,350.36,3.323446364,22.4934435,9.513653093
"SC",1967,360.12,3.252273636,22.87015814,9.56975726
"SC",1968,353.52,3.102185758,22.84681913,9.482157513
"SC",1969,358.96,3.426309394,22.43003157,9.69714173
"SC",1970,356.2,3.02799619,23.32716359,9.982329762
"SC",1971,356.12,4.012577879,23.11809167,10.61275732
"SC",1972,364.76,3.449366364,23.12800095,10.46466982
"SC",1973,351.56,3.848277374,23.55324043,10.63678241
"SC",1974,352.8,3.274887859,24.09463222,10.71595013
"SC",1975,355.16,4.066667778,23.75848462,10.90892659
"SC",1976,357.48,3.573047879,22.96651736,9.266385417
"SC",1977,359.84,3.061955051,23.61323222,10.13861111
"SC",1978,358.72,2.871472222,23.20555602,10.00392593
"SC",1979,356.68,3.843826667,22.90858988,10.12775804
"SC",1980,344.56,3.194367121,23.20190862,9.833101484
"SC",1981,361.125,2.785346667,23.16918213,9.195023359
"SC",1982,337.5416667,3.759473939,23.16111869,10.81036301
"SC",1983,356.625,3.5951,22.84844444,9.78775
"SC",1984,350.875,3.222423333,23.64533333,10.3274375
"SC",1985,324.56,3.472705455,23.70465436,10.81714331
"SC",1986,341.24,2.780519394,24.38884186,11.3646029
"SC",1987,335.32,3.277734949,23.23149884,10.13457523
"SC",1988,357.625,2.714116667,22.96338542,9.297765467
"SC",1989,344.32,3.740368242,22.82874432,10.295002
"SC",1990,362.25,3.19893,25.07293403,11.50710417
"SC",1991,343.0416667,3.442096208,23.78273578,11.61978466
"SC",1992,335.84,3.799412667,22.57142033,10.33908681
"SC",1993,355.3333333,3.074602182,23.43003005,10.58798668
"SC",1994,337.3333333,4.157094444,22.85474973,10.29552746
"SC",1995,359.3636364,3.653089262,22.93668595,10.42179787
"SC",1996,343.826087,3.098743056,22.31116667,9.491822464
"SC",1997,360.8181818,3.649818841,22.74899621,9.963556818
"SC",1998,321.8636364,3.746427339,24.16329546,11.52988712
"SC",1999,338.0869565,2.958566477,23.96086127,10.46772813
"SC",2000,336,2.968834175,23.45123507,9.871623298
"SC",2001,350.8636364,2.461905797,23.82337879,10.21335606
"SC",2002,360.4285714,3.226739325,23.58204365,10.8870184
"SC",2003,360.0454545,3.794170949,22.54737982,10.59679201
"SC",2004,329.6956522,3.263847497,23.26610382,11.06491322
"SC",2005,331.2173913,3.291187484,23.11738526,10.63936214
"SC",2006,355.7826087,3.262187184,23.98921706,10.8969025
"SC",2007,345.5416667,2.460345328,24.39002052,10.90465593
"SC",2008,353.0833333,3.356684444,23.58084144,10.5995706
"SC",2009,360.625,3.571203333,22.77803125,10.63263889
"SC",2010,360.0833333,2.821933333,23.264,10.11359722
"SC",2011,17.41176471,3.474594545,24.2546903,10.85856606
"SC",2012,28,3.0286,24.18784333,11.56751333
"SC",2013,62.41666667,4.066683333,22.58068,10.50448
"SC",2014,89.28,3.362316667,22.90015667,10.07365667
"SC",2015,216.2,4.43009,23.769895,11.627858
