"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"SD",1936,166.3555556,0.985664884,14.48726318,-0.127236212
"SD",1937,159.826087,1.562596732,13.74437394,0.148044621
"SD",1938,144.0408163,1.490402535,15.82170727,1.85370803
"SD",1939,151.2916667,1.221450466,16.67163939,1.512993182
"SD",1940,157.0208333,1.196849592,14.47651712,0.952765
"SD",1941,155.3877551,1.532299743,15.23872727,1.994504244
"SD",1942,155.2692308,1.742356204,14.37611319,1.024262329
"SD",1943,166.02,1.334320469,15.15755606,0.23185918
"SD",1944,173.4285714,1.844828028,14.24860743,0.847499604
"SD",1945,180.6875,1.360748415,14.13240654,0.233546007
"SD",1946,168.122449,1.82707783,15.09735003,0.790548039
"SD",1947,182.8043478,1.360046608,14.91596189,1.259786697
"SD",1948,314.5636364,1.360726183,14.7430776,0.648243426
"SD",1949,305.2321429,1.196010562,15.17542337,0.371595748
"SD",1950,313.4035088,1.22552949,12.64456861,-1.310381041
"SD",1951,314.6779661,1.585427803,12.28688409,-1.04184162
"SD",1952,332.5,0.958396919,14.6827276,0.388330275
"SD",1953,341.3606557,1.562762295,15.23309182,1.581333664
"SD",1954,351.0163934,1.230383756,15.74337771,1.369719559
"SD",1955,348.4918033,1.117621957,14.92164796,0.247995748
"SD",1956,338.8360656,1.214409828,14.9165115,0.459729009
"SD",1957,346.7868852,1.613900944,14.0167809,1.06167178
"SD",1958,341.3114754,1.059862146,15.27645667,0.673927831
"SD",1959,336.3114754,1.213242921,14.70586784,0.417667012
"SD",1960,331.4262295,1.338395495,13.98319606,-0.176991139
"SD",1961,338.0819672,1.15443917,15.0073343,0.464365857
"SD",1962,342.4918033,1.786893616,14.46762099,0.920592095
"SD",1963,347.7377049,1.423241232,15.75310207,1.480628662
"SD",1964,351.2295082,1.296835047,15.06634405,0.389151928
"SD",1965,348.557377,1.528063628,13.6828298,0.024941456
"SD",1966,355.0327869,1.322678962,13.91456528,-0.237063889
"SD",1967,347.3278689,1.222391083,14.49858001,0.265420707
"SD",1968,341.8196721,1.501378114,14.22919275,0.331203806
"SD",1969,333.0819672,1.293821116,14.00117649,0.554454127
"SD",1970,338.704918,1.367514406,13.81750694,-0.0916125
"SD",1971,337.0983607,1.524753974,13.95317967,0.314012121
"SD",1972,336.1967213,1.47569692,12.79610514,-0.324566995
"SD",1973,324.0655738,1.345504489,15.05626266,1.604021544
"SD",1974,328.25,0.949584407,16.17750709,1.152684746
"SD",1975,321.9,1.352673703,14.03640211,0.504593912
"SD",1976,334.1833333,0.8957975,16.00533599,0.603679571
"SD",1977,350.4666667,1.788287652,14.78625095,1.211022445
"SD",1978,335.75,1.359236048,12.91190693,-0.683736441
"SD",1979,345.2833333,1.357826641,13.22504229,-0.641037194
"SD",1980,338.55,1.025668561,15.66244601,0.799398819
"SD",1981,341.0666667,1.271007727,16.21462881,1.780819414
"SD",1982,325.6833333,1.80414329,13.07748657,0.065261831
"SD",1983,331.75,1.512478535,13.95834065,1.312430791
"SD",1984,323.45,1.575378316,14.02925044,0.979502457
"SD",1985,322.1551724,1.355229572,13.22032953,-0.415609463
"SD",1986,328.9830508,1.837994984,14.41931282,1.979828352
"SD",1987,338.8333333,1.252334192,16.31088983,2.76198662
"SD",1988,332.1166667,1.114875884,15.95646058,1.320675667
"SD",1989,327.704918,1.206605936,14.09717288,0.183984526
"SD",1990,342.0163934,1.291822529,15.73703142,1.558786637
"SD",1991,340.9016393,1.580616071,15.0522508,1.905254471
"SD",1992,342.9344262,1.556804396,14.22181197,1.405930204
"SD",1993,318.9180328,1.994241406,12.11379059,-0.038216667
"SD",1994,329,1.634668228,13.81152643,0.97540423
"SD",1995,319.1803279,2.213541915,13.08068576,1.119526838
"SD",1996,316.6721311,1.82790313,11.62233497,-0.728343716
"SD",1997,320.45,1.716226667,13.47779208,1.126051457
"SD",1998,298.5081967,1.772260273,14.87035527,2.728021914
"SD",1999,332.3770492,1.556395264,15.65669072,2.343733902
"SD",2000,323.4098361,1.470719225,14.71221859,1.162701187
"SD",2001,332.1666667,1.642341406,14.97222665,1.966706657
"SD",2002,324.5666667,1.157345479,14.90839023,1.36820654
"SD",2003,324.5762712,1.381169773,14.72317961,1.218020853
"SD",2004,332.1016949,1.642687058,14.83097556,1.342151957
"SD",2005,324.6101695,1.622818855,15.48673148,2.054169444
"SD",2006,328.7166667,1.233425708,15.97515164,2.377271038
"SD",2007,325.6333333,1.696416667,14.85881421,1.824165301
"SD",2008,319.5,1.76555765,13.39205509,0.076392126
"SD",2009,326.2,1.66274882,12.82113096,0.256471125
"SD",2010,330.8333333,1.809680087,13.64174996,1.399660333
"SD",2011,230.6491228,1.685340164,13.53739918,0.828960929
"SD",2012,269.2166667,1.063890826,16.98994858,2.394727432
"SD",2013,328.3606557,1.792267014,13.00138368,0.326459675
"SD",2014,339.0877193,1.422349727,13.16062022,0.011215847
"SD",2015,323.9322034,1.613507104,15.45664781,1.964480464
