"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"TN",1936,234.7,3.220789899,21.93098603,8.548621759
"TN",1937,244.3666667,3.833456818,21.17347485,8.9738435
"TN",1938,264.1034483,3.43215619,22.01785707,9.133684848
"TN",1939,259.6896552,3.567772857,21.99491556,8.929634394
"TN",1940,239.09375,3.028517706,20.46145469,7.48750545
"TN",1941,245.4516129,2.543624013,22.11561409,8.98281596
"TN",1942,242.6363636,3.647860294,21.53599722,8.470043131
"TN",1943,258.0645161,2.948638889,21.55115667,8.133615303
"TN",1944,240.9354839,3.856799479,21.21761869,8.120481953
"TN",1945,274.5357143,4.372099077,21.34946952,8.753688912
"TN",1946,244.4,3.729723293,22.32578849,9.180020563
"TN",1947,254.2666667,3.102471667,20.85243561,7.810473737
"TN",1948,275.1470588,3.946760644,20.74178131,7.742107684
"TN",1949,358.7714286,3.897854453,21.72089573,9.306502874
"TN",1950,341.3428571,4.555930581,20.67884483,8.364462644
"TN",1951,312.8235294,4.15627963,21.43131262,8.185612905
"TN",1952,361.8,2.891539216,22.10263448,8.958559747
"TN",1953,341.1875,3.116915741,22.3104846,8.014719545
"TN",1954,352.40625,3.21656713,22.5745303,8.774991667
"TN",1955,326.125,3.51267319,21.60409189,8.371936461
"TN",1956,354.5862069,3.538432029,21.89467071,8.580305556
"TN",1957,340.0322581,4.669840278,21.39178611,9.126611111
"TN",1958,323.0322581,3.048113594,19.99671884,7.117925758
"TN",1959,338.65625,3.484290278,21.25003167,8.286345
"TN",1960,318.4375,3.004974537,20.1771399,7.401323737
"TN",1961,342.3548387,3.75475,20.80642665,7.901761137
"TN",1962,336.1612903,4.038224747,21.02584213,7.907878543
"TN",1963,314.34375,2.859497842,20.84237788,6.942394393
"TN",1964,326.7741935,3.866677664,21.43631989,7.894780303
"TN",1965,332.5,3.11783286,21.30383651,8.078575758
"TN",1966,359.3870968,3.391890625,20.16390054,7.467147849
"TN",1967,361.1290323,3.629915246,20.64955049,7.650329423
"TN",1968,352.8125,3.06714607,20.30202395,7.152718231
"TN",1969,354.78125,3.464673769,20.32650403,7.449799006
"TN",1970,360.03125,3.478895597,20.53750639,7.819795218
"TN",1971,357.53125,3.488075521,20.87498542,8.041989583
"TN",1972,362.125,4.257307765,20.67917259,8.181045455
"TN",1973,358.0625,4.490959691,21.13412852,8.74489869
"TN",1974,363,4.246214076,20.89722581,8.294509531
"TN",1975,361.8387097,4.30205914,20.61026882,8.022120968
"TN",1976,364.7096774,3.20970259,20.15320707,6.359212879
"TN",1977,356.6451613,3.797255376,20.90097312,7.813591398
"TN",1978,344.0322581,3.482722239,20.02279748,6.847582879
"TN",1979,340.6774194,4.606825187,19.34027256,7.088780892
"TN",1980,347.125,3.021863542,20.87645215,7.650073656
"TN",1981,354.25,3.252322646,20.27847202,7.396495846
"TN",1982,328.7272727,3.999392103,20.39880327,8.079690104
"TN",1983,340.1212121,3.850250623,19.94222132,7.513354945
"TN",1984,326.3030303,3.883547827,20.65148548,7.790586174
"TN",1985,329.1818182,3.054104683,20.23443868,7.849506155
"TN",1986,346.9393939,3.175557392,21.32450521,8.746575616
"TN",1987,333.4545455,3.022167195,21.17964182,8.07051355
"TN",1988,347.030303,3.234307208,20.65621643,6.878464299
"TN",1989,344.6060606,4.477267677,19.75317535,7.465493924
"TN",1990,364.6060606,4.064032828,21.75289986,8.498446259
"TN",1991,363.6060606,4.151219697,21.10281108,9.03274858
"TN",1992,357.2424242,3.345282323,19.92137462,7.924610221
"TN",1993,356.21875,3.480091146,20.10812903,7.766564516
"TN",1994,347.15625,4.486373343,20.41930122,7.823694917
"TN",1995,345.0909091,3.556183999,20.69231451,7.960360882
"TN",1996,342.7878788,4.074916667,19.70007163,7.388721763
"TN",1997,353.5454545,3.931124197,19.79225413,7.566501837
"TN",1998,330.7878788,4.014224059,21.50019077,9.430641644
"TN",1999,352.1428571,3.211878231,22.02802782,8.336922653
"TN",2000,343.6666667,3.205468464,20.7420116,7.908042839
"TN",2001,358.8285714,3.85530282,20.81192235,8.208670244
"TN",2002,347.6388889,4.040546296,20.81387963,8.754097222
"TN",2003,341.6388889,4.345958544,19.92647454,8.143743266
"TN",2004,353.9166667,4.127391835,20.59460585,8.736075968
"TN",2005,353.5555556,3.095387374,20.97522433,8.51826431
"TN",2006,354.9722222,3.445763721,21.21353472,8.520115951
"TN",2007,356.2777778,2.676566769,22.14248001,8.860118476
"TN",2008,352.0833333,3.372952766,20.54206061,7.720702862
"TN",2009,354.3055556,4.073571218,20.00522222,8.242333333
"TN",2010,349.1111111,3.714758102,20.45266242,7.764604167
"TN",2011,97.82857143,4.693256757,21.01636487,8.684211712
"TN",2012,97.09090909,3.228606061,22.08228071,9.166642916
"TN",2013,128.6764706,4.462308559,19.59235586,7.989993243
"TN",2014,150.6363636,3.721439306,19.43096243,7.198286241
"TN",2015,263.027027,4.19593878,20.80871499,8.791381143
