"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"TX",1936,355.7710843,2.230369566,25.65889711,11.63914613
"TX",1937,350.3452381,1.917771808,25.52219473,11.8710918
"TX",1938,345.4588235,1.950520598,26.29778304,12.36880973
"TX",1939,340.6704545,1.773341728,26.68657998,12.24295765
"TX",1940,343.8681319,2.655061834,25.07994179,11.26900757
"TX",1941,352.6629213,3.267282422,24.83399416,12.53881345
"TX",1942,349.7888889,2.294977262,25.37386316,11.30822109
"TX",1943,345.6153846,1.728481621,26.16424332,11.45938695
"TX",1944,360.7640449,2.582496079,25.6024955,11.88372946
"TX",1945,343.8089888,2.287405077,25.87466123,11.88394057
"TX",1946,334.3913043,2.636545833,25.99895791,12.47431029
"TX",1947,291.3033708,1.845763163,25.36936956,11.46869411
"TX",1948,340.7941176,1.563564171,26.04411828,11.59214685
"TX",1949,337.4423077,2.478001226,25.19837844,11.75084119
"TX",1950,341.7961165,1.848726972,26.15255677,11.72686773
"TX",1951,338.5882353,1.575711511,26.32299207,11.66777581
"TX",1952,350.2843137,1.751208824,26.39452539,11.79075662
"TX",1953,340.9326923,1.783549934,26.66863976,12.12549885
"TX",1954,347.83,1.358327819,27.35965969,12.49442152
"TX",1955,354.1530612,1.719648541,26.36452604,12.01583629
"TX",1956,347.989899,1.176227161,27.15071427,12.00257093
"TX",1957,355.7959184,2.858282386,25.17490551,12.31191598
"TX",1958,354.7684211,2.255960919,24.65424408,11.71396431
"TX",1959,359.7368421,2.264042274,25.25528264,11.48173529
"TX",1960,351.6804124,2.324363367,24.97199153,11.5497701
"TX",1961,355.1237113,2.212934844,24.98464853,11.31673733
"TX",1962,358.8686869,1.863448771,26.16482404,12.04751725
"TX",1963,360.61,1.45232108,26.14716324,11.5844322
"TX",1964,351.6176471,1.801751894,25.45640524,11.26297083
"TX",1965,360.7058824,2.098205452,25.67394429,12.21595677
"TX",1966,361.6534653,2.073109871,24.88702269,11.21222443
"TX",1967,363.6831683,1.995639409,25.91749544,11.67442405
"TX",1968,359.7524752,2.518802195,24.3621216,11.11503694
"TX",1969,360.0686275,2.234637425,25.46633114,11.69966891
"TX",1970,364.1470588,1.892278818,25.15387824,11.08271064
"TX",1971,358.6960784,2.118415137,25.90948613,11.72331203
"TX",1972,355.8640777,2.006167893,25.66539031,11.36997386
"TX",1973,331.9509804,2.751021835,24.71589013,10.97613251
"TX",1974,354.89,2.394652368,25.32847735,11.30333172
"TX",1975,343.0192308,2.084396219,25.23030187,10.9591327
"TX",1976,357.5145631,2.394007193,24.68925272,10.44540737
"TX",1977,354.3300971,1.7814584,26.039592,11.79166986
"TX",1978,345.2718447,1.957272315,24.75782683,11.1853001
"TX",1979,343.8137255,2.403831744,24.4077795,10.65863778
"TX",1980,343.5436893,1.878850696,25.83681582,11.56779522
"TX",1981,355.2788462,2.566444789,25.45404031,11.92921756
"TX",1982,332.7692308,2.422273033,25.48223326,11.81187203
"TX",1983,334.7572816,2.084802346,24.59410057,10.75545413
"TX",1984,293.9807692,2.020910201,25.65443494,11.70219399
"TX",1985,317.8846154,2.290009694,25.03689374,11.81193927
"TX",1986,342.4571429,2.639550173,25.40647654,12.33252554
"TX",1987,336.7047619,2.348428398,24.78647978,11.10459955
"TX",1988,346.4285714,1.620431539,25.63898627,11.11614702
"TX",1989,355.8952381,2.063193886,25.12218034,11.12641998
"TX",1990,353.647619,2.455637554,25.61575635,12.06945457
"TX",1991,357.5619048,2.956700976,25.05673215,12.05704749
"TX",1992,358.8269231,2.684628589,24.76602063,11.69173477
"TX",1993,354.2190476,2.451222641,24.70978466,11.2171095
"TX",1994,347.5192308,2.620692939,25.37883937,11.79650707
"TX",1995,349.4951456,2.281974888,25.2266515,11.58329278
"TX",1996,348.9056604,2.130517289,25.793777,11.66461945
"TX",1997,352.3084112,2.901034851,24.34240969,11.55718469
"TX",1998,330.2149533,2.233218455,26.41330673,13.0522429
"TX",1999,348.7037037,1.675631333,26.64215009,12.33311703
"TX",2000,353.2830189,2.17770784,26.05663321,12.55986738
"TX",2001,349.6571429,2.380942644,25.14532366,12.25809977
"TX",2002,350.2980769,2.485523687,25.03418509,11.91891498
"TX",2003,345.2352941,1.976950158,25.26729718,11.85596528
"TX",2004,346.8627451,3.077292274,24.79363293,12.43360394
"TX",2005,335.8173077,1.597267806,25.6143805,11.79844725
"TX",2006,329.4174757,1.996794277,26.72193022,12.23013629
"TX",2007,326.5384615,2.967267691,24.66342344,11.92879779
"TX",2008,332.6826923,1.782520332,26.07141464,11.46754512
"TX",2009,328.5686275,2.473321218,25.88319779,11.81787571
"TX",2010,331.6990291,2.046189725,24.67393335,10.89587774
"TX",2011,167.0877193,1.221078135,27.09696512,12.07221883
"TX",2012,222.7843137,1.908639642,26.86976201,12.69474712
"TX",2013,239.3965517,2.028049183,25.43985495,11.56397397
"TX",2014,206.65,1.911183188,25.17516734,11.55399268
"TX",2015,239.3571429,3.267780108,25.07168937,12.28764977
