"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"UT",1936,233.5,1.327716523,18.22509528,1.578199163
"UT",1937,245.5,1.144828829,17.12930405,0.601578829
"UT",1938,228.6388889,1.179791667,17.33582187,1.601412162
"UT",1939,244.8571429,0.922975478,17.96094756,0.957848274
"UT",1940,240.7142857,1.032512121,18.38950767,2.152780958
"UT",1941,231,1.315379383,16.63277592,1.393196437
"UT",1942,248.3333333,0.707502077,17.47374193,0.184221178
"UT",1943,241.4571429,0.836513969,18.33304719,1.118615752
"UT",1944,249.2352941,0.949101884,16.63795455,-0.097317088
"UT",1945,252.0588235,1.103018284,16.84032882,0.42521365
"UT",1946,239.2162162,0.997161212,17.61286244,1.115169431
"UT",1947,238.4722222,1.06785664,17.43501925,1.252932258
"UT",1948,264.6829268,0.913307491,16.79713814,-0.154376239
"UT",1949,297.15,0.964110249,16.53975219,-0.365660819
"UT",1950,328.1707317,0.79295683,17.90235354,0.590103989
"UT",1951,302.1190476,0.960513683,17.22637847,0.45325625
"UT",1952,284.1860465,0.843331595,17.03397231,-0.017047578
"UT",1953,327.2790698,0.797239052,18.00415162,0.920944145
"UT",1954,317.5777778,0.79205569,18.53633218,1.295189502
"UT",1955,293.3555556,0.880217654,16.80795749,-0.065459007
"UT",1956,286.1304348,0.596851647,17.86883175,0.169739018
"UT",1957,275.5434783,1.136045817,16.73022946,1.106362763
"UT",1958,296.2765957,0.723588948,18.4803428,1.255328914
"UT",1959,319.0425532,0.801572695,17.81142803,0.812991477
"UT",1960,298.9148936,0.768650709,17.72501894,0.633303719
"UT",1961,323.212766,0.877481464,17.38994921,0.685004132
"UT",1962,314.0851064,0.833393939,17.81783593,0.415951481
"UT",1963,341.9361702,0.898157576,17.77890168,0.928940572
"UT",1964,313.5106383,0.969608924,16.13041352,-0.68880102
"UT",1965,306.2340426,1.167732205,16.38118768,0.599786364
"UT",1966,320.1304348,0.735189229,17.77574277,0.670196798
"UT",1967,281.2142857,0.993042967,17.068457,0.861417536
"UT",1968,283.8478261,0.997443116,16.46680689,0.1842419
"UT",1969,314.8695652,1.043507119,17.33831319,1.16545366
"UT",1970,298.9782609,0.913591348,17.27998915,0.855948588
"UT",1971,297.9787234,0.959118536,16.82253656,0.554012714
"UT",1972,304.2978723,0.851858188,17.69810477,1.089640965
"UT",1973,269.8723404,0.905644953,16.31119692,0.207222888
"UT",1974,315.3478261,0.659192688,17.79460348,0.660270145
"UT",1975,285.8913043,0.951011792,16.31750631,-0.093770833
"UT",1976,319.3478261,0.538468544,17.89511179,0.019919024
"UT",1977,333.5777778,0.732374835,18.29491492,1.066535862
"UT",1978,326.5454545,1.034557407,17.55393834,1.258114517
"UT",1979,325.2444444,0.702710545,17.10928622,0.041355411
"UT",1980,329.8297872,1.120265278,17.48972826,1.092923551
"UT",1981,351.4255319,1.063194444,18.70542029,2.290851449
"UT",1982,314.2083333,1.290001855,16.14881915,0.666647163
"UT",1983,312.6875,1.455971088,16.56665426,1.786480496
"UT",1984,291.8333333,1.10888355,15.90922469,0.264149259
"UT",1985,295.5833333,0.978102041,16.70306415,0.480471309
"UT",1986,302.2083333,1.06858658,18.05198614,2.009850419
"UT",1987,317.1041667,0.919465986,17.66205319,1.364062057
"UT",1988,331.9583333,0.705206555,17.82367924,0.935704707
"UT",1989,343.625,0.625725015,17.86877801,0.60388156
"UT",1990,342.0208333,0.786367182,17.64014939,1.181069342
"UT",1991,347.4347826,0.897173646,16.82738967,0.783566304
"UT",1992,340.9130435,0.812845358,17.83122372,1.471497127
"UT",1993,326.4347826,1.052758957,16.20015302,0.365422523
"UT",1994,322.4444444,0.88112377,18.55251654,2.137611444
"UT",1995,333.75,1.058697609,18.08309584,1.864709831
"UT",1996,337.1304348,0.974639049,18.55526705,1.959259298
"UT",1997,325.2826087,1.164586726,17.14737798,1.598674557
"UT",1998,306.6666667,1.201138669,17.39286459,2.05594133
"UT",1999,342.8695652,0.849521277,18.3453587,1.631336957
"UT",2000,345.3478261,0.935839555,18.5064032,2.742549473
"UT",2001,331.8085106,0.795653204,18.43851236,2.170088443
"UT",2002,341.3617021,0.696568971,18.01628846,1.305524516
"UT",2003,333.2765957,0.856140697,18.69369382,2.72370683
"UT",2004,336.9148936,1.060314789,17.34391304,2.034609365
"UT",2005,339.1489362,1.100285417,17.81893791,2.38574481
"UT",2006,333.4782609,0.97374049,17.55899923,1.690727079
"UT",2007,337.893617,0.786330271,18.26880061,1.806669246
"UT",2008,329.6956522,0.811423727,16.74942145,0.564752264
"UT",2009,323.4468085,0.830248169,17.24925681,1.289058747
"UT",2010,319,1.168656171,16.91274253,1.800741635
"UT",2011,226.8478261,1.67457454,16.40812054,0.928282039
"UT",2012,242.6170213,0.820537668,18.75781426,2.456510843
"UT",2013,267.9777778,0.868783343,16.07502246,0.817370751
"UT",2014,307.6222222,0.937987532,18.10177601,2.453624382
"UT",2015,312.1555556,0.955913894,18.38659137,2.85211974
