"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"VA",1936,224.4117647,3.128204394,19.37785797,6.926022568
"VA",1937,190.7894737,3.821472222,18.40945833,6.504823106
"VA",1938,186,2.925820346,19.05817841,6.883602273
"VA",1939,201.6470588,3.0028625,19.66991228,7.408688596
"VA",1940,206.1176471,3.218681481,18.17020702,6.059411404
"VA",1941,179.1578947,2.279251584,20.281075,6.949364167
"VA",1942,152.047619,3.523209366,19.34109508,7.076542424
"VA",1943,156.95,2.614231061,19.91226553,6.630365909
"VA",1944,151.7142857,3.109299242,19.4576,6.839095833
"VA",1945,176.1111111,3.330415978,19.70152523,7.402985909
"VA",1946,164.2105263,2.824666667,20.0497275,7.349246667
"VA",1947,150.952381,2.883709486,18.8608658,6.745107504
"VA",1948,231.3043478,3.786891107,19.18048204,7.104804113
"VA",1949,348.7391304,3.098349967,19.87179762,7.866502834
"VA",1950,343.7391304,2.733202174,18.37100799,6.377560193
"VA",1951,344.96,2.655988485,19.44981607,6.757761133
"VA",1952,341.92,3.01563697,19.85441425,7.24975
"VA",1953,349.04,2.508198,20.84447833,7.603246509
"VA",1954,360.56,2.72082697,20.05832246,6.860354084
"VA",1955,357.2,2.728674545,19.40331192,6.719896245
"VA",1956,359.04,2.920867778,19.46286594,7.120271739
"VA",1957,348.4,3.080591126,19.7675667,7.527306748
"VA",1958,343.7083333,2.973583333,17.85629444,5.874848309
"VA",1959,357.875,2.903538889,20.15116256,7.279358696
"VA",1960,340.28,2.73786,18.52427778,6.028871528
"VA",1961,350.32,3.315857778,18.8887662,6.687431713
"VA",1962,349.64,2.987699697,18.36694697,6.225129735
"VA",1963,356.8,2.295368485,19.02330303,5.51727399
"VA",1964,351.32,2.679711818,19.52900013,6.501690404
"VA",1965,353.72,2.224240909,19.39309659,6.468187816
"VA",1966,350.92,2.742641061,18.67000537,5.808801452
"VA",1967,362.76,2.667386667,18.62961458,5.627100694
"VA",1968,348.32,2.427486753,18.81645023,5.662746423
"VA",1969,358.24,2.855958,18.3825125,6.227723611
"VA",1970,341.88,2.441359273,18.58607184,6.022946023
"VA",1971,352.52,3.103598909,19.22692336,6.986099558
"VA",1972,345.28,3.83871303,18.14640941,6.183608902
"VA",1973,351.125,3.031544613,19.51214581,7.334137901
"VA",1974,362.7916667,2.777145833,19.45473792,6.765599896
"VA",1975,352.5,3.498617424,19.35982971,7.032434783
"VA",1976,361.75,2.830994634,19.17566436,5.709352964
"VA",1977,357,2.517858333,19.30199565,6.570024807
"VA",1978,352.6666667,3.000748422,18.5122747,5.860573123
"VA",1979,358.625,3.810052083,18.47912319,6.173746377
"VA",1980,334.0833333,2.400460006,19.22381494,6.3516185
"VA",1981,352.5416667,2.40245,18.8514029,5.80703913
"VA",1982,347.625,3.105871528,19.27257986,6.516729167
"VA",1983,353.375,3.222139836,19.18555587,6.307092803
"VA",1984,354.3333333,3.090897727,19.24573201,6.593926452
"VA",1985,347.0416667,2.981909848,19.55901402,6.589701957
"VA",1986,341,2.35200938,19.66342591,6.753499369
"VA",1987,341.375,3.107286258,19.50133786,6.435004251
"VA",1988,352.5833333,2.414960017,19.21116246,5.449681713
"VA",1989,344.25,3.629837939,18.85556224,6.653415818
"VA",1990,355.28,3.117176869,20.71568626,7.420381919
"VA",1991,353.64,2.591110848,20.48882529,7.432470283
"VA",1992,355.5833333,2.997154924,18.45361578,6.54209154
"VA",1993,341.72,3.007425758,19.20565152,6.677187273
"VA",1994,341.92,3.076048889,19.03131067,6.103782667
"VA",1995,352.56,3.015082667,18.74715776,6.454185879
"VA",1996,353.08,3.946746061,17.9233403,6.133352121
"VA",1997,353,2.701048788,18.62918909,5.947246364
"VA",1998,333.56,3.097063939,20.10271303,7.532411818
"VA",1999,354.76,2.910496,19.70271133,6.430462
"VA",2000,351.52,2.742429455,18.67105352,5.968728545
"VA",2001,341.8461538,2.458868201,19.64631964,6.345883741
"VA",2002,352.36,2.934036667,19.76881333,7.195661667
"VA",2003,324.6923077,4.412846445,17.69905128,6.183125
"VA",2004,350.72,3.888864899,18.98213219,7.218662879
"VA",2005,328.0769231,3.162932772,19.13495824,6.954743498
"VA",2006,345.6666667,3.211222222,19.87586173,7.266671811
"VA",2007,343.5185185,2.442663272,19.99748179,7.260147222
"VA",2008,351.0384615,3.252460718,19.06244114,6.516650058
"VA",2009,352.2692308,3.396003205,18.53844406,6.658608392
"VA",2010,344.8846154,2.783975816,19.28116667,6.71612296
"VA",2011,150.52,3.895465035,19.77675408,7.450636364
"VA",2012,149.32,2.753291132,20.00986058,7.344525641
"VA",2013,172.2,3.494479517,18.00206383,6.365953089
"VA",2014,194.64,3.026798077,18.19360256,5.776304487
"VA",2015,229.48,3.236499359,19.50878654,7.484584615
