"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"VT",1936,216.6,3.319619048,12.48939286,0.041654762
"VT",1937,145.2857143,3.323703618,13.16742424,1.386506957
"VT",1938,156.2857143,3.393761905,13.42536147,1.032170996
"VT",1939,167.7142857,2.911845238,12.38555952,-0.026678571
"VT",1940,171.5714286,3.168929654,11.94866905,-0.004397619
"VT",1941,169.8571429,2.410488095,13.22853571,0.179333333
"VT",1942,187.5714286,2.936404762,13.24992857,0.862142857
"VT",1943,169.4285714,2.930656463,9.903445887,-2.001168831
"VT",1944,233.2,3.163112963,11.04815278,-1.505333333
"VT",1945,226.2,3.82693254,13.26543056,0.915097222
"VT",1946,199.8333333,3.64425,13.40986905,0.085404762
"VT",1947,220,3.203178571,13.18861797,0.708922078
"VT",1948,271,2.968178571,13.42442857,0.051071429
"VT",1949,331.7142857,2.308254762,14.6739881,1.696654762
"VT",1950,314.1428571,2.482383333,13.3218881,0.518566667
"VT",1951,328.2857143,2.766142857,13.25351191,0.983583333
"VT",1952,321.2857143,2.641119048,13.45434524,1.156363095
"VT",1953,321.1428571,2.373225108,14.9112197,1.991286797
"VT",1954,328.4285714,3.111406926,12.6646342,0.781617965
"VT",1955,329.5714286,2.340464286,13.09652381,0.568047619
"VT",1956,328.2857143,2.230678571,12.49575,-0.387785714
"VT",1957,316.4285714,2.204285714,13.83714286,0.18602381
"VT",1958,312.1428571,2.389,12.16077381,-0.603642857
"VT",1959,301.7142857,2.8721,11.93214048,-0.652619048
"VT",1960,313.2857143,2.346035714,12.66402706,-0.093392136
"VT",1961,288.1428571,2.237712121,11.63705844,-0.779459957
"VT",1962,337.3333333,2.424733586,12.3946452,-0.483958333
"VT",1963,319.4285714,2.055780844,13.14672781,-0.261496212
"VT",1964,313.1428571,2.104412698,13.5483631,0.008613095
"VT",1965,324.1428571,2.125857143,12.79290952,-0.416002381
"VT",1966,322.8571429,2.315639069,13.7870763,0.641875
"VT",1967,306.4285714,2.491446429,12.78519643,-0.007261905
"VT",1968,295.4285714,2.637930952,12.80811667,0.0738
"VT",1969,318.8571429,2.791488095,12.84110714,0.482940476
"VT",1970,317,2.359577381,12.99284921,-0.263265873
"VT",1971,300.8571429,2.557404762,12.73460714,-0.277333333
"VT",1972,327.1428571,2.903369048,11.99985714,-0.550952381
"VT",1973,323,3.354369048,13.76525,1.555988095
"VT",1974,281.7142857,2.986093074,12.00392121,-0.718687013
"VT",1975,283.6666667,2.862527778,12.93453409,0.360462121
"VT",1976,334.1666667,3.418958333,12.51413889,-0.237138889
"VT",1977,347.1666667,2.945819444,12.91795833,0.913944444
"VT",1978,287.1666667,2.712638889,9.697430556,-3.354194444
"VT",1979,292.6666667,2.654375,12.95422222,1.090402778
"VT",1980,341.1666667,2.234319444,12.33513889,-0.067694444
"VT",1981,335,3.055569444,13.01781944,1.189555556
"VT",1982,301.5,2.365555556,13.05213889,0.012916667
"VT",1983,312.3333333,3.404958333,13.23061111,1.327972222
"VT",1984,313,2.760732323,13.28055934,1.101304293
"VT",1985,318,2.455541667,12.7202298,0.838113636
"VT",1986,309,2.952525253,12.83187374,0.963147727
"VT",1987,292.5,2.643406566,13.85311742,1.245353535
"VT",1988,311.6,2.196660606,12.94804697,1.030130303
"VT",1989,326.4,2.709816667,12.64238333,0.054966667
"VT",1990,334.4,3.3352,14.19805,2.231916667
"VT",1991,334.4,2.563316667,14.04648333,1.687833333
"VT",1992,346.2,2.354883333,12.25961667,0.316966667
"VT",1993,343.6,2.40795,12.81538667,0.633623333
"VT",1994,307.8333333,2.561819444,13.18154167,0.971819444
"VT",1995,280,2.869687951,12.61170473,0.913896645
"VT",1996,331.1666667,3.483138889,12.10752778,0.614152778
"VT",1997,362.4,2.777666667,12.40386667,-0.259166667
"VT",1998,322.3333333,2.957243056,15.31534722,2.853243056
"VT",1999,339.7142857,2.511480159,15.07874603,1.988666667
"VT",2000,355.5714286,3.11152381,12.59405952,0.539011905
"VT",2001,358.8571429,2.103761905,13.99164827,0.930414502
"VT",2002,318.5714286,2.836357143,12.09874459,0.209269481
"VT",2003,308.1428571,3.49452381,10.87808442,-0.987031385
"VT",2004,359.5714286,3.000561224,12.50970238,0.259428571
"VT",2005,339.7142857,2.901537879,13.53368723,1.334201299
"VT",2006,338.1428571,2.990642857,13.7865,2.662142857
"VT",2007,331.5714286,3.121904762,12.46185714,0.34927381
"VT",2008,320.7142857,3.5735,12.91525,0.969071429
"VT",2009,319.4285714,3.747809524,12.43089286,0.579297619
"VT",2010,303.5714286,3.869011905,12.87105782,1.809141156
"VT",2011,218.7142857,3.664595238,13.43715476,1.859964286
"VT",2012,329.8571429,2.7035,14.45642857,2.484964286
"VT",2013,343.7142857,2.870261905,12.88417857,1.10847619
"VT",2014,344.1428571,2.969044372,12.29442064,-0.471114286
"VT",2015,353.5714286,2.732464286,13.34796429,0.987282313
