"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"WA",1936,213.4912281,2.561926457,15.70148027,2.998294989
"WA",1937,217.3965517,3.241732323,15.02561018,3.024893601
"WA",1938,210.7241379,2.648318712,15.98090039,3.658885281
"WA",1939,215.0175439,2.801596869,16.38136978,3.978134639
"WA",1940,235.5,2.992781427,16.45315981,4.621016513
"WA",1941,256,2.477972294,16.47094183,4.733434222
"WA",1942,225.75,2.440181187,15.99055984,3.946917385
"WA",1943,220.7857143,1.992657195,15.19198292,2.845386224
"WA",1944,226.037037,2.096852381,15.59819152,3.287625385
"WA",1945,246.7959184,2.913195992,15.37025494,3.401951916
"WA",1946,227.6666667,2.761482324,15.17766521,3.15756765
"WA",1947,223.7962963,2.736521533,15.89974646,3.863856454
"WA",1948,275.2459016,3.35216024,14.2085136,2.912096475
"WA",1949,335.1311475,2.349628916,15.65331089,2.536928592
"WA",1950,332.8688525,3.92090769,13.82937286,2.478308141
"WA",1951,339.7833333,2.748565706,15.09505949,2.648411962
"WA",1952,333.8644068,1.74247888,15.91631731,3.146385467
"WA",1953,342.442623,3.122365159,16.01061454,4.193835953
"WA",1954,336.6885246,2.781997992,14.69003848,3.068961402
"WA",1955,341.4333333,3.019849074,13.5854704,2.308438218
"WA",1956,338.2622951,2.691829111,14.88300595,3.056484463
"WA",1957,340.1967213,2.41849644,15.06757524,3.129129002
"WA",1958,341.4193548,2.801264113,17.24523365,4.979382083
"WA",1959,341.7903226,2.960152639,14.82386326,3.29737649
"WA",1960,341,2.613300587,15.12188611,3.148776389
"WA",1961,338.6129032,3.01730132,15.77725614,3.786075606
"WA",1962,345.4354839,2.502093964,15.24167386,3.505953914
"WA",1963,351.3064516,2.477410528,15.25563123,3.704225126
"WA",1964,345.5645161,2.830916361,14.27017197,2.728739141
"WA",1965,308.9833333,2.323707107,15.65247858,3.63541915
"WA",1966,329.0169492,2.633019595,15.68818007,3.802734327
"WA",1967,335.1052632,2.687954321,16.35825809,4.02324302
"WA",1968,331.3333333,3.086541325,15.27224729,3.551678072
"WA",1969,330.3448276,2.357971163,14.84343417,3.0069425
"WA",1970,338.2741935,2.598348143,15.14404744,2.965056313
"WA",1971,332.483871,3.064794917,14.60910467,2.944015631
"WA",1972,326,3.092223778,14.58594917,2.826520429
"WA",1973,332.3606557,2.582283505,15.2418429,3.478824536
"WA",1974,340.7288136,3.054579687,15.41870284,3.624413982
"WA",1975,323.7333333,3.231937475,14.16817803,3.005565134
"WA",1976,337.9333333,2.148709141,14.98508726,3.354321623
"WA",1977,345.1,2.638515236,15.14140809,3.515977345
"WA",1978,341.95,2.32678447,14.79658857,3.614608141
"WA",1979,338.1311475,2.443640661,15.21885739,3.14317298
"WA",1980,333.6721311,2.812207319,14.73388181,3.543371014
"WA",1981,351.7833333,2.878547976,15.81628196,4.030841553
"WA",1982,326.2166667,3.118673384,14.73044796,3.03658221
"WA",1983,342.3666667,3.364398182,15.26515387,3.92399582
"WA",1984,331.8,3.09502404,14.46358605,3.239503161
"WA",1985,320.4,1.941627273,14.02000504,2.103780982
"WA",1986,340.3333333,2.742497348,15.51493757,4.210453152
"WA",1987,343.1333333,2.149487273,16.49868016,4.254018373
"WA",1988,346.7,2.582618056,15.66298294,4.083523824
"WA",1989,337.7,2.404964613,14.97784808,3.767610232
"WA",1990,338.8666667,3.304408081,15.39713881,4.154799517
"WA",1991,346.704918,2.532366564,15.26203782,4.070976759
"WA",1992,339.2786885,2.416761061,16.38397786,4.782717351
"WA",1993,330.8870968,2.190195666,14.49030803,3.430955589
"WA",1994,331.6129032,2.772073796,15.99475423,4.422541996
"WA",1995,323.5322581,3.298820558,15.76690818,4.394844502
"WA",1996,322.3064516,3.503559836,14.59629511,3.291093294
"WA",1997,321.5806452,3.311353454,15.29562151,4.283620587
"WA",1998,308.9193548,2.979257143,16.18328201,4.867301995
"WA",1999,349.1967213,3.191457478,15.49773035,4.090710564
"WA",2000,329.3064516,2.255344486,14.65455877,3.414385273
"WA",2001,336.2380952,2.657076941,15.22908772,3.840365604
"WA",2002,341.3650794,2.345201949,15.5326834,3.818857132
"WA",2003,336.7460317,2.782888861,16.36988143,4.663971078
"WA",2004,336.9180328,2.471393027,16.47525248,5.030786919
"WA",2005,325.7460317,2.484873267,15.88543016,4.202558948
"WA",2006,325.8095238,3.233711388,15.73961869,4.136485621
"WA",2007,331.3870968,2.603095878,15.16681742,3.975153662
"WA",2008,319.031746,2.347530616,14.54346349,3.210047392
"WA",2009,314.3387097,2.535826899,15.26498474,3.575448034
"WA",2010,334.7741935,3.040776988,14.89898897,4.373831372
"WA",2011,163.0384615,2.905612606,14.25434864,3.338031935
"WA",2012,163.2075472,3.481589666,14.90616071,3.992700818
"WA",2013,186.0588235,2.335781092,14.70156428,3.764002509
"WA",2014,197.74,3.114113542,15.88824108,4.715531747
"WA",2015,193.7608696,2.771598864,17.04706997,5.144502344
