"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"WI",1936,110.4680851,1.955863715,12.22572622,-0.113512221
"WI",1937,107.1836735,2.352942928,12.15997082,0.217196472
"WI",1938,108.5531915,3.18947299,13.00712262,1.919432869
"WI",1939,108.6666667,2.048894859,13.60068062,1.236319524
"WI",1940,114.4230769,2.433933276,11.4317577,0.381482709
"WI",1941,107.38,2.449243682,13.02378482,1.78728372
"WI",1942,106.9807692,2.495819573,11.63069533,0.510236958
"WI",1943,111.4489796,2.288801801,11.05091476,-1.080300416
"WI",1944,95.64285714,2.213837746,12.25297614,1.028826777
"WI",1945,101.9636364,2.533638447,11.47586926,-0.148529368
"WI",1946,95.22222222,2.464042857,12.90613827,0.580162991
"WI",1947,109.2,2.447760047,11.940328,0.551894117
"WI",1948,263,1.927568496,12.94738553,0.25310901
"WI",1949,319.1525424,1.939903477,12.78154646,0.836876502
"WI",1950,313.2372881,2.122031363,11.42273297,-0.672728009
"WI",1951,322.3448276,2.609137037,11.29861235,0.145562702
"WI",1952,319.2881356,1.924286158,13.13126909,1.117415152
"WI",1953,320.8166667,1.986618674,14.04108617,1.958817008
"WI",1954,319.9,2.488198157,13.04021668,1.757216117
"WI",1955,329.1833333,1.890125025,13.5111324,1.250273126
"WI",1956,341.0833333,1.923099899,12.98506191,0.831508001
"WI",1957,347.3833333,1.973493434,12.72270468,1.063356725
"WI",1958,348.1166667,1.654394992,12.88074561,0.61929386
"WI",1959,348.6333333,2.592787247,12.4679697,0.860804625
"WI",1960,349.0166667,2.366095833,12.60788538,0.991884211
"WI",1961,352.8833333,2.259488258,13.06425731,1.340516082
"WI",1962,354.5,1.93478548,12.08783497,0.742088694
"WI",1963,360.1833333,1.601369739,13.04934604,0.290044285
"WI",1964,362.7,1.932401786,13.81110175,1.508919279
"WI",1965,360.7166667,2.664888005,12.07108559,0.566434343
"WI",1966,357.3833333,1.836287475,12.95242078,0.758378005
"WI",1967,352.55,2.168834722,12.10058535,0.173978161
"WI",1968,352.9833333,2.553097854,13.14992177,1.449405476
"WI",1969,346.5666667,1.996834975,12.54330365,0.749426759
"WI",1970,345.9,2.195099369,12.11928165,0.250854125
"WI",1971,349.35,2.231977083,12.32247486,0.414984457
"WI",1972,355.7166667,2.454822247,11.68095596,0.094357992
"WI",1973,348.8166667,2.491698165,13.19343166,2.347772505
"WI",1974,341.6333333,2.025658552,12.14647143,0.476075592
"WI",1975,339.9166667,2.241347963,12.944812,1.068683999
"WI",1976,348.1166667,1.472012879,12.79214295,-0.699555538
"WI",1977,344.75,2.482994402,12.89638612,0.969597156
"WI",1978,336.2,2.476465963,11.90377922,-0.284127155
"WI",1979,328.440678,2.213840909,10.91635534,-0.67480216
"WI",1980,331.1166667,2.257430581,12.2765585,0.504659312
"WI",1981,336.7333333,2.177635669,12.97907932,1.251613357
"WI",1982,324.2542373,2.709108115,11.53037292,0.118116667
"WI",1983,325.1864407,2.378847072,12.21753442,1.579105384
"WI",1984,320.9661017,2.483571084,12.62303364,1.154788109
"WI",1985,328.5862069,2.630317085,12.09266364,0.311130303
"WI",1986,330.1186441,2.491170621,12.56350644,1.320580376
"WI",1987,335.0169492,1.988086856,14.25469045,2.772902624
"WI",1988,324.3050847,1.823613046,13.15463853,0.585107035
"WI",1989,324.6101695,1.669412495,11.70844774,-0.33580666
"WI",1990,326.6949153,2.525622928,13.35723669,1.604230668
"WI",1991,329.1355932,2.757592347,12.80734578,1.645761553
"WI",1992,328.0862069,2.329150927,11.63642128,1.309761501
"WI",1993,326.6551724,2.590734811,11.22320366,0.892469008
"WI",1994,321.8103448,2.166806923,12.04402167,0.804203463
"WI",1995,320.2807018,2.299083466,11.76271886,1.034955191
"WI",1996,315.9122807,2.286381047,10.44526858,-0.53796012
"WI",1997,319.4310345,2.074932471,11.31386696,0.763979532
"WI",1998,313.8275862,2.326071708,14.25526326,3.336591308
"WI",1999,332.362069,2.42601267,13.37963889,1.841152047
"WI",2000,332.5,2.489746891,12.60117321,1.337759782
"WI",2001,340.1525424,2.614021186,13.41203966,2.202254859
"WI",2002,332.5833333,2.510496988,12.84577964,2.005655807
"WI",2003,335.25,2.004958965,12.06815396,0.350675912
"WI",2004,340.559322,2.568778756,12.19321018,1.071138871
"WI",2005,342.1016949,2.026189266,13.32431322,2.067255747
"WI",2006,343.1333333,2.179451299,13.50694281,2.616244038
"WI",2007,347.2,2.377477449,12.90534956,1.725908731
"WI",2008,341.1166667,2.393929983,11.42600576,-0.068929866
"WI",2009,346.15,2.111258228,11.63694404,0.481668079
"WI",2010,343.5737705,2.728240437,12.92709904,1.820136797
"WI",2011,258.7704918,2.464261384,12.31362842,1.616612477
"WI",2012,267.7213115,2.052403999,14.66398386,2.940088053
"WI",2013,296.4262295,2.545253353,11.22177229,0.185603142
"WI",2014,294.4590164,2.629638434,10.24929028,-0.631694155
"WI",2015,310.8688525,2.516193989,12.77314521,1.720265334
