"State","year","Snow_depth_Count","Precipitation_Average","Max_Temperature_Average","Min_Temperature_Average"
"WV",1936,203.8947368,2.998590278,17.99172632,4.576540058
"WV",1937,247.2352941,3.422349206,17.66867841,5.215979167
"WV",1938,215.65,3.158869048,18.71247818,5.312003571
"WV",1939,221.2105263,3.245059885,19.12720076,5.474057576
"WV",1940,206.3333333,2.959829545,17.05009583,4.266941667
"WV",1941,201.6666667,2.513614229,18.07708038,4.252771934
"WV",1942,213.25,3.349287879,18.07827097,5.098509569
"WV",1943,194.2105263,2.613498629,18.05064099,4.308012753
"WV",1944,194.4736842,3.070250144,18.28385438,4.7686633
"WV",1945,192.6,3.525495503,17.7296477,4.735746914
"WV",1946,186.1363636,2.428963274,19.13318742,5.391627348
"WV",1947,207.7272727,2.490096014,17.1365193,4.423510101
"WV",1948,263.1304348,3.391240972,17.88105843,5.279464394
"WV",1949,332.8695652,2.915363636,19.23580751,6.305156336
"WV",1950,335.4166667,3.304622948,17.94490875,5.2926448
"WV",1951,319.4583333,3.081920034,18.49356279,4.884744835
"WV",1952,336.8695652,2.840944203,18.53273095,5.182336508
"WV",1953,348.047619,2.362281746,19.7007875,5.327740278
"WV",1954,341.6818182,3.110651515,18.83617857,5.429325397
"WV",1955,354.9130435,2.67869686,18.76656439,5.112665404
"WV",1956,356.1304348,3.392579861,18.12868939,5.261199495
"WV",1957,349.4347826,2.717644928,18.65012879,5.439563312
"WV",1958,357.826087,2.947970685,16.64051515,4.104003788
"WV",1959,343.6086957,2.50701087,18.6997803,4.717520202
"WV",1960,338.3636364,2.545113636,16.76905051,3.676229437
"WV",1961,352.5909091,3.128472727,17.67520108,4.738505916
"WV",1962,353.5909091,2.952462121,17.43938095,4.26577381
"WV",1963,355.9090909,2.550265152,17.27055556,3.190742063
"WV",1964,360.3636364,2.664833333,18.48187698,4.277
"WV",1965,360.3636364,2.328650826,18.35087338,4.677506854
"WV",1966,359.1818182,2.535513085,17.43106494,3.982790043
"WV",1967,344,2.930608696,17.14717803,3.927791667
"WV",1968,357.2173913,2.538837615,17.53632059,4.181365358
"WV",1969,358.2608696,2.509916667,17.25936364,4.321170455
"WV",1970,354.5217391,2.739431159,18.02248864,5.226378788
"WV",1971,355.3478261,2.870306653,18.04369249,5.685831357
"WV",1972,333.7826087,3.667150692,17.02377528,4.923968544
"WV",1973,332.5652174,3.106495389,18.48796074,6.068352767
"WV",1974,320.5217391,3.082636693,18.22229063,5.067810277
"WV",1975,347.826087,3.376839592,18.26833685,5.601444077
"WV",1976,343.0434783,2.698728261,17.43062879,3.687304348
"WV",1977,340.2272727,2.579988292,17.99005989,4.618005854
"WV",1978,349.8695652,3.10759888,17.29990888,4.50017859
"WV",1979,349.7272727,3.447214945,16.87665613,4.794838912
"WV",1980,337.5217391,3.022048419,17.30489945,5.077666008
"WV",1981,348.826087,2.788748024,17.21836915,4.029646694
"WV",1982,337.4347826,2.878147892,18.00632438,5.039757231
"WV",1983,350.0869565,2.904091568,17.63436605,4.916688017
"WV",1984,333.3478261,3.06151087,17.87548623,5.360466253
"WV",1985,322.2173913,3.001496659,17.86874508,5.238488636
"WV",1986,328.5416667,2.863276231,18.31227849,5.731089789
"WV",1987,340.625,2.576963591,18.32958779,5.307980745
"WV",1988,323.875,2.335425926,17.30913333,3.287027536
"WV",1989,356.6818182,3.495268595,16.94243759,4.624893939
"WV",1990,347.3043478,3.218799407,18.88802273,5.52607197
"WV",1991,351.9565217,2.730841238,19.00622521,5.797604339
"WV",1992,349.3043478,2.734025362,16.95573106,4.702371212
"WV",1993,353.7391304,2.955115942,17.53145455,4.775806818
"WV",1994,353.9130435,3.342525362,17.78080062,4.321363292
"WV",1995,335.1304348,2.848639987,16.77524242,4.244087121
"WV",1996,352.826087,4.041724638,16.55930303,4.321492424
"WV",1997,354.9130435,2.765586957,16.78116591,4.210037121
"WV",1998,333.9130435,2.996755731,18.64545455,6.03530489
"WV",1999,351,2.569195652,18.55486226,4.495882231
"WV",2000,342,2.869742754,17.35525758,4.506037879
"WV",2001,342.5217391,2.647647348,18.1861473,4.850271542
"WV",2002,343.6956522,3.199190972,18.04434058,5.364684783
"WV",2003,344.2272727,4.007528725,16.62832213,4.936666996
"WV",2004,334.7272727,3.400775568,16.91251318,4.78360639
"WV",2005,336.6818182,2.787663194,17.75510435,5.255778986
"WV",2006,337.4347826,2.934175347,18.00048188,5.384324275
"WV",2007,350.1818182,2.914972222,18.19715217,5.163036232
"WV",2008,354.3636364,3.127364583,17.32548551,4.541398551
"WV",2009,355.1818182,3.087920139,16.99655435,4.879626812
"WV",2010,350.6818182,2.846652778,17.2325919,4.84416502
"WV",2011,175.8636364,3.858413194,18.04570486,5.863270833
"WV",2012,161.6818182,2.971318497,18.64406976,5.635502841
"WV",2013,228.5909091,3.12307971,16.70537925,5.006540975
"WV",2014,244.173913,2.949893624,16.58380366,4.169767992
"WV",2015,278.8181818,3.183292614,17.3132298,4.842369003
