State,Max Temp Avg(in C),Min Temp Avg(in C),Precip Avg( in mm)
MO,18.86082672,6.475193584,2.910417558
KS,20.04242744,5.665445536,1.984141759
MD,18.11309446,6.59168848,3.165100252
WV,17.81371403,4.863779783,2.968775228
MS,23.95134943,11.35804038,3.962185822
RI,15.71604422,3.969371591,3.906228125
WA,15.32778132,3.655010725,2.74180626
LA,25.1768063,13.32806164,4.042445045
MI,12.93643936,1.936625999,2.367641089
CT,14.38984911,3.722532501,3.363425506
NV,18.80312831,1.76939707,0.643407403
AR,22.65157218,9.755727803,3.516528604
ID,15.23531655,0.447095623,1.156115751
TX,25.53684117,11.72444428,2.172594364
NJ,16.99973113,5.880270835,3.231008288
TN,20.8855447,8.11505281,3.656306527
OR,17.02863537,3.717457558,2.302924848
IN,16.80250494,5.269342468,2.894935345
VT,12.91836135,0.491227986,2.821381681
MT,13.86125843,-0.971734107,1.090204321
ME,11.65653619,-0.5374333,3.056607073
OH,16.28072302,4.754205503,2.690640413
KY,19.59980075,7.054087193,3.387673771
MN,11.36908834,-0.602897834,1.934143885
FL,27.83925792,16.26265933,3.732618014
CO,16.47248291,-0.688049769,1.095893922
NM,21.1043687,3.418898316,1.006385351
HI,26.06294986,18.16479897,5.311321343
AZ,23.79448557,6.758555517,0.935014924
MA,15.16222928,4.625386632,3.330139503
VA,19.19788726,6.635691142,2.99882683
PA,15.83627042,3.841377153,2.924865147
IL,16.97852095,5.43149491,2.72115635
DE,18.14977117,7.691816089,3.247585398
SD,14.47921377,0.844213929,1.448869305
ND,11.22603687,-1.703277355,1.391125637
WI,12.48153475,0.919001528,2.273906757
AK,4.728681622,-3.760826468,3.517263291
IA,15.08376337,3.15064815,2.336931812
GA,23.85676662,10.83156592,3.593462274
NY,13.61474372,2.446168508,2.807351209
OK,22.42281553,8.53716803,2.592254317
NE,17.13817066,2.680515105,1.696418417
UT,17.47071243,1.094172342,0.943433378
WY,14.01414262,-1.86187526,0.945331551
SC,23.46456847,10.49231067,3.370380935
NH,12.71291475,0.151528201,3.220133829
CA,22.36920502,7.383889854,1.590642595
NC,21.18612511,8.222325341,3.496737478
AL,23.83461623,10.9076529,4.036681459
